Species,D_Teff,D_logg,D_Vmic
Mg I,0.12,-0.05,-0.12
Al I,0.12,-0.10,-0.10
Sc II,0.07,+0.05,-0.11
Ti II,0.13,-0.04,-0.11
Mn I,0.15,-0.06,-0.14
Fe I,0.15,-0.06,-0.12
Ni I,0.15,-0.04,-0.15
Ba II,0.10,+0.09,-0.11
Sr II,0.12,+0.10,-0.12
