ID,Name,[Fe/H],[C/H],[C/Fe],Solar_Abundances,Reference
33,BooI-33,-2.29,-1.99,0.30,asplund2005,Gilmore+2013a
41,BooI-41,-1.93,-2.58,-0.65,asplund2005,Gilmore+2013a
94,BooI-94,-2.90,-3.35,-0.45,asplund2005,Gilmore+2013a
117,BooI-117,-2.25,-2.55,-0.30,asplund2005,Gilmore+2013a
127,BooI-127,-2.08,-2.33,-0.25,asplund2005,Gilmore+2013a
130,BooI-130,-2.29,-2.69,-0.40,asplund2005,Gilmore+2013a
119,BooI-119,-3.79,-1.59,2.20,asplund2005,Lai+2011b
