ID,Name,Species,logepsX_sun,l_logepsX_NY,logepsX_NY,e_logepsX_NY,N_NY,l_[X/Fe]_NY,[X/Fe]_NY,e_[X/Fe]_NY,l_logepsX_GM,logepsX_GM,e_logepsX_GM,N_GM,l_[X/Fe]_GM,[X/Fe]_GM,e_[X/Fe]_GM
33,BooI-33,Na I,6.24,,3.90,,1,,0.02,0.23,,4.04,,1,,0.08,0.23
33,BooI-33,Mg I,7.60,,5.42,,1,,0.18,0.22,,5.66,,1,,0.34,0.21
33,BooI-33,Si I,7.51,,,,,,,,,,,,,,
33,BooI-33,Ca I,6.34,,4.14,0.06,8,,0.16,0.07,,4.19,0.04,13,,0.13,0.06
33,BooI-33,Sc II,3.15,,0.64,0.08,3,,-0.15,0.21,,0.73,0.10,3,,-0.14,0.21
33,BooI-33,Ti I,4.95,,2.51,0.12,5,,-0.07,0.14,,2.55,0.07,5,,-0.11,0.09
33,BooI-33,Ti II,4.95,,2.65,0.17,3,,0.06,0.25,,2.73,0.08,5,,0.06,0.20
33,BooI-33,Cr I,5.64,,2.98,0.10,5,,-0.29,0.11,,3.13,0.04,5,,-0.23,0.06
33,BooI-33,Fe I,7.50,,5.14,0.03,61,,-2.36,0.16,,5.22,0.03,51,,-2.28,0.16
33,BooI-33,Fe II,7.50,,5.11,0.13,4,,-0.02,0.25,,5.49,0.07,4,,0.26,0.22
33,BooI-33,Ni I,6.22,,3.72,0.10,3,,-0.14,0.15,,4.01,0.08,2,,0.07,0.10
33,BooI-33,Zn I,4.56,,,,,,,,,,,,,,
33,BooI-33,Y II,2.21,,,,,,,,,-0.39,,1,,-0.32,0.22
33,BooI-33,Ba II,2.18,,-0.67,0.09,4,,-0.49,0.19,,-0.40,0.04,2,,-0.30,0.19
41,BooI-41,Na I,6.24,,,,,,,,,,,,,,
41,BooI-41,Mg I,7.60,,6.16,,1,,0.52,0.21,,6.27,,1,,0.47,0.24
41,BooI-41,Si I,7.51,,,,,,,,,5.58,,1,,-0.13,0.27
41,BooI-41,Ca I,6.34,,4.73,0.05,11,,0.36,0.07,,4.76,0.05,4,,0.22,0.06
41,BooI-41,Sc II,3.15,,,,,,,,,1.10,0.10,5,,-0.25,0.21
41,BooI-41,Ti I,4.95,,3.74,0.07,2,,0.76,0.14,,3.79,0.05,6,,0.65,0.08
41,BooI-41,Ti II,4.95,,4.03,0.32,2,,1.05,0.37,,3.85,0.07,3,,0.70,0.19
41,BooI-41,Cr I,5.64,,3.74,0.08,5,,0.06,0.09,,4.23,0.03,3,,0.39,0.09
41,BooI-41,Fe I,7.50,,5.54,0.03,47,,-1.96,0.16,,5.70,0.04,43,,-1.80,0.16
41,BooI-41,Fe II,7.50,,5.80,0.24,3,,0.26,0.32,,5.80,0.09,2,,0.09,0.27
41,BooI-41,Ni I,6.22,,3.94,,1,,-0.32,0.21,,4.57,0.08,6,,0.15,0.09
41,BooI-41,Zn I,4.56,,2.75,,1,,0.15,0.25,,3.13,,1,,0.37,0.24
41,BooI-41,Y II,2.21,,,,,,,,,,,,,,
41,BooI-41,Ba II,2.18,,-0.19,0.10,4,,-0.41,0.19,,0.01,0.01,2,,-0.37,0.21
94,BooI-94,Na I,6.24,,3.22,,1,,-0.05,0.21,,3.68,,1,,0.35,0.18
94,BooI-94,Mg I,7.60,,4.98,,1,,0.35,0.19,,5.32,0.05,2,,0.63,0.12
94,BooI-94,Si I,7.51,,,,,,,,,,,,,,
94,BooI-94,Ca I,6.34,,3.65,0.04,6,,0.27,0.06,,3.75,0.04,10,,0.32,0.06
94,BooI-94,Sc II,3.15,,0.25,0.03,2,,0.07,0.20,,0.39,0.03,5,,0.15,0.19
94,BooI-94,Ti I,4.95,,2.21,0.05,6,,0.24,0.08,,2.36,0.03,10,,0.32,0.07
