ID,Name,Ion,logepsX_sun,l_logepsX,logepsX,e_logepsX,N,l_[X/H],[X/H],e_[X/H],l_[X/Fe],[X/Fe],e_[X/Fe],Reference
## Carbon abundance from Norris et al. (2010c), one of the early papers for this group on these stars
119,BooI-119,Cr I,5.64,,2.26,,1,,,,,0.06,0.25,Gilmore2013a
119,BooI-119,Fe I,7.50,,4.06,0.05,24,,-3.44,0.16,,,,Gilmore2013a
119,BooI-119,Fe II,7.50,,,,,,,,,,,Gilmore2013a
119,BooI-119,Ni I,6.22,,,,,,,,,,,Gilmore2013a
119,BooI-119,Zn I,4.56,,,,,,,,,,,Gilmore2013a
119,BooI-119,Y II,2.21,,,,,,,,,,,Gilmore2013a
119,BooI-119,Ba II,2.18,,,,,,,,,,,Gilmore2013a
127,BooI-127,Na I,6.24,,,,,,,,,,,Gilmore2013a
127,BooI-127,Mg I,7.60,,5.88,0.05,2,,,,,0.20,0.14,Gilmore2013a
127,BooI-127,Si I,7.51,,5.72,,1,,,,,0.13,0.23,Gilmore2013a
127,BooI-127,Ca I,6.34,,4.53,0.04,13,,,,,0.10,0.05,Gilmore2013a
127,BooI-127,Sc II,3.15,,1.27,0.06,5,,,,,0.03,0.19,Gilmore2013a
127,BooI-127,Ti I,4.95,,3.27,0.07,10,,,,,0.25,0.09,Gilmore2013a
127,BooI-127,Ti II,4.95,,3.23,0.06,7,,,,,0.19,0.19,Gilmore2013a
127,BooI-127,Cr I,5.64,,3.67,0.07,6,,,,,-0.06,0.08,Gilmore2013a
127,BooI-127,Fe I,7.50,,5.58,0.02,64,,-1.92,0.16,,,,Gilmore2013a
127,BooI-127,Fe II,7.50,,5.72,0.09,4,,,,,0.13,0.23,Gilmore2013a
127,BooI-127,Ni I,6.22,,4.16,0.10,11,,,,,-0.15,0.11,Gilmore2013a
127,BooI-127,Zn I,4.56,,,,,,,,,,,Gilmore2013a
127,BooI-127,Y II,2.21,,,,,,,,,,,Gilmore2013a
127,BooI-127,Ba II,2.18,,-0.55,0.01,2,,,,,-0.81,0.28,Gilmore2013a
130,BooI-130,Na I,6.24,,,,,,,,,,,Gilmore2013a
130,BooI-130,Mg I,7.60,,5.64,,1,,,,,0.32,0.24,Gilmore2013a
130,BooI-130,Si I,7.51,,,,,,,,,,,Gilmore2013a
130,BooI-130,Ca I,6.34,,4.37,0.05,11,,,,,0.31,0.06,Gilmore2013a
130,BooI-130,Sc II,3.15,,0.89,0.04,5,,,,,0.03,0.19,Gilmore2013a
130,BooI-130,Ti I,4.95,,2.79,0.08,7,,,,,0.13,0.10,Gilmore2013a
130,BooI-130,Ti II,4.95,,2.89,0.02,6,,,,,0.22,0.18,Gilmore2013a
130,BooI-130,Cr I,5.64,,3.49,0.06,5,,,,,0.13,0.07,Gilmore2013a
130,BooI-130,Fe I,7.50,,5.22,0.04,35,,-2.28,0.16,,,,Gilmore2013a
130,BooI-130,Fe II,7.50,,5.45,0.11,3,,,,,0.24,0.25,Gilmore2013a
130,BooI-130,Ni I,6.22,,4.06,0.06,5,,,,,0.12,0.07,Gilmore2013a
130,BooI-130,Zn I,4.56,,,,,,,,,,,Gilmore2013a
130,BooI-130,Y II,2.21,,,,,,,,,,,Gilmore2013a
130,BooI-130,Ba II,2.18,,-0.61,0.06,2,,,,,-0.51,0.19,Gilmore2013a
