Name,Species,Ion,l_logepsX,logepsX,Reference
BooI-117,26.0,Fe I,,5.2,Gilmore+2013a
BooI-117,106.0,C-H,,5.84,Gilmore+2013a
BooI-119,26.0,Fe I,,3.66,Lai+2011b
BooI-119,106.0,C-H,,6.8,Lai+2011b
BooI-127,26.0,Fe I,,5.37,Gilmore+2013a
BooI-127,106.0,C-H,,6.06,Gilmore+2013a
BooI-130,26.0,Fe I,,5.16,Gilmore+2013a
BooI-130,106.0,C-H,,5.7,Gilmore+2013a
BooI-33,26.0,Fe I,,5.16,Gilmore+2013a
BooI-33,106.0,C-H,,6.4,Gilmore+2013a
BooI-41,26.0,Fe I,,5.52,Gilmore+2013a
BooI-41,106.0,C-H,,5.81,Gilmore+2013a
BooI-94,26.0,Fe I,,4.55,Gilmore+2013a
BooI-94,106.0,C-H,,5.04,Gilmore+2013a
