# Using the GM values from `table3.csv`
ID,Name,Teff,logg,M/H,Vmic
33,BooI-33,4750,1.4,-2.28,2.0
41,BooI-41,4800,1.4,-1.80,2.1
94,BooI-94,4550,0.9,-2.91,2.0
117,BooI-117,4750,1.4,-2.05,1.8
119,BooI-119,4750,1.4,-3.44,2.9
127,BooI-127,4700,1.4,-1.92,2.0
130,BooI-130,4800,1.4,-2.28,2.1
