Star ID                , [Na I/H], e_[Na I/H], [Mg I/H], e_[Mg I/H], [Al I/H], e_[Al I/H], [SiI/H], e_[SiI/H], [Ca I/H], e_[Ca I/H], [Sc II/H], e_[Sc II/H], [Ti I/H], e_[Ti I/H], [Ti II/H], e_[Ti II/H]
2MASS J00125284+4726278, -2.12   , 0.18      , -2.14   ,       0.33, -3.81   , 0.25      , ...    , ...      , -2.05   ,       0.29, -2.43    , 0.23       , -2.39   ,       0.22, -2.30    ,        0.26
2MASS J01171437+2911580, -1.96   , 0.16      , -2.07   ,       0.21, -3.98   , 0.15      , -1.77  , 0.20     , -2.07   ,       0.19, -2.49    , 0.23       , -2.39   ,       0.17, -2.17    ,        0.19
2MASS J01261714+2620558, -1.36   , 0.18      , -0.99   ,       0.20, -2.33   , 0.20      , -0.10  , 0.47     , -0.55   ,       0.21, 0.21     , 0.23       , -0.61   ,       0.35, -0.12    ,        0.44
2MASS J02462013-1518418, -2.55   , 0.25      , -2.44   ,       0.15, -4.13   , 0.35      , 0.19   , 0.26     , -2.56   ,       0.14, -2.92    , 0.18       , -2.63   ,       0.16, -2.64    ,        0.28
2MASS J04051243+2141326, -2.47   , 0.14      , -2.27   ,       0.12, 3.78    , 0.25      , ...    , ...      , -1.92   ,       0.35, -2.64    , 0.28       , -2.07   ,       0.12, -2.44    ,        0.28
2MASS J04464970+2124561, -1.67   , 0.11      , -2.04   ,       0.20, ...     , ...       , -1.40  , 0.15     , -1.30   ,       0.29, -1.35    , 0.17       , -1.43   ,       0.27, -1.26    ,        0.32
2MASS J05455436+4420133, -2.43   , 0.13      , -2.41   ,       0.25, ...     , ...       , ...    , ...      , -2.53   ,       0.19, -2.94    , 0.34       , -2.62   ,       0.18, -2.46    ,        0.35
2MASS J06114434+1151292, -2.43   , 0.14      , -2.60   ,       0.44, ...     , ...       , -1.26  , 0.28     , -2.27   ,       0.17, -2.89    , 0.14       , -2.64   ,       0.16, -2.67    ,        0.32
2MASS J06321853+3547202, -2.16   , 0.10      , -2.45   ,       0.12, -4.33   , 0.17      , -1.68  , 0.12     , -2.43   ,       0.15, -2.75    , 0.17       , -2.36   ,       0.24, -2.36    ,        0.29
2MASS J07424682+3533180, -2.03   , 0.17      , -2.38   ,       0.14, -4.04   , 0.15      , -1.35  , 0.22     , -2.19   ,       0.29, -2.59    , 0.30       , -2.40   ,       0.16, -2.29    ,        0.12
2MASS J07532819+2350207, -3.00   , 0.10      , -2.70   ,       0.20, -3.59   , 0.15      , -1.52  , 0.22     , -2.21   ,       0.25, -2.21    , 0.28       , -2.01   ,       0.28, -2.62    ,        0.36
2MASS J08011752+4530033, -2.48   , 0.12      , -2.44   ,       0.19, -4.34   , 0.18      , -2.36  , 0.30     , -2.32   ,       0.24, -2.97    , 0.18       , -2.51   ,       0.21, -2.50    ,        0.18
