Title: The R-Process Alliance: Fifth Data Release from the Search for 
       R-process-enhanced Metal-poor Stars in the Galactic Halo with 
       the Gran Telescopio Canarias 
Authors: Bandyopadhyay A., Ezzeddine R., Allende Prieto C., Aria N., 
         Shah S.P., Beers T.C., Frebel A., Holmbeck E.M., Hansen T.T., 
         Placco V.M., Roederer I.U., Sakari C.M. 
Table: Atomic Line Properties, Equivalent Widths, Absolute Abundances, 
       and Measurement Uncertainties of the Target Stars
================================================================================
Byte-by-byte Description of file: apjsad6f0ft5_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label    Explanations
--------------------------------------------------------------------------------
   1- 22 A22    ---      ID       Stellar identifier
  24- 27 F4.1   ---      Species  Species code identifier (1)
  29- 36 F8.3   10-10m   Wave     Wavelength; Angstroms
  38- 42 F5.3   eV       ExPot    Excitation potential
  44- 49 F6.3   [-]      log(gf)  log oscillator strength
  51- 56 F6.2   10-13m   EW       Equivalent width; milli-Angstroms
  58- 61 F4.2   10-13m e_EW       Uncertainty in EW
  63- 68 F6.3   [-]      A(X)     log absolute abundance 
--------------------------------------------------------------------------------
Note (1): In the code, XX.Y, XX is the atomic number and Y is the ionization,
          e.g. 11.0 is Na I, 21.1 is Sc II, etc.
--------------------------------------------------------------------------------
2MASS J00125284+472627 11.0 5889.950 0.000  0.110 191.68 0.46  4.033
2MASS J00125284+472627 11.0 5895.920 0.000 -0.190 181.77 0.51  4.198
2MASS J00125284+472627 12.0 4057.510 4.350 -0.900  73.90 0.50  5.814
2MASS J00125284+472627 12.0 4167.270 4.350 -0.740  47.57 0.27  5.181
2MASS J00125284+472627 12.0 4702.990 4.330 -0.440  57.84 0.40  4.988
2MASS J00125284+472627 12.0 5183.600 2.720 -0.170 266.52 0.56  5.528
2MASS J00125284+472627 12.0 5528.400 4.350 -0.550 102.38 0.35  5.778
2MASS J00125284+472627 13.0 3961.520 0.010 -0.330 112.46 0.47  2.645
2MASS J00125284+472627 20.0 4092.630 2.520 -0.860  33.81 0.31  4.769
2MASS J00125284+472627 20.0 4283.010 1.890 -0.200  58.70 0.40  3.826
2MASS J00125284+472627 20.0 4318.650 1.900 -0.210  59.51 0.38  3.860
2MASS J00125284+472627 20.0 4425.440 1.880 -0.410  52.00 0.32  3.882
2MASS J00125284+472627 20.0 4435.690 1.890 -0.550  83.38 0.41  4.650
2MASS J00125284+472627 20.0 4454.780 1.900  0.260  80.51 0.38  3.787
2MASS J00125284+472627 20.0 4455.890 1.900 -0.550  72.34 0.29  4.426
2MASS J00125284+472627 20.0 4578.550 2.520 -0.670  22.93 0.29  4.316
2MASS J00125284+472627 20.0 5261.710 2.520 -0.600  27.72 0.47  4.326
2MASS J00125284+472627 20.0 5581.970 2.520 -0.580  18.60 0.27  4.069
2MASS J00125284+472627 20.0 5588.760 2.520  0.300  74.85 0.46  4.257
2MASS J00125284+472627 20.0 5590.120 2.520 -0.600  41.28 0.87  4.576
2MASS J00125284+472627 20.0 5601.290 2.530 -0.570  24.45 0.34  4.220
2MASS J00125284+472627 20.0 6102.720 1.880 -0.810  65.51 0.60  4.385
2MASS J00125284+472627 20.0 6122.220 1.890 -0.330  97.40 0.46  4.471
2MASS J00125284+472627 20.0 6162.170 1.900 -0.110 114.08 0.46  4.567
2MASS J00125284+472627 20.0 6439.070 2.520  0.330  85.63 0.48  4.355
2MASS J00125284+472627 20.0 6449.810 2.520 -0.550  43.85 0.36  4.525
2MASS J00125284+472627 21.1 4246.820 0.320  0.240 106.81 0.33 -0.172
2MASS J00125284+472627 21.1 4320.730 0.600 -0.250 142.38 0.49  1.531
2MASS J00125284+472627 21.1 4324.980 0.590 -0.440 121.51 0.72  1.174
2MASS J00125284+472627 21.1 4374.450 0.620 -0.420  58.73 0.36 -0.189
2MASS J00125284+472627 21.1 4400.390 0.600 -0.540  97.94 0.55  0.682
2MASS J00125284+472627 21.1 4415.540 0.590 -0.670  75.83 0.42  0.328
2MASS J00125284+472627 21.1 4670.410 1.360 -0.580  54.96 0.44  0.781
2MASS J00125284+472627 21.1 5031.010 1.360 -0.400  65.85 0.46  0.740
2MASS J00125284+472627 21.1 5526.790 1.770  0.020  58.88 0.35  0.664
2MASS J00125284+472627 21.1 5657.910 1.510 -0.600  40.84 0.42  0.663
2MASS J00125284+472627 22.0 4518.020 0.830 -0.250  21.61 0.29  2.373
2MASS J00125284+472627 22.0 4533.240 0.850  0.540  56.53 0.33  2.276
2MASS J00125284+472627 22.0 4534.780 0.840  0.350  62.37 0.47  2.559
2MASS J00125284+472627 22.0 4548.760 0.830 -0.280  25.01 0.30  2.483
2MASS J00125284+472627 22.0 4681.910 0.050 -1.010  32.92 0.27  2.416
2MASS J00125284+472627 22.0 4840.870 0.900 -0.430  37.49 0.41  2.945
2MASS J00125284+472627 22.0 4981.730 0.840  0.570  77.17 0.37  2.554
2MASS J00125284+472627 22.0 4991.070 0.840  0.450  79.50 0.58  2.718
2MASS J00125284+472627 22.0 4999.500 0.830  0.320  69.97 0.28  2.655
2MASS J00125284+472627 22.0 5016.160 0.850 -0.480  11.23 0.36  2.253
2MASS J00125284+472627 22.0 5064.650 0.050 -0.940  38.83 0.42  2.419
2MASS J00125284+472627 22.0 5192.970 0.020 -0.950  55.80 0.29  2.661
2MASS J00125284+472627 22.0 5210.380 0.050 -0.820  79.54 1.44  2.976
2MASS J00125284+472627 22.1 4028.340 1.890 -0.920  79.95 0.48  2.766
2MASS J00125284+472627 22.1 4337.910 1.080 -0.960 110.26 0.46  2.428
2MASS J00125284+472627 22.1 4394.060 1.220 -1.770  63.79 0.29  2.381
2MASS J00125284+472627 22.1 4395.030 1.080 -0.540 164.76 0.58  3.357
2MASS J00125284+472627 22.1 4395.840 1.240 -1.930  68.25 0.60  2.648
2MASS J00125284+472627 22.1 4399.770 1.240 -1.200  92.75 0.35  2.427
2MASS J00125284+472627 22.1 4409.520 1.230 -2.530  75.25 0.42  3.374
2MASS J00125284+472627 22.1 4417.710 1.170 -1.190  94.89 0.31  2.375
2MASS J00125284+472627 22.1 4443.800 1.080 -0.710 130.15 0.88  2.639
2MASS J00125284+472627 22.1 4444.550 1.120 -2.200  52.05 0.49  2.471
2MASS J00125284+472627 22.1 4450.480 1.080 -1.520  98.62 0.36  2.682
2MASS J00125284+472627 22.1 4464.450 1.160 -1.810  77.65 0.38  2.604
2MASS J00125284+472627 22.1 4470.850 1.170 -2.020  62.24 0.34  2.526
2MASS J00125284+472627 22.1 4501.270 1.120 -0.770 132.16 0.40  2.772
2MASS J00125284+472627 22.1 4533.960 1.240 -0.530 119.86 0.36  2.375
2MASS J00125284+472627 22.1 4571.970 1.570 -0.310 111.28 0.37  2.345
2MASS J00125284+472627 22.1 4583.410 1.160 -2.840  27.92 0.31  2.703
2MASS J00125284+472627 22.1 4636.320 1.160 -3.020  10.86 0.29  2.379
2MASS J00125284+472627 22.1 4657.200 1.240 -2.290  51.96 0.49  2.681
2MASS J00125284+472627 22.1 4708.660 1.240 -2.350  63.84 0.29  2.936
2MASS J00125284+472627 22.1 4798.530 1.080 -2.660  42.94 0.36  2.687
2MASS J00125284+472627 22.1 5129.160 1.890 -1.340  67.34 0.46  2.737
2MASS J00125284+472627 22.1 5185.900 1.890 -1.410  42.51 0.24  2.387
2MASS J00125284+472627 22.1 5188.690 1.580 -1.050 108.24 0.48  2.853
2MASS J00125284+472627 22.1 5336.790 1.580 -1.600  72.37 0.38  2.681
2MASS J00125284+472627 22.1 5381.020 1.570 -1.970  40.49 0.48  2.507
2MASS J00125284+472627 22.1 5418.770 1.580 -2.130  46.93 0.32  2.782
2MASS J00125284+472627 23.0 4111.780 0.300  0.400  75.30 0.56  2.178
2MASS J00125284+472627 24.0 4274.800 0.000 -0.220 137.48 0.51  3.121
2MASS J00125284+472627 24.0 4646.150 1.030 -0.740  28.25 0.25  2.441
2MASS J00125284+472627 24.0 5206.040 0.940  0.020 109.65 0.51  3.077
2MASS J00125284+472627 24.0 5345.800 1.000 -0.950  54.64 0.36  3.030
2MASS J00125284+472627 24.0 5348.310 1.000 -1.210  31.79 0.35  2.892
2MASS J00125284+472627 24.0 5409.770 1.030 -0.670  60.00 0.35  2.869
2MASS J00125284+472627 24.1 4558.640 4.070 -0.430  28.52 0.27  2.882
2MASS J00125284+472627 24.1 4588.200 4.070 -0.650  17.22 0.27  2.810
2MASS J00125284+472627 24.1 4618.810 4.070 -0.890  22.19 0.30  3.190
2MASS J00125284+472627 25.0 4030.750 0.000 -0.500 137.25 0.73  2.785
2MASS J00125284+472627 25.0 4033.060 0.000 -0.650 100.98 0.31  1.980
2MASS J00125284+472627 25.0 4034.480 0.000 -0.840 117.85 0.38  2.623
2MASS J00125284+472627 25.0 4754.040 2.280 -0.080  34.45 0.32  2.659
2MASS J00125284+472627 25.0 4823.520 2.320  0.140  36.28 0.38  2.516
2MASS J00125284+472627 26.0 4114.440 2.830 -1.300  42.35 0.36  4.922
2MASS J00125284+472627 26.0 4150.250 3.430 -1.190  22.21 0.21  5.090
2MASS J00125284+472627 26.0 4156.800 2.830 -0.810  55.11 0.37  4.673
2MASS J00125284+472627 26.0 4157.780 3.420 -0.400  61.03 0.45  5.089
2MASS J00125284+472627 26.0 4184.890 2.830 -0.870  54.11 0.45  4.706
2MASS J00125284+472627 26.0 4191.430 2.470 -0.670  83.58 0.52  4.701
2MASS J00125284+472627 26.0 4282.400 2.180 -0.780  79.72 1.18  4.358
2MASS J00125284+472627 26.0 4430.610 2.220 -1.730  64.72 0.35  4.994
2MASS J00125284+472627 26.0 4442.340 2.200 -1.230  86.17 0.22  4.911
2MASS J00125284+472627 26.0 4447.720 2.220 -1.360  62.07 0.30  4.569
2MASS J00125284+472627 26.0 4466.550 2.830 -0.600  83.98 0.35  5.028
2MASS J00125284+472627 26.0 4489.740 0.120 -3.900  82.69 0.68  4.930
2MASS J00125284+472627 26.0 4531.150 1.480 -2.100  83.71 0.33  4.834
2MASS J00125284+472627 26.0 4592.650 1.560 -2.460  78.59 0.37  5.172
2MASS J00125284+472627 26.0 4602.000 1.610 -3.130  36.86 0.36  5.126
2MASS J00125284+472627 26.0 4602.940 1.490 -2.210  66.31 0.30  4.594
2MASS J00125284+472627 26.0 4607.650 3.270 -1.330  15.29 0.25  4.816
2MASS J00125284+472627 26.0 4619.290 3.600 -1.060  18.62 0.34  5.039
2MASS J00125284+472627 26.0 4647.430 2.950 -1.350  33.09 0.31  4.893
2MASS J00125284+472627 26.0 4733.590 1.490 -2.990  60.22 0.41  5.239
2MASS J00125284+472627 26.0 4736.770 3.210 -0.670  59.01 0.26  4.996
2MASS J00125284+472627 26.0 4786.810 3.020 -1.610  19.46 0.23  4.916
2MASS J00125284+472627 26.0 4789.650 3.550 -0.960  21.64 0.64  4.956
2MASS J00125284+472627 26.0 4872.140 2.880 -0.570  94.78 0.46  5.199
2MASS J00125284+472627 26.0 4890.760 2.880 -0.380  89.06 0.42  4.880
2MASS J00125284+472627 26.0 4891.490 2.850 -0.110  90.10 0.38  4.596
2MASS J00125284+472627 26.0 4903.310 2.880 -0.890  62.10 0.28  4.852
2MASS J00125284+472627 26.0 4918.990 2.860 -0.340  75.41 1.51  4.527
2MASS J00125284+472627 26.0 4938.810 2.880 -1.080  48.50 0.32  4.796
2MASS J00125284+472627 26.0 4939.690 0.860 -3.250  82.41 0.41  5.108
2MASS J00125284+472627 26.0 4946.390 3.370 -1.110  13.32 0.23  4.626
2MASS J00125284+472627 26.0 4994.130 0.920 -2.970  88.78 0.32  5.022
2MASS J00125284+472627 26.0 5001.860 3.880 -0.010  47.47 0.34  4.910
2MASS J00125284+472627 26.0 5005.710 3.880 -0.120  38.37 0.34  4.854
2MASS J00125284+472627 26.0 5006.120 2.830 -0.620  79.40 0.34  4.836
2MASS J00125284+472627 26.0 5014.940 3.940 -0.180  41.53 0.38  5.042
2MASS J00125284+472627 26.0 5022.240 3.980 -0.330  19.20 0.26  4.754
2MASS J00125284+472627 26.0 5028.130 3.570 -1.020  16.76 0.37  4.885
2MASS J00125284+472627 26.0 5039.250 3.370 -1.520  22.32 0.38  5.304
2MASS J00125284+472627 26.0 5044.210 2.850 -2.020  23.39 0.61  5.206
2MASS J00125284+472627 26.0 5049.820 2.280 -1.360  98.99 0.39  5.311
2MASS J00125284+472627 26.0 5123.720 1.010 -3.060  93.48 0.34  5.296
2MASS J00125284+472627 26.0 5127.360 0.920 -3.250  89.23 0.64  5.285
2MASS J00125284+472627 26.0 5131.470 2.220 -2.520  44.78 0.41  5.357
2MASS J00125284+472627 26.0 5133.690 4.180  0.360  50.82 0.47  4.948
2MASS J00125284+472627 26.0 5141.740 2.420 -2.240  35.97 0.34  5.161
2MASS J00125284+472627 26.0 5150.840 0.990 -3.040  88.82 0.29  5.151
2MASS J00125284+472627 26.0 5151.910 1.010 -3.320  70.80 0.53  5.111
2MASS J00125284+472627 26.0 5191.450 3.040 -0.550  85.87 0.48  5.130
2MASS J00125284+472627 26.0 5192.340 3.000 -0.420  84.21 0.41  4.918
2MASS J00125284+472627 26.0 5198.710 2.220 -2.090  39.18 0.30  4.821
2MASS J00125284+472627 26.0 5215.180 3.270 -0.860  42.25 0.47  4.920
2MASS J00125284+472627 26.0 5216.270 1.610 -2.080 100.38 0.37  5.208
2MASS J00125284+472627 26.0 5217.390 3.210 -1.070  37.31 0.40  4.965
2MASS J00125284+472627 26.0 5225.530 0.110 -4.760  74.05 0.45  5.468
2MASS J00125284+472627 26.0 5232.940 2.940 -0.060 102.07 0.39  4.848
2MASS J00125284+472627 26.0 5242.490 3.630 -0.830  18.63 0.39  4.814
