Name,Teff,logg,log_L,[Fe/H],[N/Fe]_ul,[N/Fe],[C/Fe],[C/Fe]c,[C/Fe]f,[Sr/Fe]_ul,[Sr/Fe],[Ba/Fe]_ul,[Ba/Fe],I/O,Reference,Ref,MP_key,Ncap_key,C_key
BS 16472-018,4946,2.08,1.99,-2.29,,,-0.29,0.01,-0.28,,0.19,,-0.14,1,Lai+2007,LAI07,VMP,,
BS 16477-003,4879,1.66,2.39,-3.39,-0.26,,0.29,0.21,0.5,,0.11,,-0.45,1,Yong+2013,YON13,EMP,,
BS 16543-092,4523,1.14,2.78,-2.19,,,-1.04,0.72,-0.32,,-0.36,,-0.63,1,Lai+2007,LAI07,VMP,,
BS 16543-097,5000,2.1,1.99,-2.52,,,0.29,0.02,0.31,,0.12,,-0.12,1,Aoki+2005,AOK05,VMP,,
BS 16547-006,6047,3.72,0.7,-2.21,,,0.73,0.0,0.73,,-0.44,,-0.52,1,Lai+2007,LAI07,VMP,,NO
BS 16550-087,4754,1.32,2.68,-3.54,,1.11,-0.49,0.56,0.07,,0.53,,-0.75,1,Yong+2013,YON13,EMP,,
BS 16928-053,4679,1.16,2.82,-2.93,,1.05,-0.24,0.69,0.45,,-0.19,,-0.79,1,Yong+2013,YON13,VMP,,
BS 16929-005,5229,2.61,1.56,-3.34,,0.32,0.99,0.01,1.0,,,,-0.41,1,Yong+2013,YON13,EMP,,NO
BS 16934-002,4500,1.0,2.91,-2.82,,0.64,-0.26,0.74,0.48,,-1.27,,-1.65,1,Aoki+2007,AOK07,VMP,,
BS 16945-054,5281,2.99,1.2,-2.76,,,0.06,0.01,0.07,,-0.04,,-0.01,1,Lai+2007,LAI07,VMP,,
BS 16968-061,6343,3.82,0.69,-2.85,,,0.45,0.0,0.45,,-0.47,,-0.23,1,Yong+2013,YON13,VMP,,
BS 16981-009,5259,2.92,1.26,-2.71,,,0.36,0.0,0.36,,,,,1,Lai+2007,LAI07,VMP,,
BS 17139-007,5918,3.66,0.72,-2.25,,,0.26,0.0,0.26,,-0.55,,-0.62,1,Lai+2007,LAI07,VMP,,
BS 17439-065,5100,1.6,2.53,-2.39,,,-0.54,0.4,-0.14,,-0.22,,-0.42,1,Aoki+2005,AOK05,VMP,,
BS 17569-049,4645,1.09,2.87,-2.84,,0.86,-0.12,0.71,0.59,,0.38,,0.2,1,Yong+2013,YON13,VMP,,
BS 17570-063,6233,4.46,0.01,-2.95,,,0.4,0.0,0.4,,0.08,,-0.26,1,Yong+2013,YON13,VMP,,
BS 17583-100,5950,3.66,0.73,-2.53,,,0.53,0.0,0.53,,0.2,,-0.33,1,Yong+2013,YON13,VMP,,
CD-35:14849,6125,4.11,0.33,-2.41,,,0.22,0.0,0.22,,,,,1,Akerman+2004,AKE04,VMP,,
CD-38:245,4857,1.54,2.5,-4.15,,1.07,-0.33,0.24,-0.09,,,,-0.76,1,Yong+2013,YON13,UMP,,
CD-42:14278,5812,4.25,0.1,-2.12,,,0.15,0.0,0.15,,,,,1,Akerman+2004,AKE04,VMP,,
CS 22166-016,5388,3.26,0.96,-2.3,,,0.21,0.0,0.21,,0.3,,-0.24,1,Lai+2007,LAI07,VMP,,
CS 22169-035,4654,1.1,2.87,-2.95,,1.02,-0.24,0.72,0.48,,0.02,,-1.19,1,Yong+2013,YON13,VMP,,
CS 22172-002,4893,1.68,2.37,-3.77,,0.24,0.0,0.13,0.13,,-1.21,,-1.17,1,Yong+2013,YON13,EMP,,
CS 22174-007,5265,2.78,1.4,-2.39,1.42,,0.41,0.01,0.42,,,,-0.14,1,Yong+2013,YON13,VMP,,
CS 22174-012,4934,2.06,2.01,-2.35,,,-0.74,0.02,-0.72,,-0.45,,-0.95,1,Lai+2007,LAI07,VMP,,
CS 22175-007,5108,2.46,1.67,-2.81,,,0.15,0.01,0.16,,0.27,,-0.52,1,Barklem+2005,BAR05,VMP,,
CS 22177-009,6423,4.37,0.16,-2.98,,,0.38,0.0,0.38,,-0.26,,,1,Yong+2013,YON13,VMP,,
CS 22182-033,5700,3.3,1.02,-2.67,,,0.24,0.0,0.24,,0.01,,-0.41,1,Preston+2006,PRE06,VMP,,
CS 22183-015,5450,3.0,1.24,-2.82,,2.09,2.33,0.02,2.35,,,,1.85,0,Masseron+2012,MAS12,VMP,RS,CE
CS 22183-031,5202,2.54,1.62,-3.17,,,0.42,0.01,0.43,,0.14,,-0.33,1,Yong+2013,YON13,EMP,,
CS 22185-007,5193,2.73,1.43,-2.28,,,0.21,0.01,0.22,,-0.42,,-0.51,1,Lai+2007,LAI07,VMP,,
CS 22186-023,5066,2.19,1.92,-2.72,,,0.26,0.01,0.27,,-0.05,,-0.98,1,Barklem+2005,BAR05,VMP,,
CS 22186-025,4871,1.66,2.39,-3.07,,0.98,-0.54,0.26,-0.28,,-0.02,,0.02,1,Yong+2013,YON13,EMP,,
CS 22189-009,4944,1.83,2.24,-3.48,,0.27,0.31,0.03,0.34,,-0.85,,-1.29,1,Yong+2013,YON13,EMP,,
CS 22872-102,5911,3.6,0.78,-2.94,0.55,,0.6,0.0,0.6,,-0.17,,-0.62,1,Yong+2013,YON13,VMP,,
CS 22873-055,4551,0.82,3.11,-2.99,,1.07,-0.73,0.75,0.02,,-0.39,,-0.45,1,Yong+2013,YON13,VMP,,
CS 22873-128,4960,2.1,1.98,-2.86,,,0.18,0.01,0.19,,-0.43,,-0.96,1,McWilliam+1995,MCW95,VMP,,
CS 22873-166,4516,0.77,3.14,-2.74,,1.05,-0.13,0.73,0.6,,0.18,,-0.7,1,Yong+2013,YON13,VMP,,
CS 22877-001,4790,1.45,2.57,-3.24,,-0.15,1.03,0.44,1.47,,-0.02,,-0.58,1,Roederer+2014,ROE14,EMP,,NO
CS 22877-011,5130,2.35,1.79,-2.9,,,0.07,0.01,0.08,,-1.21,,-1.34,1,McWilliam+1995,MCW95,VMP,,
CS 22878-027,6319,4.41,0.09,-2.51,1.06,,0.86,0.0,0.86,,-0.29,-0.75,,1,Yong+2013,YON13,VMP,,NO
CS 22878-101,4796,1.44,2.58,-3.31,,1.33,-0.29,0.45,0.16,,-0.13,,-0.64,1,Yong+2013,YON13,EMP,,
CS 22878-121,5450,1.9,2.34,-2.38,,,-0.25,0.11,-0.14,,0.18,,-0.08,1,Preston+2006,PRE06,VMP,,
CS 22879-097,5800,2.3,2.05,-2.43,,,0.5,0.01,0.51,,0.26,,-0.47,1,Preston+2006,PRE06,VMP,,
CS 22879-103,5775,1.85,2.49,-2.08,,,0.05,0.18,0.23,,0.68,,0.21,1,Preston+2006,PRE06,VMP,,
CS 22880-074,5621,3.5,0.8,-2.29,,-0.1,1.3,0.0,1.3,,0.24,,1.31,0,Yong+2013,YON13,VMP,RS,CE
CS 22880-086,5196,2.54,1.62,-3.05,,,0.24,0.01,0.25,,-0.03,,-0.85,1,Yong+2013,YON13,EMP,,
CS 22881-036,6200,4.0,0.47,-2.0,,,2.04,0.0,2.04,,0.69,,1.84,0,Preston+2001,PRE01,VMP,RS,CE
CS 22882-001,5950,2.5,1.89,-2.49,,,0.06,0.01,0.07,,0.29,,0.13,1,Preston+2006,PRE06,VMP,,
CS 22885-096,4992,1.93,2.16,-3.86,,0.26,0.26,0.01,0.27,,-1.26,,-1.1,1,Yong+2013,YON13,EMP,,
CS 22886-042,4798,1.48,2.54,-2.83,2.03,,0.12,0.44,0.56,,-0.07,,-0.32,1,Yong+2013,YON13,VMP,,
CS 22888-031,6241,4.47,0.01,-3.31,,,0.38,0.0,0.38,,0.28,,,1,Yong+2013,YON13,EMP,,
CS 22891-171,5100,1.6,2.53,-2.25,,1.67,1.56,0.12,1.68,,,,2.48,0,Allen+2012,ALL12,VMP,RS,CE
CS 22891-184,5600,2.2,2.09,-2.59,,,0.26,0.01,0.27,,0.09,,-0.08,1,Preston+2006,PRE06,VMP,,
CS 22891-200,4490,0.5,3.4,-3.47,,1.2,0.64,0.73,1.37,,-1.32,,-0.93,1,McWilliam+1995,MCW95,EMP,,NO
CS 22891-209,4699,1.18,2.8,-3.32,,1.12,-0.65,0.69,0.04,,0.18,,-0.55,1,Yong+2013,YON13,EMP,,
CS 22892-052,4710,1.5,2.49,-3.1,,1.0,1.05,0.38,1.43,,0.68,,0.96,0,Masseron+2012,MAS12,EMP,,CE
CS 22893-010,5150,2.45,1.69,-2.93,,1.55,0.13,0.01,0.14,,0.01,,-1.28,1,Roederer+2014,ROE14,VMP,,
CS 22896-154,5100,2.28,1.85,-2.85,,-0.23,0.23,0.01,0.24,,0.63,,0.51,1,Yong+2013,YON13,VMP,,
CS 22897-008,4795,1.43,2.59,-3.5,,0.24,0.56,0.45,1.01,,0.55,,-1.0,1,Yong+2013,YON13,EMP,,NO
CS 22898-027,6250,3.7,0.78,-2.26,,0.9,2.2,0.0,2.2,,0.98,,2.23,0,Masseron+2012,MAS12,VMP,RS,CE
CS 22937-072,5450,2.1,2.14,-2.74,,,0.51,0.02,0.53,,0.17,,-0.18,1,Preston+2006,PRE06,VMP,,
CS 22941-012,7200,4.2,0.53,-2.02,,0.09,0.09,0.0,0.09,,0.29,,0.01,1,Sneden+2003,SNE03,VMP,,
CS 22942-019,5000,2.4,1.69,-2.64,,,2.0,0.02,2.02,,1.5,,1.92,0,Aoki+2002,AOK02,VMP,RS,CE
CS 22943-132,5850,3.6,0.76,-2.67,,0.49,0.69,0.0,0.69,,,,-0.05,1,Roederer+2014,ROE14,VMP,,
CS 22943-201,5970,2.45,1.95,-2.69,,1.56,1.89,0.02,1.91,,,,-0.53,1,Roederer+2014,ROE14,VMP,,NO
CS 22944-032,5293,2.82,1.37,-2.98,-0.44,,0.31,0.01,0.32,,-0.24,,-0.76,1,Yong+2013,YON13,VMP,,
CS 22944-039,5350,1.5,2.71,-2.41,,,-0.22,0.49,0.27,,0.47,,-0.19,1,Preston+2006,PRE06,VMP,,
CS 22945-024,5120,2.35,1.78,-2.58,,0.26,2.31,0.02,2.33,,0.3,,1.44,0,Roederer+2014,ROE14,VMP,RS,CE
CS 22945-028,5126,2.55,1.59,-2.66,,,0.17,0.01,0.18,,0.16,,-0.18,1,Barklem+2005,BAR05,VMP,,
CS 22947-187,5200,1.5,2.66,-2.51,,1.73,1.07,0.27,1.34,,0.58,,1.24,0,Masseron+2012,MAS12,VMP,RS,CE
CS 22948-006,5550,1.95,2.32,-2.62,,,0.49,0.08,0.57,,-0.22,,-0.68,1,Preston+2006,PRE06,VMP,,
CS 22948-027,4600,1.0,2.95,-2.57,,1.8,2.0,0.14,2.14,,0.95,,1.85,0,Masseron+2012,MAS12,VMP,RS,CE
CS 22948-066,4830,1.55,2.48,-3.18,,1.05,-0.74,0.36,-0.38,,-0.35,,-1.15,1,Roederer+2014,ROE14,EMP,,
CS 22948-104,5000,2.3,1.79,-2.76,,,0.38,0.01,0.39,,,,,1,Masseron+2012,MAS12,VMP,,
CS 22949-008a,6300,3.5,0.99,-2.09,,0.41,1.55,0.0,1.55,,,,1.32,0,Masseron+2012,MAS12,VMP,RS,CE
CS 22949-008b,5300,4.7,-0.51,-2.09,,0.41,1.55,0.0,1.55,,,,1.32,0,Masseron+2012,MAS12,VMP,RS,CE
CS 22949-037,4630,0.95,3.01,-4.21,,2.5,0.99,0.74,1.73,,,,-0.78,1,Roederer+2014,ROE14,UMP,,NO
CS 22949-048,4828,1.81,2.22,-2.73,,,-0.24,0.14,-0.1,,-1.47,-1.38,,1,Lai+2007,LAI07,VMP,,
CS 22950-046,4769,1.37,2.64,-3.39,,,-0.5,0.52,0.02,,-0.62,,-1.23,1,Yong+2013,YON13,EMP,,
CS 22951-077,5350,1.75,2.46,-2.43,,,-0.1,0.25,0.15,,-0.02,,-0.34,1,Preston+2006,PRE06,VMP,,
CS 22952-015,4824,1.5,2.53,-3.44,,1.31,-0.41,0.38,-0.03,,-0.87,,-1.33,1,Yong+2013,YON13,EMP,,
CS 22953-003,5002,2.01,2.08,-2.93,,0.12,0.3,0.02,0.32,,0.33,,0.49,1,Yong+2013,YON13,VMP,,
CS 22953-037,6627,4.11,0.47,-2.7,,,0.37,0.0,0.37,-1.2,,-0.25,,1,Yong+2013,YON13,VMP,,
CS 22956-050,4844,1.56,2.48,-3.39,,0.31,0.27,0.33,0.6,,-0.33,,-0.78,1,Yong+2013,YON13,EMP,,
CS 22957-013,4904,1.96,2.1,-2.64,,,0.06,0.06,0.12,,-0.17,,-0.6,1,Barklem+2005,BAR05,VMP,,
CS 22957-022,5146,2.4,1.74,-2.92,,0.21,0.16,0.01,0.17,,-0.31,,-1.09,1,Yong+2013,YON13,VMP,,
CS 22957-027,5220,2.65,1.52,-3.0,,1.5,2.42,0.02,2.44,,,,-1.0,1,Roederer+2014,ROE14,EMP,,NO
CS 22958-042,5760,3.55,0.79,-2.99,,2.25,2.15,0.0,2.15,,-0.52,,-1.02,1,Roederer+2014,ROE14,VMP,,NO
CS 22958-083,4900,1.9,2.16,-2.97,,,0.71,0.07,0.78,,-0.14,-0.82,,1,Preston+2006,PRE06,VMP,,NO
CS 22960-010,5737,4.85,-0.52,-2.65,,,0.78,0.0,0.78,,,,,1,Barklem+2005,BAR05,VMP,,CE
CS 22960-053,5200,2.1,2.06,-3.14,,,2.05,0.02,2.07,,,,0.86,0,Aoki+2007,AOK07,EMP,,CE
CS 22960-064,5060,2.2,1.91,-2.77,,1.35,0.14,0.01,0.15,,,,-0.2,1,Roederer+2014,ROE14,VMP,,
CS 22963-004,5597,3.34,0.95,-3.54,,0.8,0.4,0.0,0.4,,-0.73,,-0.51,1,Yong+2013,YON13,EMP,,
CS 22964-161a,6050,3.7,0.72,-2.37,,,1.58,0.0,1.58,,0.55,,1.36,0,Thompson+2008,THO08,VMP,RS,CE
CS 22964-161b,5850,4.1,0.26,-2.39,,,1.4,0.0,1.4,,0.45,,1.3,0,Thompson+2008,THO08,VMP,RS,CE
CS 22964-214,6180,3.75,0.71,-2.95,,1.51,0.62,0.0,0.62,,-0.25,,-0.54,1,Roederer+2014,ROE14,VMP,,
CS 22965-016,4904,1.99,2.07,-2.42,,,-0.74,0.04,-0.7,,0.12,-1.07,,1,Lai+2007,LAI07,VMP,,
CS 22965-029,5467,3.38,0.87,-2.14,,,-0.64,0.0,-0.64,,0.64,,0.16,1,Lai+2007,LAI07,VMP,,
CS 22965-054,6137,3.68,0.77,-3.1,,,0.62,0.0,0.62,,0.19,-0.48,,1,Yong+2013,YON13,EMP,,
CS 22966-011,6298,4.43,0.06,-3.02,,,0.45,0.0,0.45,,0.13,,-0.05,1,Yong+2013,YON13,EMP,,
CS 22966-057,5364,3.07,1.14,-2.43,,0.1,0.06,0.01,0.07,,-0.01,,-0.24,1,Yong+2013,YON13,VMP,,
CS 22968-001,6000,4.0,0.41,-3.01,,,0.48,0.0,0.48,,-0.23,,-0.69,1,Preston+2006,PRE06,EMP,,
CS 22968-014,4864,1.6,2.44,-3.58,,0.24,0.25,0.25,0.5,,-1.69,,-1.77,1,Yong+2013,YON13,EMP,,
CS 29491-053,4700,1.21,2.77,-3.03,,0.82,-0.27,0.66,0.39,,-0.15,,-0.89,1,Yong+2013,YON13,EMP,,
CS 29491-069,5103,2.45,1.68,-2.81,,,0.14,0.01,0.15,,0.29,,0.32,1,Barklem+2005,BAR05,VMP,,
CS 29491-109,4736,1.5,2.5,-2.9,,,-0.23,0.43,0.2,,-0.28,,-0.97,1,Barklem+2005,BAR05,VMP,,
CS 29493-090,4692,1.28,2.7,-3.13,,0.76,0.7,0.53,1.23,,,,0.52,1,Barklem+2005,BAR05,EMP,,CE
CS 29495-041,4740,1.34,2.66,-2.74,,0.4,-0.07,0.55,0.48,,-0.06,,-0.65,1,Yong+2013,YON13,VMP,,
CS 29497-004,5013,2.23,1.87,-2.81,,,0.18,0.01,0.19,,0.67,,1.16,0,Barklem+2005,BAR05,VMP,,
CS 29497-030,6650,3.5,1.09,-2.7,,1.88,2.38,0.01,2.39,,1.37,,2.17,0,Masseron+2012,MAS12,VMP,RS,CE
CS 29497-034,4983,1.96,2.13,-3.0,,2.63,2.72,0.04,2.76,,1.05,,2.28,0,Yong+2013,YON13,EMP,RS,CE
CS 29497-040,5487,3.41,0.84,-2.63,,,0.31,0.0,0.31,0.03,,-0.89,,1,Lai+2007,LAI07,VMP,,
CS 29498-043,4440,0.5,3.39,-3.85,,1.71,2.72,0.31,3.03,,-0.3,,-0.51,1,Roederer+2014,ROE14,EMP,,NO
CS 29499-060,6595,4.05,0.52,-2.5,,,0.38,0.0,0.38,,-0.4,-0.51,,1,Yong+2013,YON13,VMP,,
CS 29502-042,5039,2.09,2.02,-3.27,,-0.43,0.16,0.01,0.17,,-1.88,,-1.69,1,Yong+2013,YON13,EMP,,
CS 29502-092,4820,1.5,2.53,-3.2,,1.0,0.96,0.39,1.35,,-0.3,,-1.46,1,Roederer+2014,ROE14,EMP,,NO
CS 29506-007,6522,3.94,0.61,-2.73,0.93,,0.49,0.0,0.49,,0.18,,0.09,1,Yong+2013,YON13,VMP,,
CS 29506-090,6603,4.18,0.39,-2.62,,,0.41,0.0,0.41,,0.46,,-0.35,1,Yong+2013,YON13,VMP,,
CS 29509-027,6850,3.5,1.14,-2.42,,2.44,1.74,0.0,1.74,,1.03,,1.5,0,Roederer+2014,ROE14,VMP,RS,CE
CS 29510-058,5192,2.73,1.43,-2.34,,,0.46,0.01,0.47,,0.27,,-0.14,1,Lai+2007,LAI07,VMP,,
CS 29512-073,5600,3.4,0.89,-2.04,,0.56,1.2,0.0,1.2,,,,1.12,0,Masseron+2012,MAS12,VMP,RS,CE
CS 29513-032,5810,3.3,1.05,-2.08,,,0.63,0.0,0.63,,,,,1,Roederer+2010,ROE10,VMP,,
CS 29516-024,4637,1.04,2.92,-3.05,,-0.76,-0.06,0.74,0.68,,-0.48,,-0.9,1,Yong+2013,YON13,EMP,,
CS 29517-025,5647,3.53,0.77,-2.02,,,-0.39,0.0,-0.39,,0.77,,0.71,0,Lai+2007,LAI07,VMP,,
CS 29518-051,5100,2.29,1.84,-2.64,,0.82,-0.13,0.01,-0.12,,0.15,,-0.45,1,Yong+2013,YON13,VMP,,
CS 29522-046,5974,3.72,0.68,-2.12,,-0.33,0.42,0.0,0.42,,0.16,,-0.13,1,Yong+2013,YON13,VMP,,
CS 29526-110,6800,4.1,0.53,-2.38,,1.49,2.29,0.0,2.29,,0.93,,2.15,0,Aoki+2008,AOK08,VMP,RS,CE
CS 29527-015,6577,3.89,0.68,-3.32,,,1.18,0.0,1.18,,0.44,,,1,Yong+2013,YON13,EMP,,CE
CS 29528-028,6800,4.0,0.63,-2.86,,,2.77,0.0,2.77,,,,3.27,0,Aoki+2007,AOK07,VMP,RS,CE
CS 29528-041,6150,4.0,0.45,-3.3,,3.04,1.57,0.0,1.57,,-0.1,,0.89,0,Sivarani+2006,SIV06,EMP,,CE
CS 30301-015,4889,1.73,2.32,-2.73,,1.7,1.6,0.14,1.74,,0.37,,1.45,0,Yong+2013,YON13,VMP,RS,CE
CS 30301-024,6584,4.03,0.54,-2.54,,,0.23,0.0,0.23,,,,-0.28,1,Yong+2013,YON13,VMP,,
CS 30306-082,5598,3.5,0.79,-2.43,,,0.21,0.0,0.21,,-0.22,,-0.41,1,Lai+2007,LAI07,VMP,,
CS 30306-132,5047,2.16,1.95,-2.56,,,0.34,0.01,0.35,,0.18,,0.22,1,Yong+2013,YON13,VMP,,
CS 30308-035,4806,1.78,2.24,-3.35,,,0.0,0.09,0.09,,-0.71,,,1,Barklem+2005,BAR05,EMP,,
CS 30312-059,4908,1.75,2.31,-3.22,-0.48,,0.27,0.11,0.38,,0.02,,-0.14,1,Yong+2013,YON13,EMP,,
CS 30312-100,5117,2.34,1.79,-2.66,1.85,,0.54,0.01,0.55,,,,-0.73,1,Yong+2013,YON13,VMP,,
CS 30314-067,4320,0.5,3.34,-3.01,,1.18,0.55,0.66,1.21,,-0.27,,-0.55,1,Roederer+2014,ROE14,EMP,,NO
CS 30315-001,4565,1.14,2.79,-2.97,,,-0.54,0.72,0.18,,0.42,,-0.87,1,Barklem+2005,BAR05,VMP,,
CS 30315-029,4541,1.07,2.85,-3.33,,,-0.47,0.75,0.28,,-0.09,,0.36,1,Barklem+2005,BAR05,EMP,,
CS 30315-093,5638,3.52,0.78,-2.39,,,-0.09,0.0,-0.09,,-0.11,,-0.52,1,Lai+2007,LAI07,VMP,,
CS 30319-020,5200,2.5,1.66,-2.35,,,0.32,0.01,0.33,,-0.01,,-0.73,1,Aoki+2005,AOK05,VMP,,
CS 30325-028,4894,1.73,2.32,-2.87,,-0.22,0.38,0.21,0.59,,0.19,,-0.49,1,Yong+2013,YON13,VMP,,
CS 30325-094,4948,1.85,2.22,-3.35,,0.18,0.0,0.04,0.04,,-2.14,,-1.88,1,Yong+2013,YON13,EMP,,
CS 30327-038,5100,1.7,2.43,-2.64,,,-0.19,0.27,0.08,,-0.59,,-1.46,1,Aoki+2005,AOK05,VMP,,
CS 30329-004,5000,1.5,2.59,-2.75,,,-0.28,0.46,0.18,,0.07,,-0.89,1,Aoki+2005,AOK05,VMP,,
CS 30329-129,5467,3.37,0.88,-2.24,,,0.11,0.0,0.11,,0.04,,-0.6,1,Lai+2007,LAI07,VMP,,
CS 30336-049,4827,1.51,2.52,-4.03,,1.0,-0.2,0.29,0.09,,-1.53,,-1.5,1,Lai+2008,LAI08,UMP,,
CS 30337-097,4865,1.81,2.23,-2.74,,,-0.08,0.15,0.07,,,,,1,Barklem+2005,BAR05,VMP,,
CS 30338-089,4886,1.72,2.33,-2.78,,1.27,2.06,0.11,2.17,,,,2.3,0,Yong+2013,YON13,VMP,RS,CE
CS 30339-041,5478,2.1,2.15,-2.21,,,-0.45,0.01,-0.44,,0.25,,0.07,1,Barklem+2005,BAR05,VMP,,
CS 30339-069,6326,3.79,0.71,-3.05,,,0.56,0.0,0.56,,-0.0,,,1,Yong+2013,YON13,EMP,,
CS 30343-063,4412,0.83,3.04,-2.97,,,-0.71,0.75,0.04,,0.05,,-0.95,1,Barklem+2005,BAR05,VMP,,
CS 30492-001,5790,3.65,0.7,-2.35,,1.12,-0.05,0.0,-0.05,,,,-0.45,1,Roederer+2014,ROE14,VMP,,
CS 31060-047,4749,1.55,2.45,-2.72,,,-0.3,0.41,0.11,,-0.04,,-1.07,1,Barklem+2005,BAR05,VMP,,
CS 31061-032,6448,4.33,0.2,-2.56,,,0.56,0.0,0.56,,0.31,,-0.4,1,Yong+2013,YON13,VMP,,
CS 31062-012,6190,4.47,-0.01,-2.67,,1.2,2.12,0.0,2.12,,,,2.32,0,Yong+2013,YON13,VMP,RS,CE
CS 31062-041,4990,2.0,2.09,-2.65,1.59,,0.58,0.04,0.62,,-0.29,,-0.42,1,Yong+2013,YON13,VMP,,
CS 31062-050,5607,3.49,0.8,-2.28,,1.2,2.0,0.0,2.0,,,,2.3,0,Yong+2013,YON13,VMP,RS,CE
CS 31069-064,5468,3.38,0.87,-2.02,,,0.16,0.0,0.16,,-0.53,,-0.9,1,Lai+2007,LAI07,VMP,,
CS 31070-058,4864,1.89,2.15,-2.12,,,0.11,0.14,0.25,,0.17,,-0.21,1,Lai+2007,LAI07,VMP,,
CS 31072-118,4606,1.25,2.7,-3.06,,,-0.54,0.65,0.11,,-0.07,,-1.09,1,Barklem+2005,BAR05,EMP,,
CS 31078-018,5100,2.27,1.86,-2.99,,-0.38,0.37,0.01,0.38,,0.26,,0.38,1,Yong+2013,YON13,VMP,,
CS 31080-095,6050,4.5,-0.08,-2.85,,0.67,2.67,0.0,2.67,,-0.31,,0.72,0,Sivarani+2006,SIV06,VMP,,CE
CS 31082-001,4866,1.66,2.38,-2.75,,-0.51,0.16,0.3,0.46,,0.75,,1.02,0,Yong+2013,YON13,VMP,,
CS 31085-024,5778,4.64,-0.3,-2.8,-0.24,,0.36,0.0,0.36,,-0.24,,-0.57,1,Yong+2013,YON13,VMP,,
G 64-37,6318,4.16,0.34,-3.12,,,0.25,0.0,0.25,,,,,1,Simmerer+2004,SIM04,EMP,,
G 77-61,4000,5.0,-1.3,-4.03,,2.48,2.49,0.0,2.49,,,1.0,,1,Masseron+2012,MAS12,UMP,,NO
HD 2796,4923,1.84,2.22,-2.31,,0.85,-0.5,0.17,-0.33,,0.33,,-0.14,1,Yong+2013,YON13,VMP,,
HD 3008,4250,1.03,2.78,-2.08,,,-0.29,0.65,0.36,,,,0.08,1,Simmerer+2004,SIM04,VMP,,
HD 4306,4854,1.61,2.43,-3.04,,,0.11,0.31,0.42,,-0.07,,-1.17,1,Yong+2013,YON13,EMP,,
HD 5223,4500,1.0,2.91,-2.11,,,1.58,0.12,1.7,,1.49,,1.88,0,Goswami+2006,GOS06,VMP,RS,CE
HD 5426,4910,1.9,2.16,-2.39,,,-0.04,0.12,0.08,,0.24,,-0.14,1,McWilliam+1995,MCW95,VMP,,
HD 6268,4696,1.23,2.75,-2.74,,,-0.67,0.68,0.01,,0.11,,-0.04,1,Yong+2013,YON13,VMP,,
HD 13979,4970,1.15,2.93,-2.63,,,-0.5,0.7,0.2,,-0.91,,-0.73,1,McWilliam+1995,MCW95,VMP,,
HD 23798,4450,1.06,2.83,-2.26,,,-0.59,0.74,0.15,,,,,1,Simmerer+2004,SIM04,VMP,,
HD 26169,4750,1.35,2.65,-2.8,,-0.45,0.15,0.54,0.69,,0.44,,-0.5,1,Roederer+2014,ROE14,VMP,,
HD 29574,4250,0.8,3.01,-2.0,,,-0.69,0.71,0.02,,,,0.59,1,Simmerer+2004,SIM04,VMP,,
HD 85773,4268,0.87,2.95,-2.62,,,-0.49,0.75,0.26,,,,-0.49,1,Simmerer+2004,SIM04,VMP,,
HD 88609,4541,0.8,3.12,-2.98,,,-0.51,0.75,0.24,,-0.01,,-1.05,1,Yong+2013,YON13,VMP,,
HD 103036,4200,1.14,2.65,-2.04,,,-0.39,0.63,0.24,,,,,1,Simmerer+2004,SIM04,VMP,,
HD 103545,4666,1.64,2.33,-2.45,,,-0.44,0.37,-0.07,,,,-0.04,1,Simmerer+2004,SIM04,VMP,,
HD 107752,4649,1.63,2.34,-2.78,,,-0.59,0.32,-0.27,,,,-0.24,1,Simmerer+2004,SIM04,VMP,,
HD 108317,5234,2.68,1.49,-2.18,,,-0.09,0.01,-0.08,,,,0.58,1,Simmerer+2004,SIM04,VMP,,
HD 110184,4250,0.79,3.02,-2.72,,,-0.34,0.75,0.41,,-0.02,,-0.01,1,Simmerer+2004,SIM04,VMP,,
HD 115444,4711,1.23,2.76,-2.65,,,-0.41,0.66,0.25,,0.32,,0.14,1,Yong+2013,YON13,VMP,,
HD 119516,5382,2.47,1.75,-2.11,,,-1.19,0.01,-1.18,,,,,1,Simmerer+2004,SIM04,VMP,,
HD 122563,4843,1.62,2.42,-2.54,,0.7,-0.44,0.36,-0.08,,-0.38,,-1.12,1,Yong+2013,YON13,VMP,,
HD 126587,4853,1.61,2.43,-3.0,,,0.19,0.31,0.5,,-0.09,,-0.1,1,Yong+2013,YON13,EMP,,
HD 128279,5050,2.15,1.96,-2.52,,-0.39,0.08,0.01,0.09,,-0.51,,-0.64,1,Roederer+2014,ROE14,VMP,,
HD 135148,4183,1.24,2.54,-2.17,,,0.76,0.34,1.1,,,,0.3,1,Simmerer+2004,SIM04,VMP,,CE
HD 140283,5711,3.53,0.79,-2.56,,,0.28,0.0,0.28,,-0.05,,-0.94,1,Yong+2013,YON13,VMP,,
HD 165195,4237,0.78,3.02,-2.6,,,-0.54,0.75,0.21,,0.11,,0.23,1,Simmerer+2004,SIM04,VMP,,
HD 178443,5180,1.65,2.5,-2.05,,,-0.28,0.35,0.07,,0.27,,0.01,1,McWilliam+1995,MCW95,VMP,,
HD 186478,4629,1.07,2.89,-2.68,,0.62,-0.28,0.73,0.45,,0.32,,-0.04,1,Yong+2013,YON13,VMP,,
