Name,Teff,logg,log_L,[Fe/H],[N/Fe]_ul,[N/Fe],[C/Fe],[C/Fe]c,[C/Fe]f,[Sr/Fe]_ul,[Sr/Fe],[Ba/Fe]_ul,[Ba/Fe],I/O,Reference,Ref,MP_key,Ncap_key,C_key
HE 2155+0136,5331,3.22,0.98,-2.07,,,-0.04,0.0,-0.04,,-0.02,,0.09,1,Barklem+2005,BAR05,VMP,,
HE 2155-3750,5000,2.3,1.79,-2.59,,1.48,1.78,0.02,1.8,,,,1.73,0,Cohen+2013,COH13,VMP,RS,CE
HE 2156-3130,4692,1.28,2.7,-3.13,,,0.65,0.54,1.19,,-0.8,,0.43,1,Barklem+2005,BAR05,EMP,,CE
HE 2157-3404,4990,1.3,2.79,-2.89,,0.66,-0.54,0.62,0.08,,-0.48,,-1.39,1,Placco+2014a,PLA4a,VMP,,
HE 2158-0348,5150,2.44,1.7,-2.57,,1.52,1.87,0.02,1.89,,0.6,,1.75,0,Yong+2013,YON13,VMP,RS,CE
HE 2200-1946,5000,2.5,1.59,-2.63,,,0.34,0.01,0.35,,,,-1.43,1,Cohen+2013,COH13,VMP,,
HE 2200-2030,5870,3.42,0.95,-2.0,,,0.06,0.0,0.06,,0.03,,-0.09,1,Barklem+2005,BAR05,VMP,,
HE 2201-0637,4976,2.21,1.87,-2.59,,,0.1,0.01,0.11,,0.0,,-0.72,1,Barklem+2005,BAR05,VMP,,
HE 2202-4831,5331,2.95,1.25,-2.78,,,2.41,0.02,2.43,,,,-1.28,1,Yong+2013,YON13,VMP,,NO
HE 2203-3723,5118,2.2,1.93,-3.3,,,1.0,0.01,1.01,,,,-0.24,1,Cohen+2013,COH13,EMP,,NO
HE 2204-1703,4932,1.87,2.2,-2.79,,,0.17,0.11,0.28,,-0.43,,-0.8,1,Barklem+2005,BAR05,VMP,,
HE 2206-2245,5100,2.45,1.68,-2.73,,,0.17,0.01,0.18,,0.05,,-0.16,1,Barklem+2005,BAR05,VMP,,
HE 2215-2548,5035,2.1,2.0,-3.01,,,0.18,0.01,0.19,,,,-0.95,1,Cohen+2013,COH13,EMP,,
HE 2216-0621,4671,1.27,2.7,-3.23,,,-0.7,0.62,-0.08,,-0.39,,-1.31,1,Barklem+2005,BAR05,EMP,,
HE 2217-0706,4497,1.01,2.9,-2.58,,,-0.59,0.75,0.16,,-0.09,,-0.61,1,Barklem+2005,BAR05,VMP,,
HE 2217-1523,4847,1.82,2.22,-2.62,,,0.0,0.17,0.17,,-0.05,,-0.57,1,Barklem+2005,BAR05,VMP,,
HE 2217-4053,5148,2.4,1.74,-3.37,,0.65,1.14,0.01,1.15,,,,1.3,0,Cohen+2013,COH13,EMP,RS,CE
HE 2219-0713,4789,1.68,2.34,-2.92,,,-0.21,0.25,0.04,,-0.22,,-1.41,1,Barklem+2005,BAR05,VMP,,
HE 2221-0453,4430,0.73,3.15,-2.0,,0.84,1.83,0.08,1.91,,,,1.76,0,Yong+2013,YON13,VMP,RS,CE
HE 2221-4150,5887,4.06,0.32,-2.03,,,0.19,0.0,0.19,,0.12,,0.04,1,Barklem+2005,BAR05,VMP,,
HE 2222-4156,5537,3.27,1.0,-2.73,,,0.38,0.0,0.38,,0.16,,-0.21,1,Barklem+2005,BAR05,VMP,,
HE 2224+0143,5198,2.66,1.5,-2.58,,,0.31,0.01,0.32,,0.33,,0.53,1,Barklem+2005,BAR05,VMP,,
HE 2224-4103,5074,2.32,1.8,-2.6,,,0.19,0.01,0.2,,-0.0,,-0.62,1,Barklem+2005,BAR05,VMP,,
HE 2226-4102,5140,2.43,1.71,-2.87,,,0.42,0.01,0.43,,0.05,,-1.05,1,Barklem+2005,BAR05,VMP,,
HE 2227-4044,5811,3.85,0.5,-2.32,,,1.59,0.0,1.59,,0.51,,1.29,0,Barklem+2005,BAR05,VMP,RS,CE
HE 2228-0706,5003,2.02,2.07,-2.78,,1.13,2.32,0.04,2.36,,,,2.46,0,Yong+2013,YON13,VMP,RS,CE
HE 2228-3806,5175,2.62,1.53,-3.07,,,0.38,0.01,0.39,,-0.09,,-0.62,1,Barklem+2005,BAR05,EMP,,
HE 2229-4153,5138,2.47,1.67,-2.59,,,0.33,0.01,0.34,,0.19,,-0.33,1,Barklem+2005,BAR05,VMP,,
HE 2231-0622,5211,2.9,1.26,-2.12,,,-0.12,0.01,-0.11,,-0.4,,-0.51,1,Barklem+2005,BAR05,VMP,,
HE 2233-4724,4360,0.4,3.45,-3.65,,,-0.48,0.7,0.22,,-0.77,,-1.13,1,Placco+2014a,PLA4a,EMP,,
HE 2234-0521,5332,3.15,1.05,-2.78,,,0.32,0.01,0.33,,-0.2,,-0.89,1,Barklem+2005,BAR05,VMP,,
HE 2236+0204,5036,2.1,2.0,-2.86,,,0.22,0.01,0.23,,,,-0.05,1,Cohen+2013,COH13,VMP,,
HE 2238-0131,4350,0.15,3.7,-3.0,,,-0.42,0.75,0.33,,,,-0.46,1,Hollek+2011,HOL11,EMP,,
HE 2238-2152,5427,3.28,0.95,-2.4,,,0.09,0.0,0.09,,-0.19,,-0.42,1,Barklem+2005,BAR05,VMP,,
HE 2239-5019,6125,3.48,0.96,-4.15,1.2,,1.8,0.0,1.8,,,0.0,,1,Hansen+2014,HAN14,UMP,,NO
HE 2240-0412,5852,4.33,0.04,-2.2,,,1.26,0.0,1.26,,0.34,,1.28,0,Barklem+2005,BAR05,VMP,RS,CE
HE 2242-1930,5281,2.99,1.2,-2.21,,,0.05,0.01,0.06,,0.06,,-0.15,1,Barklem+2005,BAR05,VMP,,
HE 2244-1503,5122,2.57,1.56,-2.87,,,0.11,0.01,0.12,,-0.1,,0.4,1,Barklem+2005,BAR05,VMP,,
HE 2244-2116,5230,2.7,1.47,-2.35,,,-0.35,0.01,-0.34,,,,-1.92,1,Cohen+2013,COH13,VMP,,
HE 2247-3705,5366,3.04,1.17,-2.26,,,0.32,0.01,0.33,,-0.23,,-0.88,1,Barklem+2005,BAR05,VMP,,
HE 2247-7400,4829,1.56,2.47,-2.87,,,0.7,0.32,1.02,,,,-0.94,1,Yong+2013,YON13,VMP,,NO
HE 2248-3345,5011,2.11,1.99,-2.73,,,0.17,0.01,0.18,,-1.89,,-1.42,1,Barklem+2005,BAR05,VMP,,
