Element,D_Teff,D_logg,D_Vmic,Quadratic
D_[Ba II/H],-0.04,0.17,0.28,0.33
D_[Ca I/H],-0.27,0.04,0.07,0.28
D_[Co I/H],-0.14,0.10,0.12,0.21
D_[Cr I/H],-0.36,0.03,0.32,0.48
D_[Fe I/H],-0.12,0.09,0.18,0.23
D_[Fe II/H],0.34,0.23,0.11,0.42
D_[Mg I/H],-0.10,-0.08,0.15,0.20
D_[Mn I/H],-0.27,0.06,0.07,0.29
D_[Nd II/H],0.00,0.19,0.03,0.19
D_[Ni I/H],-0.01,0.06,0.03,0.07
D_[Ti I/H],-0.38,0.06,0.07,0.39
D_[Ti II/H],0.08,0.20,0.13,0.25
