Reference,Ref,Name,Simbad_Identifier,Loc,System,RA_hms,DEC_dms,RA_deg,DEC_deg,Teff,logg,M/H,Vmic,e_Teff,e_logg,e_M/H,e_Vmic,UT-DATE,BINNING,EXPTIME,SLITSIZE,[C/Fe],e_[C/Fe],[C/H],e_[C/H],[Fe/H],[Na/H],[Mg/H],[Al/H],[Si/H],[Ca/H],[Sc/H],[TiII/H],[Cr/H],[CrII/H],[Mn/H],[Co/H],[Ni/H],[Zn/H],[Sr/H],[Y/H],[Zr/H],[Ba/H],[La/H],[Eu/H],[Dy/H],e_[Fe/H],e_[Na/H],e_[Mg/H],e_[Al/H],e_[Si/H],e_[Ca/H],e_[Sc/H],e_[TiII/H],e_[Cr/H],e_[CrII/H],e_[Mn/H],e_[Co/H],e_[Ni/H],e_[Zn/H],e_[Sr/H],e_[Y/H],e_[Zr/H],e_[Ba/H],e_[La/H],e_[Eu/H],e_[Dy/H],[Na/Fe],[Mg/Fe],[Al/Fe],[Si/Fe],[Ca/Fe],[Sc/Fe],[TiII/Fe],[Cr/Fe],[CrII/Fe],[Mn/Fe],[Co/Fe],[Ni/Fe],[Zn/Fe],[Sr/Fe],[Y/Fe],[Zr/Fe],[Ba/Fe],[La/Fe],[Eu/Fe],[Dy/Fe],e_[Na/Fe],e_[Mg/Fe],e_[Al/Fe],e_[Si/Fe],e_[Ca/Fe],e_[Sc/Fe],e_[TiII/Fe],e_[Cr/Fe],e_[CrII/Fe],e_[Mn/Fe],e_[Co/Fe],e_[Ni/Fe],e_[Zn/Fe],e_[Sr/Fe],e_[Y/Fe],e_[Zr/Fe],e_[Ba/Fe],e_[La/Fe],e_[Eu/Fe],e_[Dy/Fe],[Eu/Mg],[Eu/FeII],[Sr/Ba],[Sr/Mg],[Eu/Ba],e_[Eu/Mg],e_[Eu/FeII],e_[Sr/Ba],e_[Sr/Mg],e_[Eu/Ba]
Ou+2024c,OU24c,Gaia DR3 31707926776039680,Gaia DR3 31707926776039680,DW,Gaia-Sausage/Enceladus,02:53:00.07,+13:07:45.44,43.250292,13.12929,4896,1.89,-1.95,1.88,123,0.21,0.22,0.25,2021-11-08,2x2,2700,0.70x5.00,-0.1,0.17,-2.06,0.23,-1.96,-1.8,-1.63,-2.58,-1.51,-1.61,-1.91,-1.6,-2.07,-1.84,-2.37,-1.85,-1.98,-1.82,-1.86,-2.14,-1.74,-2.02,-1.78,-1.57,-1.56,0.18,0.12,0.12,0.14,0.12,0.12,0.11,0.09,0.18,0.1,0.11,0.17,0.13,0.08,0.13,0.08,0.11,0.13,0.08,0.09,0.08,0.16,0.34,-0.62,0.45,0.36,0.05,0.36,-0.11,0.12,-0.41,0.11,-0.02,0.14,0.1,-0.18,0.22,-0.06,0.18,0.39,0.4,0.15,0.09,0.11,0.06,0.06,0.05,0.06,0.05,0.06,0.1,0.09,0.08,0.16,0.12,0.05,0.06,0.08,0.07,0.08,0.05,0.06,0.39,0.16,-0.24,0.45,0.14,0.08,0.06,0.1,0.11
Ou+2024c,OU24c,Gaia DR3 1187898485610541696,Gaia DR3 1187898485610541696,DW,Gaia-Sausage/Enceladus,14:53:08.69,+16:11:04.09,223.286208,16.18447,4451,1.53,-1.21,1.75,122,0.21,0.21,0.23,2021-07-28,2x1,900,0.50x5.00,-0.66,0.26,-1.86,0.2,-1.19,-1.23,-0.95,,-0.81,-0.82,-0.81,-0.76,-1.17,-0.78,-1.54,-1.55,-1.2,-1.18,-0.97,-1.1,-0.56,-0.86,-0.81,-0.42,-0.53,0.18,0.12,0.14,,0.06,0.18,0.2,0.15,0.31,0.16,0.16,0.21,0.16,0.15,0.11,0.17,0.11,0.18,0.11,0.12,0.08,-0.04,0.25,,0.38,0.38,0.34,0.39,0.02,0.37,-0.35,-0.36,-0.0,0.02,0.18,0.04,0.58,0.29,0.34,0.72,0.62,0.1,0.13,,0.17,0.05,0.14,0.1,0.14,0.03,0.09,0.18,0.07,0.21,0.2,0.21,0.14,0.12,0.14,0.1,0.19,0.52,0.72,-0.11,-0.03,0.44,0.2,0.1,0.19,0.17,0.14
Ou+2024c,OU24c,Gaia DR3 2472646349146818816,Gaia DR3 2472646349146818816,DW,Gaia-Sausage/Enceladus,00:59:31.44,-10:58:15.96,14.881,-10.9711,4593,1.51,-1.54,1.77,122,0.21,0.21,0.24,2021-11-08,2x2,1200,0.70x5.00,-0.56,0.24,-2.11,0.18,-1.55,-1.57,-1.21,-2.21,-1.14,-1.17,-1.24,-1.09,-1.57,-1.43,-1.96,-1.53,-1.65,-1.57,-1.45,-1.65,-1.29,-1.33,-1.22,-0.83,-0.81,0.21,0.1,0.12,0.25,0.05,0.17,0.17,0.14,0.26,0.14,0.14,0.23,0.14,0.1,0.09,0.12,0.12,0.18,0.11,0.11,0.14,-0.02,0.34,-0.66,0.41,0.38,0.33,0.48,-0.02,0.14,-0.41,0.02,-0.1,-0.02,0.12,-0.08,0.28,0.24,0.36,0.74,0.76,0.13,0.12,0.12,0.18,0.06,0.1,0.08,0.08,0.06,0.08,0.21,0.09,0.22,0.13,0.09,0.1,0.11,0.07,0.1,0.11,0.38,0.74,-0.12,-0.25,0.5,0.2,0.1,0.13,0.12,0.17
Ou+2024c,OU24c,Gaia DR3 2504634406573540608,Gaia DR3 2504634406573540608,DW,Gaia-Sausage/Enceladus,01:59:39.18,-02:42:49.75,29.91325,-2.71382,4814,2.15,-1.24,1.53,122,0.21,0.22,0.25,2021-07-28,2x1,360,0.50x5.00,-0.31,0.22,-1.55,0.18,-1.24,-1.39,-1.0,-2.11,-0.9,-0.88,-1.03,-0.81,-1.26,-1.26,-1.53,-1.32,-1.26,-1.25,-1.08,-1.22,-1.0,-1.0,-0.97,-0.72,-0.59,0.21,0.14,0.14,0.17,0.06,0.16,0.17,0.15,0.26,0.13,0.11,0.18,0.15,0.12,0.09,0.14,0.12,0.2,0.12,0.12,0.1,-0.15,0.25,-0.86,0.34,0.36,0.26,0.48,-0.01,0.03,-0.28,-0.08,-0.02,-0.0,0.21,0.07,0.29,0.29,0.32,0.57,0.7,0.12,0.15,0.2,0.18,0.06,0.09,0.07,0.06,0.06,0.12,0.16,0.09,0.2,0.14,0.08,0.1,0.12,0.08,0.11,0.1,0.27,0.57,-0.08,-0.09,0.28,0.2,0.11,0.16,0.13,0.2
Ou+2024c,OU24c,Gaia DR3 2505065101598396416,Gaia DR3 2505065101598396416,DW,Gaia-Sausage/Enceladus,01:56:29.62,-01:50:45.96,29.123417,-1.8461,4488,1.49,-1.34,1.71,122,0.2,0.21,0.23,2021-07-28,2x1,600,0.50x5.00,-0.77,0.26,-2.08,0.19,-1.32,-1.36,-1.03,-2.13,-1.0,-0.93,-1.01,-0.84,-1.3,-1.18,-1.67,-1.45,-1.4,-1.44,-1.28,-1.41,-1.14,-1.15,-1.09,-0.74,-0.83,0.19,0.11,0.14,0.22,0.06,0.18,0.17,0.16,0.3,0.18,0.12,0.28,0.15,0.12,0.13,0.14,0.08,0.18,0.1,0.1,0.05,-0.04,0.28,-0.82,0.31,0.38,0.35,0.52,0.01,0.19,-0.35,-0.13,-0.08,-0.12,0.09,-0.04,0.23,0.21,0.27,0.62,0.54,0.11,0.12,0.11,0.18,0.04,0.11,0.1,0.11,0.12,0.1,0.24,0.07,0.22,0.17,0.13,0.11,0.12,0.09,0.09,0.13,0.29,0.62,-0.13,-0.24,0.41,0.19,0.09,0.16,0.16,0.14
Ou+2024c,OU24c,Gaia DR3 2538202737087917184,Gaia DR3 2538202737087917184,DW,Gaia-Sausage/Enceladus,01:07:27.03,+01:19:27.23,16.862625,1.32423,4931,2.49,-0.88,1.25,122,0.21,0.22,0.23,2021-07-28,2x1,1800,0.50x5.00,-0.37,0.23,-1.25,0.21,-0.88,-0.96,-0.84,-1.8,-0.65,-0.57,-0.74,-0.57,-0.76,-0.8,-1.1,-1.01,-0.94,-0.96,-0.96,-1.08,-0.64,-0.64,-0.67,-0.46,-0.44,0.2,0.09,0.14,0.29,0.07,0.16,0.16,0.15,0.27,0.16,0.15,0.18,0.16,0.14,0.11,0.18,0.16,0.18,0.11,0.11,0.08,-0.08,0.04,-0.92,0.23,0.32,0.22,0.38,0.13,0.16,-0.21,-0.12,-0.05,-0.08,-0.0,-0.13,0.32,0.32,0.29,0.5,0.52,0.12,0.14,0.21,0.15,0.06,0.1,0.07,0.1,0.08,0.09,0.2,0.07,0.2,0.13,0.14,0.12,0.12,0.08,0.1,0.1,0.38,0.5,-0.33,-0.12,0.18,0.19,0.1,0.14,0.15,0.17
Ou+2024c,OU24c,Gaia DR3 2543390232947773824,Gaia DR3 2543390232947773824,DW,Gaia-Sausage/Enceladus,00:40:00.33,+01:01:36.62,10.001375,1.02684,4977,2.31,-1.3,1.47,122,0.21,0.22,0.24,2021-07-28,2x1,1800,0.50x5.00,-0.22,0.2,-1.51,0.2,-1.28,-1.38,-1.08,-2.1,-0.88,-0.92,-1.14,-0.95,-1.3,-1.2,-1.57,-1.3,-1.32,-1.28,-1.18,-1.4,-0.92,-1.25,-1.09,-0.81,-0.7,0.2,0.14,0.13,0.23,0.08,0.16,0.15,0.13,0.24,0.12,0.16,0.18,0.15,0.11,0.1,0.14,0.15,0.19,0.11,0.11,0.14,-0.1,0.2,-0.81,0.41,0.36,0.25,0.45,-0.02,0.2,-0.29,-0.01,-0.04,0.01,0.21,-0.0,0.48,0.14,0.3,0.59,0.69,0.1,0.12,0.11,0.14,0.05,0.08,0.06,0.05,0.05,0.11,0.12,0.07,0.18,0.11,0.07,0.12,0.12,0.07,0.09,0.1,0.28,0.59,0.07,-0.1,0.45,0.19,0.09,0.13,0.13,0.17
Ou+2024c,OU24c,Gaia DR3 2558587476508131072,Gaia DR3 2558587476508131072,DW,Gaia-Sausage/Enceladus,01:30:13.92,+02:07:07.61,22.558,2.11878,4935,2.36,-1.33,1.9,122,0.21,0.22,0.26,2021-07-28,2x1,2700,0.50x5.00,-0.51,0.2,-1.82,0.19,-1.31,-1.48,-1.05,-2.3,-0.85,-1.02,-0.92,-0.73,-1.43,-1.09,-1.64,-1.29,-1.3,-1.06,-1.12,-1.21,-0.78,-0.95,-0.91,-0.61,-0.48,0.2,0.14,0.14,0.0,0.08,0.16,0.15,0.13,0.22,0.12,0.13,0.21,0.14,0.11,0.13,0.13,0.13,0.18,0.1,0.1,0.08,-0.17,0.26,-0.99,0.46,0.29,0.17,0.36,-0.12,0.01,-0.33,0.02,0.01,0.25,-0.03,-0.11,0.31,0.14,0.18,0.48,0.62,0.1,0.13,0.2,0.13,0.05,0.07,0.06,0.04,0.06,0.1,0.18,0.08,0.18,0.14,0.06,0.08,0.1,0.06,0.1,0.08,0.44,0.48,-0.17,-0.07,0.34,0.2,0.1,0.14,0.14,0.16
Ou+2024c,OU24c,Gaia DR3 2566035087238555776,Gaia DR3 2566035087238555776,DW,Gaia-Sausage/Enceladus,01:24:25.38,+06:43:39.83,21.10575,6.72773,5103,2.27,-2.37,1.66,123,0.2,0.23,0.25,2021-11-08,2x2,4800,0.70x5.00,0.18,0.16,-2.19,0.27,-2.38,-2.15,-2.01,-3.34,-1.6,-2.03,-2.38,-2.06,-2.47,-2.18,-2.89,-2.22,-2.48,-2.27,-2.41,-2.8,-2.43,-2.87,,-2.48,-2.52,0.14,0.2,0.11,0.06,0.1,0.1,0.09,0.11,0.15,0.08,0.08,0.14,0.12,0.1,0.22,0.1,0.09,0.1,,0.12,0.14,0.23,0.37,-0.96,0.78,0.34,0.06,0.37,-0.1,0.25,-0.52,0.16,-0.1,0.11,0.02,-0.37,-0.0,-0.44,,-0.05,-0.09,0.1,0.1,0.14,0.05,0.06,0.05,0.06,0.07,0.03,0.07,0.06,0.09,0.11,0.2,0.07,0.04,0.05,,0.08,0.09,-0.47,-0.05,0.46,-0.4,0.39,0.18,0.08,0.22,0.22,0.11
Ou+2024c,OU24c,Gaia DR3 2632995998205049216,Gaia DR3 2632995998205049216,DW,Gaia-Sausage/Enceladus,23:30:29.31,-05:23:43.76,352.622125,-5.39549,4431,1.18,-1.58,1.82,122,0.21,0.22,0.26,2021-11-08,2x2,2700,0.70x5.00,-0.6,0.25,-2.19,0.19,-1.59,-1.78,-1.32,-2.5,-1.16,-1.28,-1.48,-1.29,-1.63,-1.5,-2.02,-1.9,-1.75,-1.74,-1.5,-1.58,-1.37,-1.29,-1.25,-1.05,-1.11,0.22,0.1,0.13,0.14,0.05,0.18,0.15,0.14,0.31,0.17,0.13,0.23,0.15,0.11,0.08,0.15,0.11,0.2,0.12,0.1,0.07,-0.19,0.28,-0.91,0.43,0.31,0.15,0.35,-0.04,0.14,-0.42,-0.31,-0.16,-0.15,0.13,0.06,0.26,0.34,0.38,0.58,0.52,0.14,0.12,0.2,0.19,0.06,0.08,0.09,0.11,0.13,0.1,0.17,0.09,0.24,0.14,0.12,0.1,0.14,0.08,0.11,0.09,0.27,0.58,-0.22,-0.19,0.24,0.19,0.11,0.15,0.1,0.18
