# BooII-15 abundance comparison.
Ion,Francois et al. (2015),Koch & Rich (2014)
[Fe/H],-2.98,-2.93
[C/Fe],-0.10,0.03
[Mg/Fe],0.44,0.58
[Ca/Fe],0.58,0.35
[Ba/Fe],<-0.28,<-0.62
