# Leo IV - S1 abundance ratio comparison.
Ion,Francois et al. (2015),Simon et al. (2010)
[Fe/H],-2.88,-3.20
[Na/Fe],0.10,0.01
[Mg/Fe],0.44,0.32
[Ti/Fe],0.26,0.38
[Sr/Fe],<-0.02,-1.02
[Ba/Fe],<-0.98,-1.45
