Name,Simbad_Identifier,RA_hms,DEC_dms,System,gmag,rmag,imag,zmag,HJD,t_exp,SNR4500,Vel,e_Vel
CetII-J0117,2MASS J01174054-1730532,01:17:40.54,-17:30:53.20,Cetus II,16.443,15.716,15.818,16.014,2457988.70127,2x1800,15,-81.38,0.52
CetII-J0117,2MASS J01174054-1730532,01:17:40.54,-17:30:53.20,Cetus II,16.443,15.716,15.818,16.014,2458059.49903,5x1800,21,-81.89,0.51
