Name,Species,lambda,chi,loggf,EW,logepsX
LeoIV-S1,Na I,5889.973,0.00,0.100,220.0,3.28
LeoIV-S1,Na I,5895.940,0.00,-0.200,160.0,2.84
LeoIV-S1,Mg I,4571.102,0.00,-5.670,64.0,4.47
LeoIV-S1,Mg I,4703.003,4.34,-0.520,75.0,5.11
LeoIV-S1,Mg I,5172.698,2.71,-0.380,231.0,4.66
LeoIV-S1,Mg I,5183.619,2.72,-0.160,256.0,4.66
LeoIV-S1,Mg I,5528.418,4.34,-0.341,74.0,4.76
LeoIV-S1,Ca I,5588.764,2.52,0.358,47.0,3.39
LeoIV-S1,Ca I,5594.471,2.52,0.097,22.0,3.22
LeoIV-S1,Ca I,6102.727,1.88,-0.770,38.0,3.51
LeoIV-S1,Ca I,6122.226,1.89,-0.320,62.0,3.38
LeoIV-S1,Ca I,6162.180,1.90,-0.090,90.0,3.47
LeoIV-S1,Ca I,6439.083,2.52,0.390,61.0,3.45
LeoIV-S1,Sc II,5031.024,1.36,-0.400,41.0,0.27
LeoIV-S1,Sc II,5526.821,1.77,0.020,42.0,0.33
LeoIV-S1,Sc II,5657.880,1.51,-0.600,18.0,0.14
LeoIV-S1,Ti I,5039.964,0.02,-1.130,25.0,1.76
LeoIV-S1,Ti I,5210.392,0.05,-0.884,58.0,2.01
LeoIV-S1,Ti II,4417.723,1.16,-1.430,82.0,2.13
LeoIV-S1,Ti II,4443.812,1.08,-0.700,127.0,1.95
LeoIV-S1,Ti II,4468.500,1.13,-0.600,120.0,1.79
LeoIV-S1,Ti II,4501.278,1.12,-0.750,136.0,2.15
LeoIV-S1,Ti II,4563.766,1.22,-0.960,122.0,2.24
LeoIV-S1,Ti II,4571.982,1.57,-0.530,111.0,2.12
LeoIV-S1,Ti II,4589.953,1.24,-1.790,70.0,2.37
LeoIV-S1,Ti II,5185.908,1.89,-1.350,26.0,2.02
LeoIV-S1,Ti II,5336.794,1.58,-1.700,63.0,2.48
LeoIV-S1,Ti II,5381.028,1.57,-2.080,21.0,2.19
LeoIV-S1,Cr I,4254.346,0.00,-0.114,141.0,1.92
LeoIV-S1,Cr I,5345.807,1.00,-0.980,26.0,2.08
LeoIV-S1,Fe I,4447.728,2.22,-1.339,77.0,4.30
LeoIV-S1,Fe I,4494.573,2.20,-1.136,74.0,4.01
LeoIV-S1,Fe I,4871.325,2.86,-0.362,60.0,3.81
LeoIV-S1,Fe I,4872.144,2.88,-0.567,91.0,4.44
LeoIV-S1,Fe I,4890.763,2.87,-0.394,71.0,3.99
LeoIV-S1,Fe I,4891.502,2.85,-0.111,83.0,3.83
LeoIV-S1,Fe I,4994.138,0.91,-2.956,71.0,3.93
LeoIV-S1,Fe I,5041.076,0.96,-3.086,86.0,4.29
LeoIV-S1,Fe I,5041.763,1.48,-2.203,114.0,4.46
LeoIV-S1,Fe I,5049.827,2.28,-1.355,67.0,4.09
LeoIV-S1,Fe I,5123.730,1.01,-3.058,115.0,4.66
LeoIV-S1,Fe I,5127.368,0.91,-3.249,81.0,4.31
LeoIV-S1,Fe I,5133.699,4.18,0.140,23.0,4.38
LeoIV-S1,Fe I,5150.852,0.99,-3.037,113.0,4.58
LeoIV-S1,Fe I,5151.917,1.01,-3.321,70.0,4.38
LeoIV-S1,Fe I,5166.284,0.00,-4.123,94.0,4.08
LeoIV-S1,Fe I,5171.610,1.48,-1.721,118.0,3.98
LeoIV-S1,Fe I,5191.465,3.04,-0.551,47.0,4.01
LeoIV-S1,Fe I,5192.353,3.00,-0.421,83.0,4.27
LeoIV-S1,Fe I,5194.949,1.56,-2.021,120.0,4.41
LeoIV-S1,Fe I,5216.283,1.61,-2.082,91.0,4.17
LeoIV-S1,Fe I,5225.534,0.11,-4.755,82.0,4.72
LeoIV-S1,Fe I,5232.952,2.94,-0.057,109.0,4.13
LeoIV-S1,Fe I,5250.216,0.12,-4.938,68.0,4.76
LeoIV-S1,Fe I,5281.798,3.04,-0.833,48.0,4.29
