J133514.0-011052    4568 1.07 2.61 -2.45 0.01 -2.59 0.04
J133748.9-082617    4365 0.25 2.61 -2.62 0.01 -2.62 0.06
J133931.4-125721    4574 0.72 2.84 -2.71 0.01 -2.92 0.03
2MJ13402720-0016031 4568 0.90 2.78 -2.43 0.02 -2.61 0.05
J134254.1-071701    4568 0.90 2.94 -2.51 0.01 -2.68 0.04
J133352.8-262354    4821 1.72 1.69 -2.12 0.01 -2.21 0.04
J140308.6-321401    4513 1.13 2.43 -2.41 0.01 -2.54 0.04
2MJ14043762+0011117 4370 0.26 2.14 -1.87 0.00 -1.92 0.05
J141015.9-034355    4931 2.00 1.83 -2.06 0.00 -2.19 0.06
J141640.8-242200    4647 0.86 2.27 -2.57 0.01 -2.57 0.04
J141808.7-284208    4672 1.26 1.99 -2.32 0.01 -2.28 0.03
J141914.0-084441    4831 1.72 1.79 -2.08 0.01 -2.20 0.04
J150025.0-061337    4460 0.73 1.86 -2.05 0.01 -2.08 0.03
J150203.0-052857    4370 0.56 1.82 -1.82 0.01 -1.87 0.03
J150757.0-065959    4300 0.52 2.21 -2.07 0.01 -2.12 0.03
J150833.9-145917    4543 1.13 2.53 -2.29 0.01 -2.42 0.04
J151116.8+002525    4568 0.90 2.88 -2.46 0.01 -2.61 0.04
J151608.7-212200    4285 0.36 2.46 -2.27 0.01 -2.35 0.02
2MJ15211026-0607566 4707 1.33 1.99 -2.00 0.01 -2.00 0.03
J152713.5-233618    6260 4.57 2.07 -1.78 0.02 -2.04 0.03
J153421.9-085747    4721 1.26 2.41 -3.03 0.02 -3.29 0.03
J153830.9-180424    4752 1.63 1.73 -2.09 0.02 -2.08 0.04
J154204.1-013121    4638 1.34 2.39 -2.18 0.01 -2.33 0.04
J154755.2-083710    4285 0.25 2.48 -2.48 0.01 -2.49 0.03
J155427.3+002137    5210 1.24 1.95 -2.18 0.02 -2.32 0.03
J160245.0-152102    4977 2.57 1.30 -1.87 0.01 -1.80 0.04
J160612.7-040034    4060 0.02 2.31 -2.09 0.01 -2.10 0.03
J160642.3-163245    4225 0.19 2.21 -2.38 0.01 -2.31 0.02
J160951.2-094118    4634 0.66 2.53 -2.66 0.01 -2.95 0.01
J161228.4-054142    4420 0.70 1.79 -1.80 0.01 -1.86 0.03
J161228.3-084808    4350 0.56 1.98 -2.11 0.01 -2.13 0.02
J161635.6-040115    4370 0.63 2.03 -1.97 0.01 -2.01 0.03
J161843.1-063056    5335 1.31 1.73 -2.41 0.03 -2.61 0.08
J162722.5-084836    4678 1.54 2.52 -2.36 0.02 -2.49 0.05
J162856.2-101457    4955 1.31 2.35 -2.00 0.02 -2.22 0.04
J163931.1-052252    4370 0.56 2.11 -2.07 0.01 -2.06 0.04
