J0007-0345   TYC 5329-1927-1 4663 1.48 2.07 -2.09 0.01  91 -2.10 0.03 24   0.17 0.07
J0012-1816   BD-01 2582      4985 2.44 1.27 -2.28 0.01  94 -2.27 0.02 17  -0.26 0.15
J0022-1724   HE 1116-0634    4718 1.11 1.29 -3.38 0.03  30 -3.44 0.11  3   1.87 0.13 C
J0030-1007   TYC 4924-33-1   4831 1.48 1.97 -2.35 0.02  90 -2.34 0.06 14   0.50 0.20
J0053-0253   TYC 6535-3183-1 4370 0.56 1.81 -2.16 0.01  93 -2.16 0.04 25   0.40 0.07
J0054-0611   TYC 4995-333-1  4707 1.03 1.74 -2.32 0.02  89 -2.37 0.08 15   0.50 0.14
J0107-0524   BD-01 2582      5225 3.03 1.20 -2.32 0.01  82 -2.36 0.03 13  -0.09 0.07
J0145-2800   TYC 4995-333-1  4582 0.69 1.57 -2.60 0.02  79 -2.58 0.05 12   0.34 0.15
J0156-1402   TYC 4995-333-1  4622 1.09 2.27 -2.08 0.02  86 -2.07 0.05 20   0.37 0.13
2MJ0213-0005 TYC 5911-452-1  6225 4.54 2.33 -1.88 0.02  38 -1.93 0.08  5  -0.38 0.07
J0227-0519   TYC 5329-1927-1 4498 0.96 2.44 -2.38 0.02  85 -2.40 0.05 22   0.08 0.14
J0229-1307   TYC 5911-452-1  6510 4.54 2.44 -1.42 0.05  18 -1.45 0.10  1   0.40 0.20
J0236-1202   TYC 4995-333-1  4947 1.68 1.54 -2.13 0.03  85 -2.12 0.05 22  -0.17 0.20
J0241-0427   HD 122563       4539 0.79 1.99 -2.48 0.01  70 -2.52 0.02 21   0.40 0.07
J0242-0707   TYC 5911-452-1  6590 4.17 0.97 -2.04 0.02  22 -2.06 0.08  3   0.40 0.20
J0243-3249   TYC 5329-1927-1 4613 0.90 2.13 -2.62 0.02  62 -2.63 0.08 12   0.49 0.25
J0246-1518   TYC 6900-414-1  4948 1.93 1.56 -2.45 0.03  69 -2.48 0.06  9  -0.07 0.20
J0307-0534   TYC 5329-1927-1 4568 1.20 2.06 -2.23 0.01  94 -2.21 0.04 24   0.44 0.07
J0313-1020   TYC 4995-333-1  4757 1.47 1.74 -2.05 0.02 102 -2.08 0.04 23   0.17 0.07
J0343-0924   TYC 6535-3183-1 4380 0.46 1.92 -1.92 0.01  93 -1.90 0.05 22   0.24 0.12
J0346-0730   TYC 4995-333-1  4707 1.33 1.76 -1.99 0.01  96 -2.01 0.03 24   0.28 0.10
J0355-0637   TYC 4924-33-1   5076 1.47 1.47 -2.38 0.02  86 -2.38 0.05 19  -0.29 0.40
J0419-0517   TYC 5329-1927-1 4568 1.30 2.14 -2.02 0.01  85 -2.05 0.04 24   0.20 0.13
J0423-1315   TYC 6535-3183-1 4175 0.02 2.09 -2.38 0.01  83 -2.36 0.04 20   0.58 0.15
J0434-2325   TYC 6535-3183-1 4235 0.76 1.96 -1.89 0.02  78 -1.87 0.04 22   0.23 0.13
J0441-2303   TYC 5861-1732-1 5525 1.63 1.40 -2.48 0.03  45 -2.51 0.05 11   0.64 0.20
J0453-2437   TYC 4995-333-1  4672 1.08 1.94 -2.44 0.01  81 -2.43 0.04 18  -0.04 0.20
J0456-3115   TYC 6535-3183-1 4190 0.05 2.02 -2.19 0.01  86 -2.21 0.04 22   0.45 0.17
J0505-2145   TYC 6535-3183-1 4465 0.33 1.61 -2.16 0.02  87 -2.14 0.04 19   0.44 0.18
J0517-1342   TYC 4924-33-1   4961 1.93 1.63 -2.14 0.01 103 -2.16 0.03 18   0.04 0.10
J0525-3049   TYC 5861-1732-1 5195 1.37 1.54 -2.18 0.02  83 -2.18 0.08  8   0.21 0.30
J0610-3141   TYC 4924-33-1   4986 1.53 2.15 -2.74 0.03  49 -2.78 0.06  7 < 0.60
J0705-3343   TYC 4995-333-1  4757 1.27 1.71 -2.24 0.02  94 -2.27 0.04 19   0.27 0.12
J0711-3432   TYC 4995-333-1  4767 1.33 1.74 -1.96 0.02  89 -2.01 0.06 16   0.47 0.40
J0910-1444   CS 22169-0035   4693 0.70 1.54 -3.04 0.02  66 -3.04 0.05 10   0.24 0.30
J0918-2311   TYC 4995-333-1  4662 1.05 2.07 -2.05 0.01  88 -2.08 0.03 24   0.32 0.10
J0929-2905   TYC 4995-333-1  4737 0.96 1.74 -2.32 0.02  90 -2.32 0.06 16   0.11 0.13
J0946-0626   TYC 6535-3183-1 4370 0.56 1.89 -1.99 0.02  92 -2.01 0.04 23   0.21 0.13
J0949-1617   TYC 4995-333-1  4707 1.26 1.81 -2.24 0.02  91 -2.21 0.03 21   1.26 0.16 C
J0950-2506   TYC 5861-1732-1 4815 1.56 1.59 -2.56 0.02  89 -2.54 0.08  9   0.21 0.14
J0952-0855   HE 1320-1339    4831 1.40 1.95 -2.79 0.02  77 -2.81 0.05 10   0.59 0.10
J0958-1446   TYC 4924-33-1   4756 1.48 1.87 -2.33 0.02 100 -2.32 0.06 19   0.03 0.13
J1004-2706   TYC 4924-33-1   4831 1.42 1.54 -2.40 0.02  97 -2.42 0.04 12   0.55 0.14
J1022-3400   TYC 4924-33-1   4831 1.72 1.57 -2.14 0.02 103 -2.19 0.04 21   0.15 0.10
J1031-0827   BD-01 2582      5075 2.58 1.50 -2.24 0.02  95 -2.28 0.06 18  -0.23 0.10
J1036-1934   TYC 4995-333-1  4707 1.26 1.91 -2.00 0.02  92 -2.02 0.05 24   0.33 0.10
J1049-1154   TYC 5861-1732-1 4915 2.37 1.36 -2.18 0.02  96 -2.22 0.05 13  -0.41 0.10
J1051-2115   TYC 6535-3183-1 4430 0.33 1.98 -1.73 0.01  77 -1.76 0.04 19   0.27 0.12
J1059-2052   TYC 6535-3183-1 4370 0.56 1.89 -2.16 0.01  91 -2.12 0.04 21   0.28 0.12
J1120-2406   HE 1317-0407    5045 1.48 1.95 -2.53 0.02  78 -2.57 0.04 13   0.19 0.15
J1124-2155   TYC 4924-33-1   4781 1.55 1.74 -2.33 0.01 100 -2.32 0.05 19   0.45 0.12
J1130-1449   BD-01 2582      4985 2.44 1.40 -2.45 0.01  86 -2.43 0.03 18  -0.09 0.10
J1139-0558   TYC 4995-333-1  4662 1.19 2.09 -1.98 0.02  86 -2.00 0.03 25   0.33 0.12
J1144-0409   HD 122563       4614 1.03 1.86 -2.52 0.01  85 -2.51 0.02 21   0.33 0.10
2MJ1144-1128 TYC 6088-1943-1 5006 2.46 1.24 -2.42 0.01  88 -2.45 0.02 13  -0.34 0.10
J1146-0422   TYC 6535-3183-1 4235 0.16 2.14 -2.05 0.01  81 -2.07 0.03 25   0.74 0.15 C
J1147-0521   TYC 4995-333-1  4707 1.26 1.74 -2.00 0.01 100 -2.04 0.03 23   0.34 0.10
J1158-1522   TYC 4924-33-1   4981 1.47 1.71 -2.41 0.03  77 -2.44 0.06  5   0.62 0.20
J1204-0759   HE 1523-0901    4530 0.83 2.26 -2.72 0.02  58 -2.72 0.05 11   0.50 0.15
2MJ1209-1415 TYC 6535-3183-1 4370 0.56 1.86 -2.11 0.01  98 -2.10 0.02 23   0.20 0.15
J1218-1610   HE 1317-0407    4740 1.09 2.47 -3.24 0.02  52 -3.19 0.09 10   0.24 0.20
J1229-0442   TYC 5329-1927-1 4523 1.13 2.14 -2.23 0.01  89 -2.23 0.03 24   0.28 0.12
J1237-0949   TYC 6535-3183-1 4370 0.56 1.86 -2.12 0.01  96 -2.14 0.04 22   0.42 0.12
J1250-0307   TYC 5861-1732-1 5060 2.35 1.46 -2.15 0.02  92 -2.18 0.04  8  -0.26 0.11
J1256-0834   TYC 6535-3183-1 4210 0.06 2.02 -2.34 0.01  88 -2.35 0.04 25   0.31 0.15
J1302-0843   TYC 4995-333-1  4567 0.46 2.85 -1.95 0.01  63 -2.00 0.03 18   0.67 0.10
J1306-0947   TYC 4995-333-1  4707 1.33 1.81 -1.93 0.01  90 -1.96 0.03 25   0.32 0.10
2MJ1307-0931 TYC 4995-333-1  4647 1.16 2.01 -1.98 0.02  86 -2.00 0.03 27   0.38 0.16
J1321-1138   TYC 5329-1927-1 4568 1.20 2.06 -2.44 0.01  92 -2.41 0.03 24   0.28 0.10
2MJ1325-1747 TYC 5329-1927-1 4588 0.83 2.30 -2.32 0.01  94 -2.30 0.06 22   0.18 0.10
J1326-1525   TYC 6900-414-1  4798 1.33 1.73 -2.38 0.01  79 -2.38 0.05  5   0.48 0.16
J1328-1731   TYC 6535-3183-1 4495 0.67 1.63 -2.20 0.02  84 -2.21 0.07 22   0.40 0.13
J1333-2623   TYC 4924-33-1   4821 1.72 1.57 -2.12 0.01 100 -2.13 0.04 18   0.32 0.10
J1335-0110   TYC 5329-1927-1 4568 1.07 2.01 -2.45 0.01  90 -2.46 0.05 24   0.21 0.16
J1337-0826   TYC 6535-3183-1 4265 0.25 2.18 -2.62 0.01  76 -2.59 0.06 17   0.34 0.15
J1339-1257   HD 122563       4574 0.72 1.96 -2.71 0.01  79 -2.68 0.03 11   0.34 0.10
2MJ1340-0016 TYC 5329-1927-1 4568 0.90 2.14 -2.43 0.02  90 -2.48 0.05 22   0.00 0.16
J1342-0717   TYC 5329-1927-1 4568 0.90 2.11 -2.51 0.01  85 -2.55 0.04 22   0.14 0.16
2MJ1343-2358 TYC 4995-333-1  4777 1.13 1.45 -2.47 0.02  73 -2.49 0.06 10   0.72 0.12 C
J1403-3214   TYC 5329-1927-1 4513 1.13 2.11 -2.41 0.01  82 -2.41 0.04 20   0.04 0.16
2MJ1404+0011 TYC 6535-3183-1 4370 0.26 1.95 -1.87 0.01  86 -1.89 0.05 21   0.96 0.20 C
J1410-0343   TYC 4924-33-1   4931 2.00 1.65 -2.06 0.02 106 -2.11 0.06 19  -0.09 0.16
J1416-2422   TYC 4995-333-1  4647 0.86 1.91 -2.57 0.01  81 -2.59 0.05 16   0.25 0.18
J1418-2842   TYC 4995-333-1  4672 1.26 1.76 -2.32 0.01  92 -2.31 0.03 20   0.30 0.15
J1419-0844   TYC 4924-33-1   4831 1.72 1.67 -2.08 0.01 102 -2.12 0.05 20   0.22 0.13
