# Only a stub. Online version should be complete. It hasn't been posted to CDS yet. -AY 2025/06/05

Name,Species,lambda,chi,loggf,EW,e_EW,logepsX,Ref
Tuc V-1,8.0,6300.30,0.00,$-$9.69,31.01,4.67,$+$6.92,1
Tuc V-1,8.0,7771.94,9.15,$+$0.37,11.01,4.47,$+$7.46,1
Tuc V-1,8.0,7775.39,9.15,0.00,14.01,3.10,$+$7.97,1
Tuc V-1,11.0,5889.95,0.00,$+$0.11,206.25,3.80,$+$3.94,1
Tuc V-1,11.0,5895.92,0.00,$-$0.19,180.34,3.60,$+$3.90,1
Tuc V-1,11.0,8183.26,2.10,$+$0.24,25.62,2.91,$+$3.49,1
Tuc V-1,11.0,8194.81,2.10,$+$0.49,48.89,3.22,$+$3.64,1
Tuc V-1,12.0,4057.51,4.35,$-$0.90,63.95,6.38,$+$5.52,1
