Name,Teff,e_Teff,logg,e_logg,Vmic,e_Vmic,Fe/H,e_Fe/H
TucV-1,4380,104,0.54,0.32,2.18,0.09,-3.47,0.21
TucV-2,4773,92,1.53,0.21,1.91,0.08,-2.41,0.15
TucV-3,4982,130,1.70,0.20,1.61,0.13,-2.57,0.25
