Observable          , Value      , Error   , Reference
RA                  , 03:35:23.85,         , "Simon+2015"
Dec                 , -54:04:07.5,         , "Simon+2015"
g_DES               , 16.45      ,         , "Simon+2015"
r_DES               , 15.65      ,         , "Simon+2015"
V                   , 16.04      ,         , "Simon+2015, Bechtol+2015"
J                   , 14.12      ,         , "2MASS"
H                   , 13.61      ,         , "2MASS"
K                   , 13.49      ,         , "2MASS"
G                   , 15.61      ,         , "Gaia DR1"
E(B-V)              , 0.016      ,         , "Schlafly+2011"
A(V)                , 0.048      ,         , "Schlafly+2011"
V-K                 , 2.55       ,         , ""
BC(V)               , -0.49      ,         , "Alonso+1999"
E(B-V)             , 0.018      ,         , "SFD98"
A(V)               , 0.056      ,         , "SFD98"
Distance modulus    , 17.5       ,         , "0.1, Bechtol+2015"
Teff from V-K       , 4544       ,         , "Alonso+1999"
logg from V         , 1.25       ,         , ""
Spectroscopic Teff  , 4550 K     , 150 K   , 
Spectroscopic logg  , 0.85 cgs   , 0.3 cgs , 
Spectroscopic Vmic  , 2.28 km/s  , 0.2 km/s, 
Adopted Teff        , 4550 K     , 50 K    , 
Adopted logg        , 1.25 cgs   , 0.1 cgs , 
Adopted Vmic        , 2.20 km/s  , 0.2 km/s, 
Adopted Fe/H        , -3.00      , 0.15    , 
v_hel 2015 Oct 1-4  , 66.8 km/s  ,         , "Ji+2016"
v_hel 2017 Aug 13-16, 67.1 km/s  ,         , ""
v_hel 2017 Aug 25   , 67.5 km/s  ,         , ""
v_hel 2017 Oct 9-11 , 66.8 km/s  ,         , ""

