ID,Wave,Species,ExPot,log(gf),EW,f_EW,logX
SMSS~J000113.96-363337.9,4903.31,26.0,2.88,-0.926,68.0,,5.2
SMSS~J000113.96-363337.9,4918.994,26.0,2.85,-0.342,92.7,,5.13
SMSS~J000113.96-363337.9,4920.503,26.0,2.83,0.068,116.4,,5.18
SMSS~J000113.96-363337.9,4923.93,26.1,2.89,-1.32,98.1,,5.03
SMSS~J000113.96-363337.9,4924.77,26.0,2.28,-2.114,37.1,,5.05
SMSS~J000113.96-363337.9,4934.086,56.1,0.0,-0.16,,s,-1.45
SMSS~J000113.96-363337.9,4938.814,26.0,2.88,-1.077,53.8,,5.06
SMSS~J000113.96-363337.9,4939.687,26.0,0.86,-3.252,76.2,,5.26
SMSS~J000113.96-363337.9,4946.388,26.0,3.37,-1.17,30.1,,5.25
SMSS~J000113.96-363337.9,4966.089,26.0,3.33,-0.871,42.9,,5.16
SMSS~J000113.96-363337.9,4981.73,22.0,0.84,0.56,74.6,,2.76
SMSS~J000113.96-363337.9,4991.07,22.0,0.84,0.436,70.1,,2.78
SMSS~J000113.96-363337.9,4994.13,26.0,0.92,-2.969,88.9,,5.34
SMSS~J000113.96-363337.9,4999.5,22.0,0.83,0.306,65.0,,2.79
SMSS~J000113.96-363337.9,5001.87,26.0,3.88,0.05,46.5,,4.96
SMSS~J000113.96-363337.9,5006.119,26.0,2.83,-0.615,79.5,,5.07
SMSS~J000113.96-363337.9,5012.068,26.0,0.86,-2.642,106.3,,5.33
SMSS~J000113.96-363337.9,5014.942,26.0,3.94,-0.3,30.9,,5.06
SMSS~J000113.96-363337.9,5016.16,22.0,0.85,-0.518,21.7,,2.77
SMSS~J000113.96-363337.9,5017.591,28.0,3.54,-0.08,16.7,,3.72
SMSS~J000113.96-363337.9,5018.45,26.1,2.89,-1.22,110.2,,5.19
SMSS~J000113.96-363337.9,5020.024,22.0,0.84,-0.358,28.4,,2.75
SMSS~J000113.96-363337.9,5022.236,26.0,3.98,-0.53,21.7,,5.12
SMSS~J000113.96-363337.9,5024.843,22.0,0.82,-0.546,22.0,,2.77
SMSS~J000113.96-363337.9,5028.127,26.0,3.56,-1.122,15.2,,5.02
SMSS~J000113.96-363337.9,5031.01,21.1,1.36,-0.4,48.7,,0.86
SMSS~J000113.96-363337.9,5035.902,22.0,1.46,0.26,24.5,,2.78
SMSS~J000113.96-363337.9,5038.396,22.0,1.43,0.069,15.0,,2.66
SMSS~J000113.96-363337.9,5039.96,22.0,0.02,-1.13,39.1,,2.76
