Ion,lambda,EP,loggf,EW1,f_EW1,e_EW1,l_logeps1,logeps1,e_logeps1,EW2,f_EW2,e_EW2,l_logeps2,logeps2,e_logeps2,EW3,f_EW3,e_EW3,l_logeps3,logeps3,e_logeps3,EW4,f_EW4,e_EW4,l_logeps4,logeps4,e_logeps4
C-H,4313.0,,,,syn,,,5.45,0.2,,syn,,,5.62,0.3,,,,,,,,,,,,
C-H,4323.0,,,,syn,,,5.25,0.3,,syn,,,5.58,0.25,,,,,,,,,,,,
Na I,5889.95,0.0,0.11,210.7,,29.2,,3.59,0.37,174.9,,24.5,,3.44,0.37,104.9,,16.7,,2.49,0.25,128.3,,42.8,,3.41,0.68
Na I,5895.92,0.0,-0.19,175.4,,25.5,,3.43,0.36,160.5,,23.8,,3.52,0.37,83.9,,14.6,,2.51,0.2,145.9,,69.6,,3.97,1.08
Na I,8183.26,2.1,0.23,,,,,,,,,,,,,,,,,,,,syn,,<,5.61,
Na I,8194.82,2.1,0.49,,,,,,,,,,,,,,,,,,,,syn,,<,5.15,
Mg I,4571.1,0.0,-5.69,136.9,,21.7,,5.67,0.33,112.5,,18.1,,5.7,0.3,,,,,,,,,,,,
Mg I,4702.99,4.33,-0.38,105.3,,18.6,,5.39,0.28,88.7,,16.9,,5.25,0.24,,,,,,,,,,,,
Mg I,5172.68,2.71,-0.45,275.4,,45.2,,5.45,0.36,240.2,,45.7,,5.32,0.42,179.9,,28.6,,4.82,0.41,184.6,,55.6,,5.14,0.63
Mg I,5183.6,2.72,-0.24,310.6,,48.0,,5.46,0.3,280.0,,47.3,,5.37,0.31,208.7,,33.8,,4.96,0.4,206.1,,59.6,,5.11,0.56
Mg I,5528.4,4.34,-0.5,99.4,,17.4,,5.36,0.24,78.5,,15.7,,5.21,0.21,60.6,,10.3,,5.02,0.14,,,,,,
Al I,3961.52,0.01,-0.34,163.2,,65.1,,2.97,1.18,154.6,,78.2,,3.08,1.42,,,,,,,,,,,,
Si I,4102.94,1.91,-3.14,116.8,,35.6,,5.38,0.66,112.3,,30.3,,5.56,0.58,,,,,,,,,,,,
K I,7664.9,0.0,0.14,110.3,,27.3,,3.12,0.35,107.3,,23.5,,3.32,0.34,,,,,,,,,,,,
K I,7698.96,0.0,-0.17,81.3,,11.4,,3.08,0.14,77.8,,11.3,,3.23,0.15,,syn,,,2.89,0.3,,syn,,<,3.79,
Ca I,4425.44,1.88,-0.36,79.2,,19.5,,3.99,0.31,47.4,,15.9,,3.66,0.27,,,,,,,,,,,,
Ca I,4435.69,1.89,-0.52,49.6,,15.2,,3.73,0.25,,,,,,,,,,,,,,,,,,
Ca I,4454.78,1.9,0.26,108.4,,22.7,,3.87,0.41,78.1,,17.9,,3.51,0.29,,,,,,,,,,,,
Ca I,4455.89,1.9,-0.53,,,,,,,59.2,,15.7,,4.02,0.24,,,,,,,,,,,,
Ca I,5265.56,2.52,-0.26,68.2,,22.1,,4.44,0.32,,,,,,,,,,,,,,,,,,
Ca I,5588.76,2.52,0.21,72.4,,14.0,,4.01,0.19,,,,,,,42.5,,12.3,,3.77,0.21,,,,,,
Ca I,5594.47,2.52,0.1,54.0,,12.8,,3.87,0.19,43.9,,11.3,,3.84,0.19,31.6,,8.4,,3.69,0.18,,,,,,
Ca I,5598.49,2.52,-0.09,51.4,,12.5,,4.02,0.19,,,,,,,42.6,,9.7,,4.07,0.16,,,,,,
