Seq,---,SDSS,A(Fe1),A(Fe2),A(Na),A(Mg),A(Ca),A(Ti),A(Dr),A(Ba),A(C)
1,SDSS,J0002+2928,4.24,4.59,3.97,4.7,2.87,2.49,-0.12,0.75,7.8
2,SDSS,J0008-0529,4.84,4.86,3.79,5.18,3.77,2.61,0.24,0.35,
3,SDSS,J0018-0939,4.85,5.09,2.63,4.51,3.52,2.28,,,4.9
4,SDSS,J0020-0040,4.69,4.59,,5.05,4.05,2.59,-0.45,,
5,SDSS,J0021-0050,4.34,4.28,3.48,4.96,4.34,,,,
6,SDSS,J0023-0003,4.38,4.51,3.39,4.9,3.52,2.44,-0.15,-1.36,
7,SDSS,J0027+1404,4.47,4.48,2.87,4.61,3.5,,,,
8,SDSS,J0027-1909,4.79,4.63,3.04,5.01,3.78,2.35,-0.54,,
9,SDSS,J0028-1015,4.69,,3.33,5.27,3.48,,-0.43,,
10,SDSS,J0029-1910,4.35,,,4.82,3.68,,-0.13,,
11,SDSS,J0033-1859,4.7,4.72,3.44,5.01,3.53,2.4,-0.88,-1.21,
12,SDSS,J0041-0953,4.69,4.72,3.23,5.01,3.19,,,,
13,SDSS,J0100+0049,4.32,4.71,3.08,4.73,3.12,2.46,-0.22,-1.17,
14,SDSS,J0111+1442,4.7,4.55,3.57,5.39,4.3,2.53,-0.22,,
15,SDSS,J0115+2637,4.18,4.84,3.13,4.66,3.09,2.59,,,
16,SDSS,J0120-1001,4.05,,2.5,4.42,2.69,,0.19,,
17,SDSS,J0126+0607,4.49,4.26,4.09,5.25,4.11,,,2.37,8.5
18,SDSS,J0131-0908,4.88,4.9,3.77,4.95,3.83,2.46,-1.01,,
19,SDSS,J0140+2344,3.85,,,4.39,2.51,,0.55,,
20,SDSS,J0209+2120,4.61,4.54,,4.77,3.84,,,,
21,SDSS,J0254+3328,4.68,4.68,2.89,4.49,3.51,,,,
22,SDSS,J0259+0057,4.19,,3.2,4.48,,,,,5.1
23,SDSS,J0308+0505,5.31,5.2,4.6,5.72,,2.99,1.05,,8.6
24,SDSS,J0317+0023,4.11,,2.83,4.57,3.15,,,,
25,SDSS,J0320+4143,4.58,,2.91,4.91,3.21,1.94,-1.14,,
26,SDSS,J0351+1026,4.32,4.33,2.91,5.13,3.49,2.69,0.65,,6.8
27,SDSS,J0414+0552,5.18,,3.19,5.23,4.25,,,,
28,SDSS,J0416+0713,4.91,,3.06,5.02,3.09,,,,
29,SDSS,J0629+8303,4.68,5.04,4.33,4.87,3.84,2.65,,,7.7
30,SDSS,J0630+2552,4.45,,,4.78,,,,,
31,SDSS,J0711+6702,4.59,4.55,3.87,4.84,3.72,2.31,-0.58,0.08,7.5
32,SDSS,J0723+3637,4.18,4.2,2.82,4.51,,1.84,,,6.9
33,SDSS,J0727+1609,4.58,4.58,3.12,4.86,3.82,2.61,-0.28,,
34,SDSS,J0741+6708,4.63,4.62,3.65,5.2,3.83,2.56,-0.4,-0.42,6.3
35,SDSS,J0746+2831,4.75,4.49,3.23,5.41,3.92,2.33,-0.12,,
36,SDSS,J0748+1758,4.9,4.65,2.77,4.8,3.61,,-0.27,,
37,SDSS,J0749+1801,4.86,4.89,3.71,5.11,3.75,2.33,-0.42,-1.5,
38,SDSS,J0804+5153,4.49,4.82,3.45,4.94,3.11,2.55,-0.2,-0.7,
39,SDSS,J0809+0907,4.12,4.07,2.8,4.47,3.26,,,,
40,SDSS,J0814+3337,4.22,4.13,2.97,4.6,3.47,,,,
41,SDSS,J0817+2641,4.65,,,4.95,3.67,,-0.3,-0.27,
42,SDSS,J0819+3119,4.62,4.55,3.36,5.2,3.69,2.5,-0.26,,
43,SDSS,J0821+1819,3.8,,,4.2,2.64,,,,
44,SDSS,J0825+0403,3.9,,,4.44,3.37,,,,
45,SDSS,J0827+1052,4.33,4.16,2.68,4.76,3.24,,-0.49,-0.3,
46,SDSS,J0840+5405,4.25,4.1,,5.5,3.85,2.12,,,
47,SDSS,J0847+0121,4.3,4.02,3.03,5.03,3.68,,-0.58,-0.75,
48,SDSS,J0851+1018,4.61,4.32,2.66,5.01,4.07,2.42,,,
49,SDSS,J0858+3541,4.97,4.96,3.46,5.05,3.82,2.62,-0.41,-0.37,6.2
50,SDSS,J0859+0402,4.45,4.48,2.73,4.69,2.81,2.34,,,
51,SDSS,J0907+0246,4.2,4.26,3.68,4.56,2.98,2.12,-0.67,,
52,SDSS,J0912+0216,4.82,4.61,4.12,5.28,3.94,,0.2,0.81,7.8
53,SDSS,J0932+0241,4.36,4.62,2.91,4.94,3.36,2.55,0.54,0.23,
54,SDSS,J1004+3442,4.41,4.41,2.8,4.88,3.38,2.39,-0.46,,
55,SDSS,J1033+4001,4.44,4.27,,4.62,3.49,2.09,,,
56,SDSS,J1036+1212,4.03,4.2,3.67,4.4,3.03,2.22,-1.4,0.05,6.8
57,SDSS,J1106+0343,4.62,4.43,2.98,4.97,3.63,,-0.72,,
58,SDSS,J1108+1747,4.33,,2.98,4.95,3.37,,,,
59,SDSS,J1120+3027,4.36,4.23,3.05,5.23,3.65,2.06,-0.33,,
60,SDSS,J1128+3841,4.68,4.45,,4.91,3.49,2.43,0.02,,
61,SDSS,J1147+1510,4.54,4.3,3.24,5.14,3.19,2.23,,,
62,SDSS,J1159+5425,4.24,4.46,2.51,4.25,3.01,1.96,-0.56,,
63,SDSS,J1213+4450,4.3,4.28,3.07,4.66,3.29,,,,
64,SDSS,J1230+0005,4.16,4.12,,4.4,3.37,2.12,-0.86,,
65,SDSS,J1233+3407,4.63,4.57,3.06,5.21,3.95,2.54,,,
66,SDSS,J1241-0837,4.77,4.79,3.36,4.54,3.84,2.12,,-1.0,6.2
67,SDSS,J1242-0336,4.73,4.75,3.68,5.11,3.8,2.43,0.07,-0.7,6.3
68,SDSS,J1245-0738,4.34,4.51,4.42,5.12,4.08,2.37,0.35,1.1,7.8
69,SDSS,J1300+2632,3.97,,2.43,4.61,3.19,,,,
70,SDSS,J1303+2515,4.65,4.51,3.17,5.29,3.66,2.3,,,
71,SDSS,J1304+3239,4.6,4.57,3.36,5.37,3.92,2.29,-0.34,-1.01,
72,SDSS,J1312+2450,4.78,4.57,3.74,5.2,4.02,2.35,-0.36,,
73,SDSS,J1316+1747,5.4,5.4,4.36,5.64,4.45,2.99,,-0.11,
74,SDSS,J1334+0022,4.47,4.78,3.02,4.76,3.21,2.38,,,
75,SDSS,J1338+1204,4.64,4.52,3.37,5.19,3.88,2.21,-0.4,-1.21,
76,SDSS,J1349-0229,4.26,4.39,4.87,5.09,3.72,,,1.19,8.2
77,SDSS,J1400+0753,4.52,4.75,,4.89,3.91,2.59,,,
78,SDSS,J1408+6239,4.53,4.67,2.96,4.78,3.14,2.54,-0.87,,
79,SDSS,J1410+5350,4.08,4.28,,4.74,3.63,2.2,-0.68,,
80,SDSS,J1412+5609,4.31,,4.34,5.31,3.33,,,,
81,SDSS,J1422+0031,4.47,4.48,3.57,5.34,3.28,1.96,0.88,-2.03,7.1
82,SDSS,J1424+5615,4.53,4.45,3.75,5.56,3.62,2.21,-1.02,,
83,SDSS,J1425+1137,4.42,4.13,2.94,5.1,3.65,2.2,-0.39,,
84,SDSS,J1425+5742,4.21,4.15,,4.44,3.29,,-0.29,,
85,SDSS,J1434+1036,4.29,,3.02,4.8,2.98,,,,
86,SDSS,J1436+0918,4.01,4.06,2.96,4.66,3.31,2.1,,,
