ref_number,bibcode,author,year,citation_key,comments
101,2006MNRAS.366..865B,Bellazzini et al.,2006,Bellazzini+2006,
102,2007AJ....133.2274B,Butler et al.,2007,Butler+2007,
103,1998ARA&A..36..435M,Mateo et al.,1998,Mateo+1998,
104,2003ApJ...599.1082M,Majewski et al.,2003,Majewski+2003,
105,2008ApJ...684.1075M,Martin et al.,2008,Martin+2008,
106,2009MNRAS.397.1748B,Belokurov et al.,2009,Belokurov+2009,
107,2009MNRAS.397L..26C,Correnti et al.,2009,Correnti+2009,
108,1991rc3..book.....D,de Vaucouleurs et al.,1991,Vaucouleurs+1991,
109,1995MNRAS.277.1354I,Irwin & Hatzidimitriou,1995,Irwin+1995,
110,2010ApJ...710.1664D,de Jong et al.,2010,Jong+2010,
111,2010ApJ...712L.103B,Belokurov et al.,2010,Belokurov+2010,
112,2002AJ....124..310C,Choi et al.,2002,Choi+2002,
114,,Collins,,Collins,"2011, PhD thesis, University of Cambridge, Institute of Astronomy"
115,2011ApJ...729...23B,Brasseur et al.,2011,Brasseur+2011,
116,2006MNRAS.365.1263M,McConnachie & Irwin,2006,McConnachie+2006,
117,2011ApJ...732...76R,Richardson et al.,2011,Richardson+2011,
118,2008ApJ...688.1009M,McConnachie et al.,2008,McConnachie+2008,
119,2009ApJ...705..758M,Martin et al.,2009,Martin+2009,
120,2007ApJ...670L...9M,Majewski et al.,2007,Majewski+2007,
121,2007ApJ...671.1591I,Ibata et al.,2007,Ibata+2007,
122,2011ApJ...742L..15B,Bell et al.,2011,Bell+2011,
123,2010ApJ...722L.244S,Sanna et al.,2010,Sanna+2010,
124,1995AJ....110.1129L,Lee,1995,Lee+1995,
125,2011ApJ...742L..14S,Slater et al.,2011,Slater+2011,
126,1991AJ....102..130V,van de Rydt et al.,1991,van Rydt+1991,
127,1999AJ....118..862M,Martinez-Delgado et al.,1999,Martinez-Delgado+1999,
128,2007ApJ...655..863D,Dale et al.,2007,Dale+2007,
129,2008ApJ...680.1112D,de Jong et al.,2008,Jong+2008,
130,2004ApJ...611L..93V,Vansevicius et al.,2004,Vansevicius+2004,
131,2006MNRAS.373..715M,McConnachie et al.,2006,McConnachie+2006,
132,1996A&A...315...40S,Saviane et al.,1996,Saviane+1996,
133,2000AJ....119..777L,Lee & Kim,2000,Lee+2000,
134,2011A&A...527A..58B,Bellazzini et al.,2011,Bellazzini+2011,
135,2008AJ....136.2332H,Hidalgo et al.,2008,Hidalgo+2008,
136,2008MNRAS.384.1544S,Sharina et al.,2008,Sharina+2008,
137,1997AJ....114.1447A,Aparicio et al.,1997,Aparicio+1997,
138,2010ApJ...716..792F,Fingerhut et al.,2010,Fingerhut+2010,
139,2001A&A...379..407K,Karachentsev et al.,2001,Karachentsev+2001,
140,1996MNRAS.278.1025L,Loveday,1996,Loveday+1996,
141,1999AJ....118..817L,Lee & Byun,1999,Lee+1999,
142,1999A&AS..139..491M,Makarova,1999,Makarova+1999,
143,2005AJ....130.1593V,Vaduvescu et al.,2005,Vaduvescu+2005,
144,1997A&AS..124..559K,Karachentsev et al.,1997,Karachentsev+1997,
145,2000AJ....119.2183A,Aparicio & Tikhonov,2000,Aparicio+2000,
201,2005MNRAS.362..906M,Martin et al.,2005,Martin+2005,
202,1994Natur.370..194I,Ibata et al.,1994,Ibata+1994,
203,1997AJ....113..634I,Ibata et al.,1997,Ibata+1997,
204,2011ApJ...727L...2P,Penarrubia et al.,2011,Penarrubia+2011,
205,2009ApJ...696..385G,Grcevich & Putman,2009,Grcevich+2009,
206,2011ApJ...733...46S,Simon et al.,2011,Simon+2011,
207,2007ApJ...670..313S,Simon & Geha,2007,Simon+2007,
208,2009ApJ...690..453K,Koch et al.,2009,Koch+2009,
209,2009MNRAS.397.1748B,Belokurov et al.,2009,Belokurov+2009,
210,2007MNRAS.380..281M,Martin et al.,2007,Martin+2007,
211,2009ApJ...702L...9C,Carlin et al.,2009,Carlin+2009,
212,1998ApJ...503..674K,Kim et al.,1998,Kim+1998,
213,2002AJ....124.2639V,van der Marel et al.,2002,Marel+2002,
214,2005A&A...432...45B,Bruns et al.,2005,Bruns+2005,
215,2006AJ....131.2514H,Harris & Zaritsky,2006,Harris+2006,
216,2004ApJ...604..176S,Stanimirovic et al.,2004,Stanimirovic+2004,
217,2011ApJ...736..146K,Koposov et al.,2011,Koposov+2011,
218,2007ApJ...667L..53W,Walker et al.,2007,Walker+2007,
219,2004ApJ...611L..21W,Wilkinson et al.,2004,Wilkinson+2004,
220,2009ApJ...704.1274W,Walker et al.,2009,Walker+2009,
221,2009AJ....137.3100W,Walker et al.,2009,Walker+2009,
222,2008ApJ...688L..75W,Walker et al.,2008,Walker+2008,
223,1998AJ....116.1690C,Carignan et al.,1998,Carignan+1998,
224,2009A&A...506.1147A,Aden et al.,2009,Aden+2009,
225,2006AJ....131.2913B,Bouchard et al.,2006,Bouchard+2006,
226,2008ApJ...686L..83B,Belokurov et al.,2008,Belokurov+2008,
227,2009ApJ...694L.144W,Walker et al.,2009,Walker+2009,
228,2008ApJ...675..201M,Mateo et al.,2008,Mateo+2008,
229,1996ApJ...464L.123B,Bender et al.,1996,Bender+1996,
231,2006AJ....131..332G,Geha et al.,2006,Geha+2006,
232,1997ApJ...476..127Y,Young & Lo,1997,Young+1997,
233,2010ApJ...711..671K,Kalirai et al.,2010,Kalirai+2010,
234,2000ApJ...541..675B,Blitz & Robishaw,2000,Blitz+2000,
235,2011MNRAS.417.1170C,Collins et al.,2011,Collins+2011,
236,2010ApJ...711..361G,Geha et al.,2010,Geha+2010,
237,2009MNRAS.400.1472L,Letarte et al.,2009,Letarte+2009,
238,1989A&A...214...33S,Shostak & Skillman,1989,Shostak+1989,
239,1998AJ....116.2363W,Wilcots & Miller,1998,Wilcots+1998,
240,1999PASP..111..306C,Cook et al.,1999,Cook+1999,
241,1997ApJ...490..710Y,Young & Lo,1997,Young+1997,
242,1989AJ.....98.1274L,Lake & Skillman,1989,Lake+1989,
243,2006A&A...448..123S,Silich et al.,2006,Silich+2006,
244,2007ApJ...659..331Y,Young et al.,2007,Young+2007,
245,2004AJ....128...16K,Koribalski et al.,2004,Koribalski+2004,
246,2003MNRAS.340...12W,Weldrake et al.,2003,Weldrake+2003,
247,2007MNRAS.375.1364L,Lewis et al.,2007,Lewis+2007,
248,2003ApJ...592..111Y,Young et al.,2003,Young+2003,
249,1996ApJS..105..269H,Hoffman et al.,1996,Hoffman+1996,
250,2008MNRAS.384..535R,Ryan-Weber et al.,2008,Ryan-Weber+2008,
251,2007AJ....133.2242K,Kepley et al.,2007,Kepley+2007,
252,2009ApJ...699....1L,Leaman et al.,2009,Leaman+2009,
253,2007ApJ...658L..95B,Brown et al.,2007,Brown+2007,
254,1996ApJ...462..203Y,Young & Lo,1996,Young+1996,
255,2009A&A...499..121F,Fraternali et al.,2009,Fraternali+2009,
256,2011A&A...527A..58B,Bellazzini et al.,2011,Bellazzini+2011,
257,1990AJ....100..648J,Jobin & Carignan,1990,Jobin+1990,
258,2001AJ....122..825B,Barnes & de Blok,2001,Barnes+2001,
259,2001AJ....121.1952B,Blais-Ouellette et al.,2001,Blais-Ouellette+2001,
260,2008MNRAS.388..500E,Epinat et al.,2008,Epinat+2008,
261,1988A&A...198...33S,Skillman et al.,1988,Skillman+1988,
262,2005MNRAS.359L..53B,Begum et al.,2005,Begum+2005,
263,2005AJ....130.2058B,Bouchard et al.,2005,Bouchard+2005,
264,1991AJ....101..447P,Puche et al.,1991,Puche+1991,
265,2011MNRAS.410.2217W,Westmeier et al.,2011,Westmeier+2011,
266,2011MNRAS.416..509H,Hlavacek-Larrondo et al.,2011,Hlavacek-Larrondo+2011,
267,2008MNRAS.386.1667B,Begum et al.,2008,Begum+2008,
268,1982MNRAS.200..325L,Longmore et al.,1982,Longmore+1982,
269,2006MNRAS.365.1220B,Begum et al.,2006,Begum+2006,
270,2008MNRAS.386..138B,Begum et al.,2008,Begum+2008,
271,2002A&A...389...29S,Stil & Israel,2002,Stil+2002,
272,2002A&A...389...42S,Stil & Israel,2002,Stil+2002,
273,2005ApJ...625..130S,Stil et al.,2005,Stil+2005,
274,2001A&A...366..428K,Karachentsev et al.,2001,Karachentsev+2001,
275,2000AJ....120.2975S,Simpson & Gottesman,2000,Simpson+2000,
276,1986A&AS...63..323H,Huchtmeier & Richter,1986,Huchtmeier+1986,
300,2004MNRAS.348...12M,Martin et al.,2004,Martin+2004,
301,1994Natur.370..194I,Ibata et al.,1994,Ibata+1994,
302,2007ApJ...654..897B,Belokurov et al.,2007,Belokurov+2007,
303,2006ApJ...650L..41Z,Zucker et al.,2006,Zucker+2006,
304,2007ApJ...662L..83W,Walsh et al.,2007,Walsh+2007,
305,2009MNRAS.397.1748B,Belokurov et al.,2009,Belokurov+2009,Cat. J/MNRAS/397/1748
305,2005AJ....129.2692W,Willman et al.,2005,Willman+2005,
307,2009ApJ...693.1118G,Grillmair,2009,Grillmair+2009,
308,2006ApJ...647L.111B,Belokurov et al.,2006,Belokurov+2006,
309,1955PASP...67...27W,Wilson,1955,Wilson+1955,
310,1938BHarO.908....1S,Shapley,1938,Shapley+1938,
311,1990MNRAS.244P..16I,Irwin et al.,1990,Irwin+1990,
312,2005ApJ...626L..85W,Willman et al.,2005,Willman+2005,
313,1977MNRAS.180P..81C,Cannon et al.,1977,Cannon+1977,
314,1938Natur.142..715S,Shapley,1938,Shapley+1938,
315,2006ApJ...653L..29S,Sakamoto & Hasegawa,2006,Sakamoto+2006,
316,2008ApJ...686L..83B,Belokurov et al.,2008,Belokurov+2008,
317,2010ApJ...712L.103B,Belokurov et al.,2010,Belokurov+2010,
318,2006ApJ...643L.103Z,Zucker et al.,2006,Zucker+2006,
319,1950PASP...62..118H,Harrington & Wilson,1950,Harrington+1950,
320,,Legentil,,Legentil,"1755, Sav. etrangers, Vol. II (Paris: Academie Royale des Sciences), 137"
321,2004ApJ...612L.121Z,Zucker et al.,2004,Zucker+2004,
322,,Messier,,Messier,"1798, Connaissance des Temps, 1801, 461"
323,2008ApJ...676L..17I,Irwin et al.,2008,Irwin+2008,
324,1972ApJ...171L..31V,van den Bergh,1972,Bergh+1972,
325,2011ApJ...732...76R,Richardson et al.,2011,Richardson+2011,
326,2006MNRAS.371.1983M,Martin et al.,2006,Martin+2006,
327,1998AJ....116.2287A,Armandroff et al.,1998,Armandroff+1998,
328,2007ApJ...659L..21Z,Zucker et al.,2007,Zucker+2007,
329,2008ApJ...688.1009M,McConnachie et al.,2008,McConnachie+2008,
330,,Herschel,,Herschel,"1833, Phil. Trans. R. Soc. I, 123, 359"
331,2009ApJ...705..758M,Martin et al.,2009,Martin+2009,
332,2007ApJ...670L...9M,Majewski et al.,2007,Majewski+2007,
333,2007ApJ...671.1591I,Ibata et al.,2007,Ibata+2007,
334,,Herschel,,Herschel,"1789, Phil. Trans. R. Soc. I, 79, 212"
335,2011ApJ...742L..15B,Bell et al.,2011,Bell+2011,
336,1999A&A...341..355K,Karachentsev & Karachentseva,1999,Karachentsev+1999,
337,1888AN....120...33S,Swift,1888,Swift+1888,
338,1976SoSAO..18...42K,Karachentseva,1976,Karachentseva+1976,
339,1978IAUC.3305....2K,Kowal et al.,1978,Kowal+1978,
340,1999AJ....118.1220A,Armandroff et al.,1999,Armandroff+1999,
341,2011ApJ...742L..14S,Slater et al.,2011,Slater+2011,
342,,Wolf,,Wolf,"1906, MNRAS, 67, 91"
343,1976A&A....49..129S,Schuster & West,1976,Schuster+1976,Originally thought to be a globular cluster. Canterna & Flower (1977ApJ...212L..57C) subsequently identified its galactic nature.
344,1884AN....110..125B,Barnard,1884,Barnard+1884,
345,1999AJ....118.2767W,Whiting et al.,1999,Whiting+1999,
346,1950MeLu2.128....1H,Holmberg,1950,Holmberg+1950,
347,2007ApJ...656L..13I,Irwin et al.,2007,Irwin+2007,
348,2010MNRAS.406.1220W,Wolf,2010,Wolf+2010,
349,1926MNRAS..86..636M,Melotte,1926,Melotte+1926,Including K. E. Lundmark
350,1942PhRv...61..489Z,Zwicky,1942,Zwicky+1942,
351,1959PDDO....2..147V,van den Bergh,1959,Bergh+1959,
352,1990IAUC.5139....2L,Lavery,1990,Lavery+1990,"This author first suggested that this object is a member of the Local Group, but it had previously been cataloged by Corwin et al. (1985sgcc.book.....C)."
353,1977A&A....61L..31C,Cesarsky et al.,1977,Cesarsky+1977,
