Found,JINA_ID,Query_ID,RA_input,DEC_input,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,SCRIPT_NUMBER_ID
True,,HD 16031,,,HD  16031,02 34 11.0485,-12 23 03.444,14,14,0.0113,0.0121,90,A,O,2020yCat.1350....0G,9.99,10.21,9.77,,,8.79,8.516,8.457,HighPM*,F0V,02 34 11.0485,-12 23 03.444,60.109,-184.338,8.2303,24.35,1
True,,HD 19445,,,HD  19445,03 08 25.5883,+26 19 51.400,14,14,0.036,0.0279,90,A,O,2020yCat.1350....0G,8.29,8.52,8.06,7.6,7.27,6.948,6.696,6.64,ChemPec*,G2VFe-3,03 08 25.5883,+26 19 51.400,-209.742,-829.648,25.8707,-139.993,1
True,,HD 21581,,,HD  21581,03 28 54.4844,-00 25 03.107,14,14,0.0166,0.0166,90,A,O,2020yCat.1350....0G,9.75,9.54,8.71,,,6.975,6.547,6.414,ChemPec*,G8w,03 28 54.4844,-00 25 03.107,64.28,-76.878,2.988,153.738007,1
True,,HD 26169,,,HD  26169,04 00 52.4379,-75 36 11.436,14,14,0.0342,0.0315,90,A,O,2020yCat.1350....0G,9.58,9.53,8.8,8.51,8.73,7.172,6.695,6.63,ChemPec*,G3wpec,04 00 52.4379,-75 36 11.436,137.597,76.305,2.7069,-29.96,1
True,,HD 26297,,,HD  26297,04 09 03.4178,-15 53 27.056,14,14,0.0158,0.0132,90,A,O,2020yCat.1350....0G,,8.55,7.47,7.09,,5.379,4.853,4.631,ChemPec*,G5/6IVw,04 09 03.4178,-15 53 27.056,42.943,-4.946,1.529,14.84,1
True,,HD 31128,,,HD  31128,04 52 09.9097,-27 03 50.940,14,14,0.0082,0.0097,90,A,O,2020yCat.1350....0G,,9.55,9.14,,,8.032,7.8,7.738,HighPM*,F3/5Vw,04 52 09.9097,-27 03 50.940,164.793,-26.528,14.6669,111.703,1
True,,HD 31128,,,HD  31128,04 52 09.9097,-27 03 50.940,14,14,0.0082,0.0097,90,A,O,2020yCat.1350....0G,,9.55,9.14,,,8.032,7.8,7.738,HighPM*,F3/5Vw,04 52 09.9097,-27 03 50.940,164.793,-26.528,14.6669,111.703,1
True,,HD 45282,,,HD  45282,06 26 40.7720,+03 25 29.792,14,14,0.0225,0.0214,90,A,O,2020yCat.1350....0G,8.71,8.69,8.03,,,6.591,6.27,6.089,ChemPec*,Gwl,06 26 40.7720,+03 25 29.792,4.574,-89.152,8.2629,305.96,1
True,,HD 45282,,,HD  45282,06 26 40.7720,+03 25 29.792,14,14,0.0225,0.0214,90,A,O,2020yCat.1350....0G,8.71,8.69,8.03,,,6.591,6.27,6.089,ChemPec*,Gwl,06 26 40.7720,+03 25 29.792,4.574,-89.152,8.2629,305.96,1
True,,HD 88609,,,HD  88609,10 14 28.9853,+53 33 39.342,14,14,0.0131,0.0154,90,A,O,2020yCat.1350....0G,9.93,9.54,8.62,7.78,7.15,6.665,6.129,6.006,ChemPec*,G5IIIw,10 14 28.9853,+53 33 39.342,3.614,-32.621,0.8567,-37.64,1
