Name,Tel,Obs,Exp,Obs.Y,Obs.M,Obs.D,Obs.h,Obs.s,HJD,RVel
BPS CS 22878-027,Magellan-Baade/MIKE,SAS,3600,2003,Jun,23,03,15,2452813.640,-91.2
BPS CS 22878-101,Magellan-Clay/MIKE,GWP,2400,2006,Aug,05,23,59,2453953.501,-128.8
BPS CS 22879-012,Magellan-Clay/MIKE,GWP,2600,2004,Jun,28,04,19,2453184.685,-50.4
BPS CS 22879-012,Magellan-Clay/MIKE,GWP,3600,2004,Jun,28,05,51,2453184.749,-50.3
BPS CS 22879-029,Magellan-Clay/MIKE,GWP,7200,2005,Aug,24,01,34,2453606.570,-93.6
BPS CS 22879-029,Magellan-Clay/MIKE,IBT,1350,2006,Jun,03,09,49,2453889.913,-167.3
BPS CS 22879-029,Magellan-Clay/MIKE,IBT,1200,2006,Jul,19,06,49,2453935.790,-94.2
BPS CS 22879-029,Magellan-Clay/MIKE,IBT,1500,2007,Aug,04,04,40,2454316.700,-139.5
BPS CS 22879-029,Magellan-Clay/MIKE,IBT,1200,2009,Jul,25,05,48,2455037.747,-102.5
BPS CS 22879-029,Magellan-Clay/MIKE,IBT,1200,2009,Jul,26,04,11,2455038.680,-114.5
BPS CS 22879-029,Magellan-Clay/MIKE,GWP,800,2009,Sep,04,23,43,2455079.492,-171.5
BPS CS 22879-029,Magellan-Clay/MIKE,GWP,1200,2009,Sep,05,23,43,2455080.492,-176.9
BPS CS 22879-051,Magellan-Clay/MIKE,GWP,2000,2005,Aug,20,05,11,2453602.721,-43.0
BPS CS 22879-094,Magellan-Clay/MIKE,GWP,6400,2005,Aug,25,00,18,2453607.517,+47.6
BPS CS 22879-097,Magellan-Baade/MIKE,SAS,7200,2003,May,23,07,45,2452782.825,+26.4
BPS CS 22879-103,Magellan-Baade/MIKE,GWP,4400,2003,Jun,15,06,56,2452805.793,-30.9
BPS CS 22879-103,Magellan-Clay/MIKE,GWP,4200,2003,Oct,12,01,53,2452924.580,-31.0
BPS CS 22880-067,Magellan-Clay/MIKE,SAS,4800,2003,Jul,20,06,42,2452840.785,-183.0
BPS CS 22880-086,Magellan-Baade/MIKE,SAS,7200,2003,Jun,22,07,58,2452812.837,-112.2
BPS CS 22881-032,Magellan-Clay/MIKE,IBT,3500,2007,Aug,05,04,11,2454317.679,-29.3
BPS CS 22881-036,Magellan-Clay/MIKE,GWP,800,2007,Aug,21,05,25,2454333.731,+43.3
BPS CS 22881-036,Magellan-Clay/MIKE,IBT,2400,2009,Oct,25,00,24,2455129.518,+42.7
BPS CS 22881-039,Magellan-Baade/MIKE,GWP,8000,2003,Jun,12,08,09,2452802.842,+94.0
BPS CS 22881-039,Magellan-Clay/MIKE,GWP,6000,2003,Oct,09,03,03,2452921.630,+79.1
BPS CS 22881-070,Magellan-Clay/MIKE,IBT,3600,2006,Jul,19,07,50,2453935.831,-115.9
BPS CS 22882-001,Magellan-Baade/MIKE,GWP,4800,2003,Jun,15,09,24,2452805.892,+26.9
BPS CS 22882-001,Magellan-Clay/MIKE,GWP,6000,2003,Oct,09,06,05,2452921.758,+26.1
BPS CS 22882-006,Magellan-Clay/MIKE,GWP,3000,2008,Sep,10,06,26,2454719.773,-81.5
BPS CS 22882-012,Magellan-Clay/MIKE,SAS,7200,2010,Jul,23,08,22,2455400.852,-0.2
BPS CS 22882-030,Magellan-Clay/MIKE,SAS,3600,2010,Jul,25,08,55,2455402.875,+21.9
BPS CS 22882-030,Magellan-Clay/MIKE,SAS,4000,2010,Jul,26,07,25,2455403.812,+21.3
BPS CS 22883-037,Magellan-Baade/MIKE,SAS,7200,2003,May,23,02,55,2452782.626,-262.8
BPS CS 22883-037,Magellan-Baade/MIKE,SAS,3600,2003,May,24,03,22,2452783.645,-262.8
BPS CS 22884-020,Magellan-Baade/MIKE,GWP,4800,2003,Jun,13,01,43,2452803.577,+30.4
BPS CS 22884-020,Magellan-Baade/MIKE,GWP,2700,2003,Jun,14,01,42,2452804.576,+28.9
BPS CS 22884-020,Magellan-Clay/MIKE,IBT,3100,2009,Jul,25,00,40,2455037.530,+28.3
BPS CS 22884-033,Magellan-Baade/MIKE,SAS,3600,2003,Jun,24,02,21,2452814.602,-92.9
BPS CS 22884-033,Magellan-Clay/MIKE,IBT,1300,2009,May,16,06,13,2454967.765,-103.0
BPS CS 22884-108,Magellan-Baade/MIKE,SAS,3600,2003,Jun,24,03,32,2452814.652,-12.6
BPS CS 22885-040,Magellan-Baade/MIKE,SAS,7200,2003,Jun,26,05,52,2452816.750,+73.9
BPS CS 22885-040,Magellan-Clay/MIKE,SAS,8000,2003,Jul,18,05,20,2452838.728,+72.9
BPS CS 22885-040,Magellan-Clay/MIKE,IBT,1800,2009,May,17,08,57,2454968.876,+72.9
BPS CS 22885-096,Magellan-Clay/MIKE,GWP,2100,2006,Aug,06,02,40,2453953.616,-249.1
BPS CS 22885-203,Magellan-Clay/MIKE,GWP,2900,2008,Sep,10,00,32,2454719.526,-33.9
BPS CS 22886-003,Magellan-Clay/MIKE,GWP,3600,2007,Aug,21,04,40,2454333.700,-91.7
BPS CS 22886-003,Magellan-Clay/MIKE,GWP,1200,2009,Sep,05,03,42,2455079.660,-92.0
BPS CS 22886-012,Magellan-Clay/MIKE,GWP,3600,2008,Sep,12,02,59,2454721.630,-56.8
BPS CS 22886-012,Magellan-Clay/MIKE,GWP,1800,2009,Sep,05,03,08,2455079.636,-57.0
BPS CS 22886-013,Magellan-Clay/MIKE,GWP,2000,2005,Aug,25,05,12,2453607.722,-40.7
BPS CS 22886-044,Magellan-Clay/MIKE,GWP,3200,2008,Sep,10,02,05,2454719.592,-130.2
BPS CS 22886-044,Magellan-Clay/MIKE,IBT,2100,2009,Oct,26,02,12,2455130.595,-130.0
BPS CS 22888-002,Magellan-Clay/MIKE,IBT,3800,2006,Jul,22,08,01,2453938.838,+35.4
BPS CS 22888-014,Magellan-Clay/MIKE,IBT,3600,2007,Aug,05,06,05,2454317.758,-128.6
BPS CS 22888-014,Magellan-Clay/MIKE,IBT,3300,2009,Oct,28,00,12,2455132.511,-128.6
BPS CS 22888-031,Magellan-Clay/MIKE,IBT,3600,2004,Jul,15,09,01,2453201.880,-124.8
BPS CS 22888-031,Magellan-Clay/MIKE,IBT,4000,2004,Jul,24,09,06,2453210.884,-124.9
BPS CS 22888-047,Magellan-Baade/MIKE,GWP,4400,2003,Jun,14,09,00,2452804.876,-158.5
BPS CS 22888-047,Magellan-Clay/MIKE,GWP,6000,2003,Oct,13,05,15,2452925.723,-158.1
