Name,Simbad_Identifier,RA_hms,DEC_dms,Tel,Obs,Exp,Obs.Y,Obs.M,Obs.D,Obs.h,Obs.s,HJD,RVel
CS 22881-070,BPS CS 22881-0070,22:16:37.0551,-40:44:06.040,Magellan-Clay/MIKE,IBT,3600,2006,Jul,19,07,50,2453935.831,-115.9
CS 22882-001,BPS CS 22882-0001,00:20:25.2919,-31:39:04.069,Magellan-Baade/MIKE,GWP,4800,2003,Jun,15,09,24,2452805.892,+26.9
CS 22882-001,BPS CS 22882-0001,00:20:25.2919,-31:39:04.069,Magellan-Clay/MIKE,GWP,6000,2003,Oct,09,06,05,2452921.758,+26.1
CS 22882-006,BPS CS 22882-0006,00:21:59.8589,-29:29:26.511,Magellan-Clay/MIKE,GWP,3000,2008,Sep,10,06,26,2454719.773,-81.5
CS 22882-012,BPS CS 22882-0012,00:30:22.5119,-27:35:27.217,Magellan-Clay/MIKE,SAS,7200,2010,Jul,23,08,22,2455400.852,-0.2
CS 22882-030,BPS CS 22882-0030,00:30:20.0613,-30:20:58.345,Magellan-Clay/MIKE,SAS,3600,2010,Jul,25,08,55,2455402.875,+21.9
CS 22882-030,BPS CS 22882-0030,00:30:20.0613,-30:20:58.345,Magellan-Clay/MIKE,SAS,4000,2010,Jul,26,07,25,2455403.812,+21.3
CS 22883-037,BPS CS 22883-0037,14:24:19.4273,+11:29:26.058,Magellan-Baade/MIKE,SAS,7200,2003,May,23,02,55,2452782.626,-262.8
CS 22883-037,BPS CS 22883-0037,14:24:19.4273,+11:29:26.058,Magellan-Baade/MIKE,SAS,3600,2003,May,24,03,22,2452783.645,-262.8
CS 22884-020,BPS CS 22884-0020,15:34:22.4205,-08:33:40.206,Magellan-Baade/MIKE,GWP,4800,2003,Jun,13,01,43,2452803.577,+30.4
CS 22884-020,BPS CS 22884-0020,15:34:22.4205,-08:33:40.206,Magellan-Baade/MIKE,GWP,2700,2003,Jun,14,01,42,2452804.576,+28.9
CS 22884-020,BPS CS 22884-0020,15:34:22.4205,-08:33:40.206,Magellan-Clay/MIKE,IBT,3100,2009,Jul,25,00,40,2455037.530,+28.3
CS 22884-033,BPS CS 22884-0033,15:35:37.4097,-10:15:09.042,Magellan-Baade/MIKE,SAS,3600,2003,Jun,24,02,21,2452814.602,-92.9
CS 22884-033,BPS CS 22884-0033,15:35:37.4097,-10:15:09.042,Magellan-Clay/MIKE,IBT,1300,2009,May,16,06,13,2454967.765,-103.0
CS 22884-108,BPS CS 22884-0108,15:49:57.5787,-09:14:09.211,Magellan-Baade/MIKE,SAS,3600,2003,Jun,24,03,32,2452814.652,-12.6
CS 22885-040,BPS CS 22885-0040,20:18:07.9502,-38:05:57.221,Magellan-Baade/MIKE,SAS,7200,2003,Jun,26,05,52,2452816.750,+73.9
CS 22885-040,BPS CS 22885-0040,20:18:07.9502,-38:05:57.221,Magellan-Clay/MIKE,SAS,8000,2003,Jul,18,05,20,2452838.728,+72.9
CS 22885-040,BPS CS 22885-0040,20:18:07.9502,-38:05:57.221,Magellan-Clay/MIKE,IBT,1800,2009,May,17,08,57,2454968.876,+72.9
CS 22885-096,BPS CS 22885-0096,20:20:51.1730,-39:53:30.234,Magellan-Clay/MIKE,GWP,2100,2006,Aug,06,02,40,2453953.616,-249.1
CS 22885-203,BPS CS 22885-0203,20:30:19.2728,-37:42:17.118,Magellan-Clay/MIKE,GWP,2900,2008,Sep,10,00,32,2454719.526,-33.9
