Name,Simbad_Identifier,RA_hms,DEC_dms,Tel,Obs,Exp,Obs.Y,Obs.M,Obs.D,Obs.h,Obs.s,HJD,RVel
CS 22951-059,BPS CS 22951-0059,21:50:25.9919,-44:48:49.028,Magellan-Clay/MIKE,GWP,7400,2007,Aug,23,00,37,2454335.531,+88.1
CS 22951-059,BPS CS 22951-0059,21:50:25.9919,-44:48:49.028,Magellan-Clay/MIKE,IBT,1800,2009,Jul,26,04,41,2455038.700,+88.3
CS 22951-077,BPS CS 22951-0077,21:57:53.2097,-43:08:08.217,Magellan-Baade/MIKE,GWP,3200,2003,Jun,14,06,18,2452804.766,+109.1
CS 22951-077,BPS CS 22951-0077,21:57:53.2097,-43:08:08.217,Magellan-Clay/MIKE,GWP,3600,2003,Oct,13,02,20,2452925.599,+108.7
CS 22952-015,HE 2334-0604,23:37:28.6873,-05:47:56.594,Magellan-Clay/MIKE,GWP,1800,2006,Aug,04,09,06,2453951.884,-17.9
CS 22953-003,BPS CS 22953-0003,01:02:15.8723,-61:43:45.836,Magellan-Clay/MIKE,GWP,2000,2006,Aug,03,09,46,2453950.910,+208.3
CS 22953-037,BPS CS 22953-0037,01:25:06.6508,-59:16:00.742,Magellan-Clay/MIKE,IBT,3600,2003,Nov,02,04,00,2452945.668,-162.9
CS 22953-037,BPS CS 22953-0037,01:25:06.6508,-59:16:00.742,Magellan-Clay/MIKE,IUR,4000,2012,Aug,26,04,32,2456165.692,-162.2
CS 22954-004,BPS CS 22954-0004,02:38:15.2758,-05:43:17.211,Magellan-Clay/MIKE,IBT,2400,2004,Sep,26,07,23,2453274.812,-10.5
CS 22954-015,HE 0236-0242,02:39:21.6374,-02:29:37.438,Magellan-Clay/MIKE,GWP,1400,2008,Sep,10,08,40,2454719.865,-50.0
CS 22955-110,BPS CS 22955-0110,20:32:26.4789,-25:08:25.457,Magellan-Clay/MIKE,GWP,1800,2004,Jun,29,04,03,2453185.674,+4.1
CS 22955-174,BPS CS 22955-0174,20:42:05.0417,-23:49:12.660,Magellan-Baade/MIKE,GWP,4400,2003,Jun,12,04,42,2452802.700,-9.2
CS 22955-174,BPS CS 22955-0174,20:42:05.0417,-23:49:12.660,Magellan-Clay/MIKE,GWP,6000,2003,Oct,09,01,27,2452921.563,-9.7
CS 22955-174,BPS CS 22955-0174,20:42:05.0417,-23:49:12.660,Magellan-Clay/MIKE,IBT,4400,2010,Sep,17,23,18,2455457.475,-9.1
CS 22956-015,BPS CS 22956-0015,21:50:20.5307,-64:49:05.197,Magellan-Clay/MIKE,GWP,2000,2005,Aug,21,06,33,2453603.776,-33.6
CS 22956-021,BPS CS 22956-0021,21:43:24.6432,-64:14:45.815,Magellan-Clay/MIKE,GWP,3600,2006,Aug,05,04,48,2453952.704,+40.0
CS 22956-050,BPS CS 22956-0050,21:58:05.8340,-65:13:27.160,Magellan-Clay/MIKE,GWP,3700,2007,Aug,21,03,27,2454333.647,+0.1
CS 22956-050,BPS CS 22956-0050,21:58:05.8340,-65:13:27.160,Magellan-Clay/MIKE,GWP,1900,2009,Sep,05,01,17,2455079.556,+0.4
CS 22956-062,BPS CS 22956-0062,22:07:26.2157,-66:08:57.410,Magellan-Clay/MIKE,GWP,3600,2008,Sep,11,00,48,2454720.536,+187.9
CS 22956-062,BPS CS 22956-0062,22:07:26.2157,-66:08:57.410,Magellan-Clay/MIKE,GWP,3600,2008,Sep,12,02,26,2454721.604,+187.9
CS 22956-081,BPS CS 22956-0081,22:04:11.8970,-62:50:52.348,Magellan-Clay/MIKE,GWP,7200,2007,Aug,23,03,32,2454335.651,+244.4
CS 22956-081,BPS CS 22956-0081,22:04:11.8970,-62:50:52.348,Magellan-Clay/MIKE,GWP,2900,2009,Sep,05,02,02,2455079.588,+244.9
CS 22956-102,BPS CS 22956-0102,22:16:36.5467,-65:19:45.351,Magellan-Clay/MIKE,GWP,5400,2008,Sep,12,04,21,2454721.684,+14.4
CS 22956-102,BPS CS 22956-0102,22:16:36.5467,-65:19:45.351,Magellan-Clay/MIKE,GWP,5300,2009,Sep,05,06,10,2455079.760,+22.4
CS 22956-106,BPS CS 22956-0106,22:16:50.4146,-66:05:05.080,Magellan-Clay/MIKE,GWP,1800,2007,Aug,23,05,26,2454335.730,+205.8
CS 22956-106,BPS CS 22956-0106,22:16:50.4146,-66:05:05.080,Magellan-Clay/MIKE,GWP,2000,2007,Aug,24,05,59,2454336.753,+208.1
CS 22956-106,BPS CS 22956-0106,22:16:50.4146,-66:05:05.080,Magellan-Clay/MIKE,IBT,2400,2009,Oct,25,01,59,2455129.583,+207.4
CS 22956-110,BPS CS 22956-0110,22:19:43.5149,-66:41:21.954,Magellan-Clay/MIKE,GWP,8000,2006,Aug,04,07,34,2453951.819,-86.1
CS 22956-114,BPS CS 22956-0114,22:26:08.1902,-65:33:06.631,Magellan-Clay/MIKE,IUR,2800,2012,Aug,25,04,19,2456164.683,-37.5
CS 22956-114,BPS CS 22956-0114,22:26:08.1902,-65:33:06.631,Magellan-Clay/MIKE,IUR,1200,2012,Aug,26,02,37,2456165.612,-37.6
CS 22957-013,BPS CS 22957-0013,23:55:49.0555,-05:22:52.872,Magellan-Clay/MIKE,IUR,2800,2012,Aug,25,06,14,2456164.765,-214.4
CS 22957-019,BPS CS 22957-0019,23:57:31.5124,-06:57:05.568,Magellan-Clay/MIKE,GWP,1770,2006,Aug,02,07,52,2453949.832,-33.1
CS 22957-019,BPS CS 22957-0019,23:57:31.5124,-06:57:05.568,Magellan-Clay/MIKE,IBT,2400,2009,Oct,25,03,12,2455129.638,-33.3
CS 22957-019,BPS CS 22957-0019,23:57:31.5124,-06:57:05.568,Magellan-Clay/MIKE,IBT,3400,2010,Sep,20,01,58,2455459.588,-32.7
CS 22957-022,BPS CS 22957-0022,00:01:45.4879,-05:49:46.650,Magellan-Clay/MIKE,GWP,1200,2006,Aug,04,09,36,2453951.904,-31.6
CS 22957-024,BPS CS 22957-0024,23:58:34.4953,-04:33:25.390,Magellan-Clay/MIKE,GWP,6300,2004,Aug,10,08,37,2453227.864,-67.9
CS 22957-024,BPS CS 22957-0024,23:58:34.4953,-04:33:25.390,Magellan-Clay/MIKE,GWP,3000,2004,Aug,12,08,45,2453229.869,-67.0
CS 22957-026,BPS CS 22957-0026,00:00:02.1569,-04:07:08.621,Magellan-Clay/MIKE,GWP,1200,2008,Sep,09,06,00,2454718.756,-19.0
CS 22957-026,BPS CS 22957-0026,00:00:02.1569,-04:07:08.621,Magellan-Clay/MIKE,IBT,700,2009,Jul,25,10,33,2455037.943,-18.8
CS 22957-027,HE 2356-0410,23:59:13.1419,-03:53:48.220,Magellan-Clay/MIKE,GWP,1000,2008,Sep,11,06,13,2454720.765,-74.8
CS 22957-036,BPS CS 22957-0036,00:03:31.3531,-04:44:22.563,Magellan-Clay/MIKE,GWP,3600,2008,Sep,11,06,57,2454720.795,-154.5
CS 22958-037,BPS CS 22958-0037,01:58:39.6962,-57:03:26.935,Magellan-Clay/MIKE,GWP,3600,2005,Aug,21,09,29,2453603.898,+209.5
CS 22958-041,BPS CS 22958-0041,02:01:44.5309,-56:47:26.262,Magellan-Clay/MIKE,IBT,7200,2003,Nov,03,06,01,2452946.752,-76.3
CS 22958-042,BPS CS 22958-0042,02:01:07.4297,-57:16:58.850,Magellan-Baade/MIKE,GWP,4800,2003,Jan,16,01,30,2452655.561,+165.2
CS 22958-042,BPS CS 22958-0042,02:01:07.4297,-57:16:58.850,Magellan-Baade/MIKE,GWP,2400,2003,Jan,17,01,10,2452656.547,+165.7
CS 22958-042,BPS CS 22958-0042,02:01:07.4297,-57:16:58.850,Magellan-Baade/MIKE,GWP,2400,2003,Jan,19,01,14,2452658.550,+165.6
CS 22958-052,BPS CS 22958-0052,02:12:48.2200,-56:29:08.292,Magellan-Clay/MIKE,IBT,3000,2004,Sep,26,09,12,2453274.886,+88.9
CS 22958-065,BPS CS 22958-0065,02:02:53.6139,-53:38:40.714,Magellan-Clay/MIKE,GWP,3600,2007,Aug,21,07,48,2454333.828,+105.8
CS 22958-074,BPS CS 22958-0074,02:10:34.1954,-53:22:42.948,Magellan-Clay/MIKE,GWP,3000,2005,Aug,21,07,22,2453603.810,+319.8
CS 22958-083,BPS CS 22958-0083,02:15:42.7299,-53:59:56.257,Magellan-Clay/MIKE,GWP,7200,2003,Oct,09,08,05,2452921.839,+174.8
CS 22959-074,BPS CS 22959-0074,18:51:47.5647,-64:28:00.330,Magellan-Baade/MIKE,SAS,4000,2003,Jun,24,04,44,2452814.702,-135.2
CS 22959-074,BPS CS 22959-0074,18:51:47.5647,-64:28:00.330,Magellan-Clay/MIKE,IBT,1300,2009,May,15,09,12,2454966.887,-136.7
CS 22959-139,BPS CS 22959-0139,18:55:53.7697,-63:06:17.896,Magellan-Baade/MIKE,SAS,4000,2003,Jun,25,04,14,2452815.681,-27.0
CS 22959-139,BPS CS 22959-0139,18:55:53.7697,-63:06:17.896,Magellan-Clay/MIKE,IBT,1400,2009,May,15,09,40,2454966.906,-27.0
CS 22960-010,BPS CS 22960-0010,22:08:25.3504,-44:53:56.708,Magellan-Clay/MIKE,GWP,4000,2004,Jun,28,10,09,2453184.927,+47.0
CS 22960-010,BPS CS 22960-0010,22:08:25.3504,-44:53:56.708,Magellan-Clay/MIKE,IBT,5100,2006,Jun,07,08,59,2453893.877,+47.4
CS 22960-029,BPS CS 22960-0029,22:11:35.5624,-44:25:22.457,Magellan-Clay/MIKE,GWP,3800,2004,Aug,13,06,43,2453230.785,+43.2
CS 22960-029,BPS CS 22960-0029,22:11:35.5624,-44:25:22.457,Magellan-Clay/MIKE,IBT,3600,2006,Jun,06,09,02,2453892.879,+43.2
CS 22960-029,BPS CS 22960-0029,22:11:35.5624,-44:25:22.457,Magellan-Clay/MIKE,IBT,1800,2006,Jun,07,07,51,2453893.830,+42.6
CS 22960-048,BPS CS 22960-0048,22:17:01.5646,-45:12:16.965,Magellan-Baade/MIKE,SAS,3600,2003,Jun,22,09,43,2452812.908,-88.4
CS 22960-048,BPS CS 22960-0048,22:17:01.5646,-45:12:16.965,Magellan-Baade/MIKE,SAS,4000,2003,Jun,24,08,44,2452814.867,-89.0
CS 22960-048,BPS CS 22960-0048,22:17:01.5646,-45:12:16.965,Magellan-Clay/MIKE,IBT,1800,2009,Jul,26,08,58,2455038.878,-88.4
CS 22960-053,BPS CS 22960-0053,22:16:17.0867,-43:54:19.738,Magellan-Clay/MIKE,SAS,4000,2003,Jul,18,08,19,2452838.851,+284.0
CS 22960-053,BPS CS 22960-0053,22:16:17.0867,-43:54:19.738,Magellan-Clay/MIKE,SAS,4000,2003,Jul,19,08,06,2452839.842,+284.3
CS 22960-064,BPS CS 22960-0064,22:24:00.1429,-42:35:16.026,Magellan-Clay/MIKE,IBT,3000,2006,Jul,22,06,58,2453938.795,-86.4
CS 22963-004,BPS CS 22963-0004,02:56:46.5715,-04:51:17.421,Magellan-Baade/MIKE,GWP,3000,2003,Jan,17,02,00,2452656.585,+294.6
CS 22963-004,BPS CS 22963-0004,02:56:46.5715,-04:51:17.421,Magellan-Baade/MIKE,GWP,6000,2003,Jan,18,01,48,2452657.576,+295.3
CS 22963-004,BPS CS 22963-0004,02:56:46.5715,-04:51:17.421,Magellan-Baade/MIKE,GWP,3600,2009,Sep,05,07,42,2455079.824,+293.3
CS 22964-115,BPS CS 22964-0115,19:57:28.5477,-40:00:03.534,Magellan-Clay/MIKE,GWP,3600,2005,Aug,20,04,17,2453602.683,-220.4
CS 22964-115,BPS CS 22964-0115,19:57:28.5477,-40:00:03.534,Magellan-Clay/MIKE,IBT,1300,2009,May,17,09,05,2454968.882,-220.7
CS 22964-176,BPS CS 22964-0176,20:02:07.1248,-40:21:25.900,Magellan-Clay/MIKE,IBT,3600,2005,May,26,08,29,2453516.857,-60.6
CS 22964-176,BPS CS 22964-0176,20:02:07.1248,-40:21:25.900,Magellan-Clay/MIKE,IBT,3600,2005,May,27,08,05,2453517.840,-60.5
CS 22964-183,BPS CS 22964-0183,20:01:12.7606,-40:49:09.897,Magellan-Clay/MIKE,GWP,3400,2004,Aug,13,02,47,2453230.621,+80.8
CS 22964-214,BPS CS 22964-0214,20:05:49.9993,-39:27:43.358,Magellan-Clay/MIKE,GWP,2000,2006,Aug,06,01,59,2453953.588,+41.2
CS 22965-016,BPS CS 22965-0016,21:57:07.9207,-04:34:08.378,Magellan-Clay/MIKE,GWP,3600,2008,Sep,12,00,44,2454721.536,-89.9
CS 22965-016,BPS CS 22965-0016,21:57:07.9207,-04:34:08.378,Magellan-Clay/MIKE,GWP,4200,2009,Sep,05,00,24,2455079.522,-89.7
CS 22965-054,BPS CS 22965-0054,22:06:30.2933,-02:32:34.433,Magellan-Clay/MIKE,GWP,7200,2007,Aug,24,04,31,2454336.694,-282.4
CS 22965-054,BPS CS 22965-0054,22:06:30.2933,-02:32:34.433,Magellan-Clay/MIKE,IBT,3800,2009,Oct,27,01,32,2455131.567,-281.4
CS 22968-001,BPS CS 22968-0001,02:57:50.8,-56:51:05,Magellan-Clay/MIKE,GWP,8000,2003,Oct,13,07,20,2452925.808,+121.5
CS 22968-014,HE 0305-5442,03:06:29.5014,-54:30:32.498,Magellan-Clay/MIKE,IBT,3600,2004,Sep,25,09,11,2453273.885,+159.0
CS 22968-026,BPS CS 22968-0026,03:20:48.8775,-55:38:15.974,Magellan-Clay/MIKE,IBT,3600,2004,Sep,23,07,44,2453271.824,+79.5
CS 22968-029,BPS CS 22968-0029,03:16:27.8176,-55:05:00.193,Magellan-Baade/MIKE,GWP,4000,2003,Jan,15,02,54,2452654.620,+83.6
CS 22968-029,BPS CS 22968-0029,03:16:27.8176,-55:05:00.193,Magellan-Clay/MIKE,GWP,3600,2008,Sep,12,07,23,2454721.810,+83.5
CS 29493-023,BPS CS 29493-0023,21:47:30.1778,-27:55:06.852,Magellan-Clay/MIKE,GWP,3000,2005,Aug,25,03,02,2453607.632,+45.2
CS 29493-050,BPS CS 29493-0050,21:49:26.6652,-29:45:25.138,Magellan-Clay/MIKE,GWP,2200,2005,Aug,25,03,51,2453607.666,-89.7
CS 29493-062,BPS CS 29493-0062,21:52:31.0174,-28:09:37.311,Magellan-Clay/MIKE,IBT,3300,2006,Jun,06,08,28,2453892.855,+5.9
CS 29493-094,BPS CS 29493-0094,21:57:27.3906,-30:08:02.480,Magellan-Clay/MIKE,GWP,3600,2006,Aug,04,04,42,2453951.701,-206.9
CS 29495-005,BPS CS 29495-0005,21:32:49.1878,-27:34:08.723,Magellan-Clay/MIKE,GWP,4000,2006,Aug,03,03,14,2453950.640,-144.6
CS 29495-042,BPS CS 29495-0042,21:39:11.4052,-28:17:54.384,Magellan-Clay/MIKE,GWP,2000,2007,Aug,22,01,59,2454334.588,-94.8
CS 29497-030,CD-24   266,00:40:47.9313,-24:07:34.183,Magellan-Clay/MIKE,IBT,200,2004,Jun,22,09,50,2453178.910,+48.9
CS 29497-030,CD-24   266,00:40:47.9313,-24:07:34.183,Magellan-Clay/MIKE,GWP,900,2005,Aug,21,10,05,2453603.925,+45.5
CS 29498-043,BPS CS 29498-0043,21:03:52.1197,-29:42:50.344,Magellan-Clay/MIKE,IUR,6000,2013,Apr,22,08,54,2456404.870,-32.3
CS 29498-043,BPS CS 29498-0043,21:03:52.1197,-29:42:50.344,Magellan-Clay/MIKE,IUR,3300,2013,Apr,23,09,20,2456405.888,-32.3
CS 29499-003,BPS CS 29499-0003,23:39:42.9584,-26:58:55.613,Magellan-Clay/MIKE,IBT,3600,2007,Aug,04,07,28,2454316.816,-82.4
CS 29499-058,BPS CS 29499-0058,23:52:15.8980,-25:58:18.827,Magellan-Clay/MIKE,IBT,3000,2006,Jul,21,08,23,2453937.853,+151.6
CS 29499-060,SB 966,23:53:40.2978,-26:58:43.988,Magellan-Clay/MIKE,GWP,2400,2004,Aug,12,09,38,2453229.906,-56.8
CS 29501-032,BPS CS 29501-0032,21:07:52.4910,-35:12:47.458,Magellan-Clay/MIKE,GWP,3300,2005,Aug,21,03,23,2453603.646,-138.0
CS 29502-092,BPS CS 29502-0092,22:22:35.9982,-01:38:27.620,Magellan-Clay/MIKE,IBT,1800,2009,Oct,26,01,32,2455130.567,-66.6
CS 29504-004,BPS CS 29504-0004,01:31:02.3886,-36:38:31.031,Magellan-Clay/MIKE,IBT,3000,2009,Jul,26,09,47,2455038.910,+63.9
CS 29504-006,BPS CS 29504-0006,01:32:04.9649,-36:22:42.889,Magellan-Clay/MIKE,IBT,7200,2003,Nov,02,05,41,2452945.740,-87.3
CS 29506-007,BPS CS 29506-0007,21:20:28.6541,-20:46:22.955,Magellan-Clay/MIKE,GWP,2800,2005,Aug,21,04,22,2453603.688,+56.9
CS 29506-090,BPS CS 29506-0090,21:30:28.8706,-22:10:41.578,Magellan-Clay/MIKE,IBT,1800,2004,Jun,20,06,12,2453176.762,-19.6
CS 29506-090,BPS CS 29506-0090,21:30:28.8706,-22:10:41.578,Magellan-Clay/MIKE,IBT,3600,2004,Jun,24,09,43,2453180.909,-21.2
CS 29509-027,CD-31   306,00:50:15.7694,-30:59:56.192,Magellan-Clay/MIKE,GWP,1800,2004,Jun,29,09,52,2453185.912,+73.8
CS 29509-027,CD-31   306,00:50:15.7694,-30:59:56.192,Magellan-Clay/MIKE,GWP,180,2005,Aug,21,10,11,2453603.929,+74.4
CS 29512-073,BPS CS 29512-0073,22:28:36.7002,-12:24:44.113,Magellan-Clay/MIKE,GWP,3000,2008,Sep,10,04,33,2454719.695,-75.5
CS 29512-073,BPS CS 29512-0073,22:28:36.7002,-12:24:44.113,Magellan-Clay/MIKE,IBT,1200,2009,Oct,25,02,34,2455129.610,-74.7
CS 29513-003,BPS CS 29513-0003,23:15:31.7073,-41:56:19.804,Magellan-Clay/MIKE,IBT,2200,2007,Aug,02,08,19,2454314.851,-111.2
CS 29513-014,BPS CS 29513-0014,23:14:24.9131,-37:53:06.920,Magellan-Clay/MIKE,IUR,2200,2012,Aug,25,05,05,2456164.717,+38.7
CS 29513-015,BPS CS 29513-0015,23:14:33.0521,-37:36:05.151,Magellan-Clay/MIKE,IBT,3200,2006,Jul,22,09,25,2453938.897,+53.5
CS 29513-031,BPS CS 29513-0031,23:25:11.3549,-39:59:28.350,Magellan-Clay/MIKE,IBT,5400,2006,Jul,19,09,11,2453935.887,+295.7
CS 29513-031,BPS CS 29513-0031,23:25:11.3549,-39:59:28.350,Magellan-Clay/MIKE,IBT,1200,2009,Jul,04,09,44,2455016.909,+283.8
CS 29513-031,BPS CS 29513-0031,23:25:11.3549,-39:59:28.350,Magellan-Clay/MIKE,IBT,1200,2009,Jul,25,06,14,2455037.764,+283.6
CS 29513-031,BPS CS 29513-0031,23:25:11.3549,-39:59:28.350,Magellan-Clay/MIKE,IBT,1200,2009,Oct,28,01,58,2455132.584,+284.1
CS 29513-032,BPS CS 29513-0032,23:22:19.0938,-39:44:24.309,Magellan-Clay/MIKE,IBT,3800,2009,Jul,25,09,04,2455037.882,-215.8
CS 29513-032,BPS CS 29513-0032,23:22:19.0938,-39:44:24.309,Magellan-Clay/MIKE,IBT,600,2009,Oct,26,03,27,2455130.646,-215.4
CS 29514-007,GD 678,01:06:40.6174,-24:58:41.889,Magellan-Clay/MIKE,IBT,3600,2003,Nov,02,02,37,2452945.613,+40.7
CS 29514-017,BPS CS 29514-0017,01:09:44.7937,-26:16:54.959,Magellan-Clay/MIKE,IUR,2000,2012,Aug,27,07,27,2456166.815,-14.1
CS 29514-018,SB 467,01:09:28.6029,-26:39:48.611,Magellan-Clay/MIKE,GWP,1800,2006,Aug,04,08,30,2453951.857,+74.8
CS 29514-037,BPS CS 29514-0037,01:21:41.6986,-27:03:31.329,Magellan-Clay/MIKE,GWP,4600,2004,Aug,13,09,47,2453230.911,-2.8
CS 29517-018,BPS CS 29517-0018,23:53:37.9033,-17:23:10.071,Magellan-Clay/MIKE,IBT,3600,2006,Jul,21,09,24,2453937.895,+143.0
CS 29517-042,BPS CS 29517-0042,00:05:03.1501,-16:22:05.343,Magellan-Clay/MIKE,GWP,3200,2006,Aug,03,08,55,2453950.876,-21.5
CS 29529-054,BPS CS 29529-0054,03:59:23.8736,-62:10:08.921,Magellan-Baade/MIKE,GWP,3600,2003,Jan,17,03,27,2452656.643,+113.3
CS 29529-054,BPS CS 29529-0054,03:59:23.8736,-62:10:08.921,Magellan-Baade/MIKE,GWP,6000,2003,Jan,20,01,08,2452659.547,+112.9
CS 29529-054,BPS CS 29529-0054,03:59:23.8736,-62:10:08.921,Magellan-Clay/MIKE,GWP,1900,2009,Sep,05,09,59,2455079.917,+113.4
CS 30312-044,BPS CS 30312-0044,15:37:07.5565,+00:32:53.356,Magellan-Clay/MIKE,SAS,3600,2003,Jul,20,01,21,2452840.559,+100.1
CS 30312-059,BPS CS 30312-0059,15:34:48.8386,-01:23:37.343,Magellan-Clay/MIKE,GWP,2400,2006,Aug,03,00,29,2453950.521,-156.3
CS 30312-062,V* V456 Ser,15:37:32.8458,-01:43:53.401,Magellan-Clay/MIKE,GWP,4000,2004,Jun,30,02,16,2453186.598,+51.6
CS 30312-100,BPS CS 30312-0100,15:43:31.6557,+02:01:17.338,Magellan-Clay/MIKE,GWP,2000,2006,Aug,05,23,16,2453953.470,-108.3
CS 30314-067,BPS CS 30314-0067,20:52:50.9878,-34:19:40.547,Magellan-Clay/MIKE,IUR,1800,2013,Apr,21,09,34,2456403.898,+145.6
CS 30339-015,BPS CS 30339-0015,00:16:58.1264,-33:48:17.657,Magellan-Clay/MIKE,IBT,5400,2004,Sep,24,04,10,2453272.678,+101.7
CS 30339-046,BPS CS 30339-0046,00:25:21.6755,-36:30:24.566,Magellan-Clay/MIKE,GWP,5100,2007,Aug,22,08,12,2454334.846,-27.0
CS 30339-046,BPS CS 30339-0046,00:25:21.6755,-36:30:24.566,Magellan-Clay/MIKE,GWP,7200,2007,Aug,24,07,51,2454336.832,-38.8
CS 30339-046,BPS CS 30339-0046,00:25:21.6755,-36:30:24.566,Magellan-Clay/MIKE,IBT,1200,2009,Jul,25,09,51,2455037.914,+9.1
CS 30339-046,BPS CS 30339-0046,00:25:21.6755,-36:30:24.566,Magellan-Clay/MIKE,IBT,600,2009,Oct,28,05,56,2455132.750,-25.5
CS 30339-052,BPS CS 30339-0052,00:22:50.1503,-34:07:20.883,Magellan-Clay/MIKE,SAS,11600,2010,Jul,24,07,08,2455401.800,+31.1
CS 30339-069,HE 0027-3613,00:30:15.9610,-35:56:51.229,Magellan-Clay/MIKE,SAS,4000,2003,Jul,20,09,54,2452840.915,+31.0
CS 30339-073,BPS CS 30339-0073,00:34:52.2289,-36:55:29.891,Magellan-Clay/MIKE,SAS,4000,2003,Jul,18,08,59,2452838.877,+163.2
CS 30339-073,BPS CS 30339-0073,00:34:52.2289,-36:55:29.891,Magellan-Clay/MIKE,SAS,4000,2003,Jul,19,08,45,2452839.867,+163.3
CS 30492-001,BPS CS 30492-0001,21:05:55.2354,-42:10:10.087,Magellan-Clay/MIKE,GWP,1650,2008,Sep,10,01,18,2454719.558,-116.2
CS 30492-016,BPS CS 30492-0016,21:04:49.7578,-40:14:48.080,Magellan-Clay/MIKE,GWP,2600,2005,Aug,20,05,55,2453602.752,+67.7
CS 30492-016,BPS CS 30492-0016,21:04:49.7578,-40:14:48.080,Magellan-Clay/MIKE,IUR,3600,2012,Aug,25,03,21,2456164.644,+68.0
CS 30492-110,BPS CS 30492-0110,21:21:45.8298,-38:08:57.881,Magellan-Clay/MIKE,GWP,7100,2007,Aug,24,02,20,2454336.602,+44.8
CS 30492-110,BPS CS 30492-0110,21:21:45.8298,-38:08:57.881,Magellan-Clay/MIKE,IBT,3100,2009,Jul,25,06,25,2455037.780,+45.0
CS 30493-071,BPS CS 30493-0071,23:16:30.7975,-35:34:35.810,Magellan-Clay/MIKE,IBT,2000,2007,Aug,04,08,22,2454316.853,-6.6
CS 30494-003,BPS CS 30494-0003,03:59:10.0225,-21:06:47.970,Magellan-Clay/MIKE,IUR,800,2012,Aug,25,07,48,2456164.826,-47.0
CS 31082-001,BD-16   251,01:29:31.1311,-16:00:45.495,Magellan-Clay/MIKE,SAS,1800,2003,Jul,19,10,27,2452839.937,+138.9
BD-20 6008,BD-20  6008,20:42:48.7696,-20:00:39.383,Magellan-Clay/MIKE,GWP,550,2009,Sep,05,05,45,2455079.744,+23.0
BD-18 5550,BD-18  5550,19:58:49.7371,-18:12:11.140,McDonald-Smith/Tull,IUR,3900,2009,May,07,10,34,2454958.942,-125.9
BD-18 5550,BD-18  5550,19:58:49.7371,-18:12:11.140,McDonald-Smith/Tull,IUR,3900,2009,May,08,10,42,2454959.948,-126.2
BD-15 5781,BD-15  5781,20:45:34.5446,-14:31:15.154,Magellan-Clay/MIKE,IBT,720,2009,Oct,24,23,48,2455129.492,-75.4
BD-01 2582,BD-01  2582,11:53:37.3231,-02:00:36.728,McDonald-Smith/Tull,IUR,5400,2009,Mar,06,06,25,2454896.773,+2.2
BD-01 2582,BD-01  2582,11:53:37.3231,-02:00:36.728,McDonald-Smith/Tull,IUR,2700,2009,Jun,12,03,24,2454994.642,+1.8
BD+10 2495,BD+10  2495,12:59:19.9306,+09:14:35.634,McDonald-Smith/Tull,IUR,5600,2009,May,06,06,23,2454957.771,+250.8
BD+10 2495,BD+10  2495,12:59:19.9306,+09:14:35.634,McDonald-Smith/Tull,IUR,3600,2009,Jun,10,04,31,2454992.690,+250.8
BD+19 1185A,HD 250792,06:03:14.8636,+19:21:38.696,McDonald-Smith/Tull,IUR,4500,2008,Oct,31,09,42,2454770.908,-191.6
BD+24 1676,BD+24  1676,07:30:41.2662,+24:05:10.248,McDonald-Smith/Tull,IUR,7200,2008,Oct,30,11,05,2454769.963,-236.7
BD+24 1676,BD+24  1676,07:30:41.2662,+24:05:10.248,McDonald-Smith/Tull,IUR,3600,2008,Nov,01,10,47,2454771.951,-238.1
BD+24 1676,BD+24  1676,07:30:41.2662,+24:05:10.248,McDonald-Smith/Tull,IUR,7200,2008,Nov,02,11,13,2454772.969,-237.9
BD+24 1676,BD+24  1676,07:30:41.2662,+24:05:10.248,McDonald-Smith/Tull,IUR,7200,2008,Nov,03,11,43,2454773.990,-237.6
BD+26 3578,HD 338529,19:32:31.9104,+26:23:26.117,McDonald-Smith/Tull,IUR,4500,2008,Oct,30,01,30,2454769.562,-126.4
BD+29 2356,BD+29  2356,13:01:52.4291,+29:11:17.936,McDonald-Smith/Tull,IUR,5400,2009,Jun,11,05,45,2454993.741,-207.3
BD+44 493,BD+44   493,02:26:49.7390,+44:57:46.523,McDonald-Smith/Tull,IUR,7200,2008,Aug,14,10,56,2454692.956,-149.7
BD+44 493,BD+44   493,02:26:49.7390,+44:57:46.523,McDonald-Smith/Tull,IUR,3600,2008,Nov,04,09,01,2454774.881,-150.0
BD+80 245,BD+80   245,08:11:06.2398,+79:54:29.556,McDonald-Smith/Tull,IUR,7200,2009,May,06,03,25,2454957.641,+5.2
CD-38 245,CD-38   245,00:46:36.1954,-37:39:33.555,Magellan-Baade/MIKE,SAS,800,2003,Jun,24,10,33,2452814.940,+46.1
CD-38 245,CD-38   245,00:46:36.1954,-37:39:33.555,Magellan-Clay/MIKE,IBT,480,2004,Sep,24,07,22,2453272.811,+46.2
CD-36 1052,CD-36  1052,02:47:37.4429,-36:06:27.032,Magellan-Clay/MIKE,IBT,1200,2009,Jul,04,10,12,2455016.924,+304.7
CD-30 298,CD-30   298,00:58:43.8709,-30:05:57.717,Magellan-Clay/MIKE,IBT,360,2009,Jul,25,10,45,2455037.951,+28.2
CD-24 1782,CD-24  1782,03:38:41.4850,-24:02:50.292,Magellan-Clay/MIKE,IBT,180,2009,Jul,26,10,48,2455038.949,+101.3
