Name,Species,l_logepsX,logepsX,e_logepsX,N,l_[X/Fe],[X/Fe],s_[X/Fe],e_[X/Fe]
CC06122,Fe I,,6.07,0.02,74,,-1.43,0.14,0.14
CC06122,O I,,7.58,0.17,1,,0.32,0.13,0.21
CC06122,Na I,,4.61,0.17,1,,-0.2,0.08,0.19
CC06122,Mg I,,6.48,0.18,2,,0.31,0.03,0.18
CC06122,Al I,<,5.38,0.17,1,<,0.36,0.1,0.2
CC06122,Si I,,6.29,0.17,1,,0.21,0.14,0.22
CC06122,Ca I,,5.09,0.04,19,,0.09,0.02,0.04
CC06122,Sc II,,1.89,0.14,5,,0.17,0.11,0.18
CC06122,Ti I,,3.67,0.04,8,,0.15,0.09,0.1
CC06122,Ti II,,3.86,0.08,2,,0.34,0.1,0.13
CC06122,V I,,2.43,0.11,10,,-0.07,0.11,0.16
CC06122,Cr I,,4.2,0.06,4,,-0.01,0.08,0.1
CC06122,Mn I,,3.68,0.04,5,,-0.32,0.06,0.07
CC06122,Fe II,,6.16,0.04,8,,0.09,0.17,0.17
CC06122,Co I,,3.53,0.17,1,,-0.03,0.08,0.19
CC06122,Ni I,,4.71,0.07,10,,-0.08,0.05,0.09
CC06122,Cu I,,2.13,0.17,1,,-0.63,0.08,0.19
CC06122,Ba II,,1.19,0.08,3,,0.44,0.11,0.14
CC06122,La II,,0.16,0.08,3,,0.49,0.1,0.13
CC06122,Nd II,,,,,,,,
CC06122,Eu II,,,,,,,,
CC06486,Fe I,,5.47,0.04,42,,-2.03,0.16,0.16
CC06486,O I,<,7.46,0.26,1,<,0.8,0.13,0.29
CC06486,Na I,,4.4,0.26,1,,0.19,0.1,0.28
CC06486,Mg I,,5.74,0.1,2,,0.17,0.07,0.12
CC06486,Al I,<,5.7,0.26,1,<,1.28,0.11,0.28
CC06486,Si I,,,,,,,,
CC06486,Ca I,,4.52,0.07,13,,0.11,0.05,0.09
CC06486,Sc II,,1.26,0.26,1,,0.14,0.12,0.29
CC06486,Ti I,,,,,,,,
CC06486,Ti II,,,,,,,,
CC06486,V I,,,,,,,,
CC06486,Cr I,,3.45,0.13,3,,-0.16,0.03,0.13
CC06486,Mn I,,,,,,,,
CC06486,Fe II,,5.89,0.26,1,,0.42,0.14,0.3
CC06486,Co I,,,,,,,,
CC06486,Ni I,,4.27,0.1,5,,0.08,0.05,0.11
CC06486,Cu I,,,,,,,,
CC06486,Ba II,,-0.3,0.21,3,,-0.45,0.09,0.23
CC06486,La II,,,,,,,,
CC06486,Nd II,,,,,,,,
CC06486,Eu II,,,,,,,,
CC06975,Fe I,,5.66,0.03,53,,-1.84,0.14,0.14
CC06975,O I,<,7.66,0.22,1,<,0.81,0.11,0.25
CC06975,Na I,<,4.38,0.22,1,<,-0.02,0.09,0.24
CC06975,Mg I,,6.03,0.02,2,,0.27,0.05,0.05
CC06975,Al I,<,5.78,0.22,1,<,1.17,0.09,0.24
CC06975,Si I,,,,,,,,
CC06975,Ca I,,4.73,0.05,14,,0.14,0.04,0.06
CC06975,Sc II,,1.7,0.38,2,,0.39,0.11,0.4
CC06975,Ti I,,,,,,,,
CC06975,Ti II,,3.29,0.14,2,,0.17,0.11,0.18
CC06975,V I,,,,,,,,
CC06975,Cr I,,3.77,0.08,2,,-0.03,0.04,0.09
CC06975,Mn I,,3.46,0.22,1,,-0.13,0.08,0.23
CC06975,Fe II,,6.21,0.31,2,,0.55,0.14,0.34
CC06975,Co I,,,,,,,,
CC06975,Ni I,,4.48,0.14,5,,0.1,0.04,0.15
CC06975,Cu I,,,,,,,,
CC06975,Ba II,,0.73,0.05,3,,0.39,0.11,0.12
CC06975,La II,,,,,,,,
CC06975,Nd II,,-0.01,0.22,1,,0.41,0.09,0.24
CC06975,Eu II,,,,,,,,
CC07452,Fe I,,6.21,0.02,82,,-1.29,0.13,0.13
CC07452,O I,,,,,,,,
CC07452,Na I,,4.26,0.17,1,,-0.69,0.09,0.19
CC07452,Mg I,,5.93,0.19,2,,-0.38,0.05,0.2
