Table 2 
Satellites Not Included in This Survey: Tertiary Sample


No.	Name	alpha_0 (J2000)	delta_0 (J2000)	R_sun	R_GC	M_V	r_e	epsilon	${\overline{v}}_{r}$	Sources	
		(deg)	(deg)	(kpc)	(kpc)	(mag)	(pc)		(km s^-1)		
Inner Halo (R_GC < 25 kpc)											
1	Gaia 2	 28.12	+53.04	5.5	12.8	-2.0	3	${0.18}_{-0.12}^{+0.20}$	cdots	1	
2	Gaia 1	101.47	-16.75	4.6	12.1	-5.1	9	cdots	57.6	1, 2	
3	Draco II	238.20	+64.57	20 +or- 3	22 +or- 3	-2.9 +or- 0.80	${19}_{-6}^{+8}$	0.24 +or- 0.25	+347.6 +or- 1.8	3, 4	
4	Sagittarius	283.83	-30.55	26 +or- 2	18 +or- 2	-13.5 +or- 0.3	2587 +or- 219	0.64 +or- 0.02	+140.0 +or- 2.0	5	
5	Tucana III	359.15	-59.60	25 +or- 2	23 +or- 2	-2.4 +or- 0.42	44 +or- 6	cdots	-102.3 +or- 0.4	6, 7	
											
Outer Halo (R_GC >or= 25 kpc)											
1	Tucana IV	0.73	-60.85	48 +or- 4	46 +or- 4	-3.5 +or- 0.28	127 +or- 24	0.40 +or- 0.10	cdots	6	
2	DESJ0034-4902	8.45	-40.04	87	85	$-{3.00}_{-0.41}^{+0.66}$	9.88 +or- 7.09	0.69 +or- 0.24	cdots	8	
3	SMC	13.19	-72.83	64 +or- 4	61 +or- 4	-16.8 +or- 0.1	1106 +or- 77	0.41 +or- 0.05	+145.6 +or- 0.6	5	
4	DESJ0111-1341	17.79	-13.68	26.5 +or- 1.3	29.4 +or- 1.3	$+{0.3}_{-0.6}^{+0.9}$	${4.55}_{-0.95}^{+1.33}$	${0.27}_{-0.17}^{+0.20}$	cdots	9	
5	Cetus II	19.47	-17.42	30 +or- 3	32 +or- 3	0.0 +or- 0.68	17 +or- 7	<or=0.4	cdots	6	
6	DESJ0225+0304	36.43	+3.07	${23.8}_{-0.5}^{+0.7}$	${29.6}_{-0.5}^{+0.7}$	$-{1.1}_{-0.3}^{+0.5}$	${18.6}_{-4.9}^{+9.2}$	${0.61}_{-0.23}^{+0.14}$	cdots	9	
7	Reticulum III	56.36	-60.45	92 +or- 13	92 +or- 13	-3.3 +or- 0.29	64 +or- 24	<or=0.4	cdots	6	
8	LMC	80.89	-69.76	51 +or- 2	50 +or- 2	-18.1 +or- 0.1	2697 +or- 115	0.15 +or- 0.08	+262.2 +or- 3.4	5	
9	Columba I	82.86	-28.03	182 +or- 18	186 +or- 18	-4.5 +or- 0.17	103 +or- 25	<or=0.2	cdots	6	
10	Crater II	177.31	-18.41	117 +or- 2	116 +or- 2	-7.8 +or- 0.10	1066 +or- 86	<or=0.1	cdots	10	
11	Virgo I	180.04	-0.68	${87}_{-8}^{+13}$	${87}_{-8}^{+13}$	-0.8 +or- 0.9	${38}_{-11}^{+12}$	${0.44}_{-0.17}^{+0.14}$	cdots	11	
12	Sagittarius II	298.17	-22.07	67 +or- 5	60 +or- 5	-5.2 +or- 0.40	${38}_{-7}^{+8}$	0.23 +or- 0.20	cdots	3	
13	Indus II	309.72	-46.16	214 +or- 16	208 +or- 16	-4.3 +or- 0.19	181 +or- 67	<or=0.4	cdots	6	
14	Laevens 3	316.73	+14.98	67 +or- 3	64 +or- 3	-4.4 +or- 0.30	7 +or- 2	0.21 +or- 0.21	-140.5 +or- 2.0	3	
15	Grus II	331.02	-46.44	53 +or- 5	49 +or- 5	-3.9 +or- 0.22	93 +or- 14	<or=0.21	cdots	6	
16	Pegasus III	336.10	+05.41	205 +or- 20	203 +or- 20	-4.1 +or- 0.50	${78}_{-24}^{+30}$	0.46 +or- 0.23	cdots	12, 13	
17	Aquarius II	338.48	-9.33	108 +or- 3	105 +or- 3	4.36 +or- 0.14	159 +or- 24	0.39 +or- 0.09	71.1 +or- 2.5	14	
18	Tucana II	342.98	-58.57	57 +or- 5	53 +or- 5	-3.8 +or- 0.10	${165}_{-19}^{+28}$	0.39 +or- 0.15	-129.1 +or- 3.5	15, 16, 17	
19	Tucana V	354.35	-63.27	55 +or- 9	52 +or- 9	-1.6 +or- 0.49	17 +or- 6	0.70 +or- 0.15	cdots	6	
Note. Sources for tertiary sample: (1) Koposov et al. (2017), (2) Mucciarelli et al. (2017), (3) Laevens et al. (2015a), (4) Martin et al. (2016), (5) McConnachie (2012), (6) Drlica-Wagner et al. (2015), (7) Simon et al. (2017), (8) Luque et al. (2016), (9) Luque et al. (2017), (10) Torrealba et al. (2016a), (11) Homma et al. (2016), (12) Kim et al. (2015a), (13) Kim et al. (2016), (14) Torrealba et al. (2016b), (15) Koposov et al. (2015a), (16) the DES Collaboration et al. (2015), (17) Walker et al. (2016).
