Name,RA_hms,DEC_dms
MKV0397,06:41:58.27,-50:46:41.40
MKV0446,06:42:09.17,-50:48:42.00
MKV0458,06:41:58.19,-50:48:58.00
MKV0482,06:41:58.31,-50:49:50.00
MKV0499,06:40:42.29,-50:50:19.70
MKV0511,06:41:02.64,-50:50:48.40
MKV0512,06:40:46.55,-50:50:50.60
MKV0514,06:41:46.00,-50:51:00.50
MKV0516,06:40:45.44,-50:51:01.60
MKV0523,06:42:35.73,-50:51:07.90
MKV0533,06:42:16.11,-50:51:17.30
MKV0535,06:41:18.58,-50:51:19.70
MKV0537,06:40:42.18,-50:51:22.40
MKV0542,06:41:59.48,-50:51:42.90
MKV0550,06:42:08.99,-50:52:00.20
MKV0555,06:41:03.94,-50:52:05.50
MKV0556,06:42:22.26,-50:52:09.50
MKV0558,06:40:54.75,-50:52:11.60
MKV0560,06:42:25.71,-50:52:12.30
MKV0563,06:40:40.23,-50:52:20.50
MKV0569,06:41:40.16,-50:52:33.40
MKV0571,06:40:35.78,-50:52:37.60
MKV0576,06:41:25.13,-50:52:47.90
MKV0577,06:41:45.03,-50:52:49.00
MKV0584,06:41:05.69,-50:52:59.60
MKV0587,06:41:19.97,-50:53:02.30
MKV0592,06:40:29.55,-50:53:09.70
MKV0596,06:41:18.04,-50:53:11.40
MKV0598,06:42:01.12,-50:53:18.10
MKV0605,06:41:47.66,-50:53:28.20
MKV0606,06:41:05.46,-50:53:28.60
MKV0608,06:42:26.10,-50:53:28.80
MKV0614,06:42:37.95,-50:53:37.60
MKV0628,06:40:35.37,-50:54:07.60
MKV0630,06:42:26.76,-50:54:09.90
MKV0635,06:41:12.83,-50:54:20.00
MKV0640,06:40:40.82,-50:54:29.20
MKV0641,06:42:38.89,-50:54:29.30
MKV0647,06:40:11.30,-50:54:39.10
MKV0652,06:41:40.82,-50:54:45.80
MKV0668,06:42:09.36,-50:55:14.20
MKV0675,06:41:26.91,-50:55:23.20
MKV0677,06:40:31.12,-50:55:24.50
MKV0692,06:41:18.32,-50:55:39.10
MKV0698,06:41:26.09,-50:55:43.70
MKV0701,06:41:42.51,-50:55:50.20
MKV0708,06:42:38.52,-50:56:00.80
MKV0713,06:41:45.20,-50:56:04.70
MKV0716,06:42:00.50,-50:56:08.50
MKV0728,06:40:37.63,-50:56:25.40
MKV0729,06:42:17.45,-50:56:26.30
MKV0733,06:42:30.38,-50:56:33.30
MKV0735,06:40:32.97,-50:56:34.50
MKV0740,06:41:29.08,-50:56:46.50
MKV0743,06:41:45.91,-50:56:54.30
MKV0770,06:41:12.28,-50:57:25.70
MKV0780,06:40:57.07,-50:57:44.10
MKV0785,06:42:24.13,-50:57:54.50
MKV0797,06:41:18.32,-50:58:07.60
MKV0798,06:40:24.32,-50:58:08.50
MKV0812,06:40:51.62,-50:58:21.70
MKV0814,06:42:29.33,-50:58:24.00
MKV0825,06:40:56.96,-50:58:38.30
MKV0832,06:42:24.63,-50:58:44.90
MKV0840,06:42:02.81,-50:58:59.40
MKV0842,06:40:22.51,-50:59:01.90
MKV0843,06:41:30.01,-50:59:02.40
MKV0844,06:40:31.35,-50:59:02.90
MKV0846,06:42:15.99,-50:59:04.50
MKV0847,06:42:39.77,-50:59:05.20
MKV0850,06:41:37.54,-50:59:12.80
MKV0860,06:40:41.77,-50:59:19.10
MKV0866,06:42:17.10,-50:59:28.40
MKV0875,06:41:48.71,-50:59:42.40
MKV0877,06:41:12.61,-50:59:44.10
MKV0880,06:41:15.66,-50:59:47.90
MKV0898,06:41:17.47,-51:00:17.50
MKV0900,06:41:27.15,-51:00:18.30
MKV0901,06:42:06.47,-51:00:18.70
MKV0902,06:41:16.31,-51:00:18.70
MKV0914,06:40:42.49,-51:00:42.70
MKV0916,06:42:08.97,-51:00:48.00
MKV0925,06:40:43.17,-51:01:06.60
MKV0939,06:41:49.67,-51:01:31.30
MKV0948,06:41:37.65,-51:01:43.60
MKV0959,06:42:15.67,-51:01:59.90
MKV0976,06:40:57.68,-51:02:40.70
MKV0981,06:41:54.36,-51:02:46.30
MKV0987,06:40:53.55,-51:02:53.00
MKV0990,06:42:04.96,-51:02:59.00
MKV0998,06:41:12.10,-51:03:12.40
MKV1007,06:41:44.65,-51:03:31.40
MKV1009,06:41:51.55,-51:03:36.00
MKV1011,06:41:04.04,-51:03:39.60
MKV1012,06:41:00.31,-51:03:43.20
MKV1030,06:41:14.81,-51:04:15.30
MKV1061,06:41:29.15,-51:05:22.30
MKV1070,06:41:41.33,-51:05:39.70
