JINA_ID, Name                    , Simbad_Identifier       , System, RA_hms       , DEC_dms      , Teff  , logg, M/H  , Vmic, Reference
   5685, TYC 9527-1073-1         , TYC 9527-1073-1         , Atari , 18:28:43.5444, -84:41:34.807, 4648.0, 2.95, -2.03, 1.8 , Ezzeddine+2020
   5689, UCAC2 989194            , UCAC2 989194            , Atari , 18:36:12.1452, -73:33:44.266, 4756.0, 1.4 , -2.61, 2.15, Ezzeddine+2020
   5690, 2MASS J18405985-4841353 , 2MASS J18405985-4841353 , Atari , 18:40:59.8598, -48:41:35.314, 4792.0, 1.4 , -2.58, 1.8 , Ezzeddine+2020
   2562, HE 0017-4346            , HE 0017-4346            , Atari , 00:20:16.2080, -43:30:18.055, 6198.0, 3.8 , -3.07, 1.2 , Cohen+2013
   2591, UCAC4 342-001270        , UCAC4 342-001270        , Atari , 01:07:31.2348, -21:46:06.492, 6330.0, 4.4 , -2.55, 1.6 , Cohen+2013
   2609, UCAC4 371-007255        , UCAC4 371-007255        , Atari , 05:10:35.4729, -15:51:38.255, 6365.0, 4.4 , -2.43, 1.4 , Cohen+2013
   2657, UCAC4 452-052732        , UCAC4 452-052732        , Atari , 13:22:35.3538, +00:22:32.680, 6500.0, 3.7 , -3.38, 1.9 , Cohen+2013
   2645, HE 1424-0241            , HE 1424-0241            , Atari , 14:26:40.3306, -02:54:27.487, 5195.0, 2.5 , -3.96,     , Cohen+2007
   1888, HD 2796                 , HD 2796                 , Atari , 00:31:16.9147, -16:47:40.790, 4950.0, 1.5 , -2.4 , 2.1 , Cayrel+2004
   2255, 2MASS J12450268-0738469 , 2MASS J12450268-0738469 , Atari , 12:45:02.6808, -07:38:47.103, 6100.0, 4.0 , -3.17, 1.5 , Caffau+2013
   2554, UCAC3 215-112497        , UCAC3 215-112497        , Atari , 10:29:15.1489, +17:29:27.924, 5811.0, 4.0 , -4.97, 1.5 , Caffau+2011d
     71, HE 0023-4825            , HE 0023-4825            , Atari , 00:25:50.3198, -48:08:27.012, 5816.0, 3.63, -2.06, 1.45, Barklem+2005b
    568, HE 1413-1954            , HE 1413-1954            , Atari , 14:16:04.7119, -20:08:54.089, 6533.0, 4.59, -3.22, 1.4 , Barklem+2005b
    908, HE 2259-3407            , HE 2259-3407            , Atari , 23:02:15.7379, -33:51:11.284, 6266.0, 4.32, -2.29, 1.37, Barklem+2005b
   3231, HD 23798                , HD 23798                , Atari , 03:46:45.7220, -30:51:13.333, 4450.0, 1.26, -2.26, 2.17, Aoki_M+2017
   2211, SDSS J063055.58+255243.7, SDSS J063055.58+255243.7, Atari , 06:30:55.5706, +25:52:43.780, 6100.0, 4.0 , -3.05, 1.5 , Aoki+2013a
      0, SDSS J105519.28+232234.0, SDSS J105519.28+232234.0, Atari , 10:55:19.2803, +23:22:34.010, 6448.0, 4.9 , -4.2 ,     , Aguado+2017
