Name      , Vmag  , Imag  , Jmag  , Hmag  , Kmag
fnx_06_019, 18.336, 17.062, 16.005, 15.455, 15.310
fnx0579x-1, 18.220, 16.910, 16.090, 15.532, 15.393
car1_t174 , 19.170, 18.030, 17.112, 16.612, 16.531
car1_t194 , 19.300, 18.150, 17.203, 16.689, 16.584
car1_t200 , 19.380, 18.340, 17.463, 16.938, 16.780
LG04c_0008, 18.500, 17.230, 16.282, 15.798, 15.666
