Name,RA_hms,DEC_dms,V_mag,I_mag,J_mag,H_mag,K_mag,Teﬀ,logg,Vmic
fnx_06_019,02:37:00.91,-34:10:43.10,18.336,17.062,16.005,15.455,15.310,4280,0.68,1.80
fnx0579x-1,02:40:47.79,-34:26:46.50,18.220,16.910,16.090,15.532,15.393,4255,0.62,1.70
car1_t174,06:41:58.72,-51:06:40.30,19.170,18.030,17.112,16.612,16.531,4650,1.42,1.90
car1_t194,06:41:42.87,-51:05:30.10,19.300,18.150,17.203,16.689,16.584,4550,1.43,1.71
car1_t200,06:41:49.67,-51:01:31.30,19.380,18.340,17.463,16.938,16.780,4750,1.56,1.69
LG04c_0008,06:40:49.14,-51:00:33.00,18.500,17.230,16.282,15.798,15.666,4520,1.08,1.78
