Name,Tphot_V-I,Tphot_V-J,Tphot_V-H,Tphot_V-K,Tphot_avg,e_Tphot_avg,Tphot_logg,Fe/H_CaT,Teff,logg,Vmic,Fe/H
fnx_06_019,4379,4257,4248,4362,4311 pm,68,0.70,-2.54,4280,0.68,1.80,-2.92
fnx0579x-1,4338,4422,4386,4427,4393,41,0.71,-2.55,4255,0.62,1.70,-2.73
car1_t174,4711,4678,4592,4646,4657,51,1.42,-3.41,4650,1.42,1.90,-3.01
car1_t194,4619,4533,4519,4544,4554,45,1.42,-2.68,4550,1.43,1.71,-2.58
car1_t200,4862,4813,4690,4663,4757,96,1.56,-3.26,4750,1.56,1.69,-2.95
LG04c_0008,4518,4504,4466,4507,4499,23,1.07,-3.29,4520,1.08,1.78,-3.05
