Name,RA_hms,DEC_dms,Setting,lambda range,SNR_avg,Vel,e_Vel,Instrument
fnx_06_019,02:37:00.91,-34:10:43.10,Dic1-CCD#2,3800-4515,12,53.78,0.16,UVES
,,,Dic1-CCD#3(Blue),4790-5760,30,54.43,0.12,UVES
,,,Dic1-CCD#3(Red),5840-6805,45,53.98,0.16,UVES
fnx0579x-1,02:40:47.79,-34:26:46.50,Dic1-CCD#2,3800-4520,12,49.43,0.19,UVES
,,,Dic1-CCD#3(Blue),4790-5760,30,49.62,0.15,UVES
,,,Dic1-CCD#3(Red),5840-6805,43,49.17,0.18,UVES
car1_t174,06:41:58.72,-51:06:40.30,UBV,3040-5550,38,205.37,1.40,X-Shooter
,,,VIS,5550-6800,24,209.26,0.78,X-Shooter
car1_t194,06:41:42.87,-51:05:30.10,UBV,3040-5550,33,202.50,1.06,X-Shooter
,,,VIS,5550-6800,30,207.11,1.24,X-Shooter
car1_t200,06:41:49.67,-51:01:31.30,UBV,3040-5550,34,214.69,1.46,X-Shooter
,,,VIS,5550-6800,25,208.40,1.72,X-Shooter
LG04c_0008,06:40:49.14,-51:00:33.00,UBV,3040-5550,37,219.13,1.30,X-Shooter
,,,VIS,5550-6800,40,221.05,1.36,X-Shooter
