Found, DEC_input   , RA_input   , Query_ID  , MAIN_ID               , RA           , DEC          , RA_PREC, DEC_PREC, COO_ERR_MAJA, COO_ERR_MINA, COO_ERR_ANGLE, COO_QUAL, COO_WAVELENGTH, COO_BIBCODE        , FLUX_U, FLUX_B, FLUX_V, FLUX_R, FLUX_I, FLUX_J, FLUX_H, FLUX_K, OTYPE         , SP_TYPE, RA_2         , DEC_2        , PMRA , PMDEC, PLX_VALUE, RV_VALUE, SCRIPT_NUMBER_ID
True , -34:10:43.10, 02:37:00.91, fnx_06_019, [BTH2006] fnx-06 019  , 02 37 00.91  , -34 10 43.1  ,       6,        6,             ,             ,             0, D       ,               , 2006A&A...459..423B,       ,       , 18.336,       , 17.062,       ,       ,       , Star          ,        , 02 37 00.91  , -34 10 43.1  ,      ,      ,          ,         ,                1
True , -34:26:46.50, 02:40:47.79, fnx0579x-1, [BTH2006] fnx-05 791  , 02 40 47.790 , -34 26 46.50 ,       7,        7,             ,             ,             0, D       ,               , 2024A&A...686A.266L,       ,       , 18.22 ,       , 16.91 ,       ,       ,       , Star          ,        , 02 40 47.790 , -34 26 46.50 ,      ,      ,          ,         ,                1
True , -51:06:40.30, 06:41:58.72, car1_t174 , [FNB2015] CC 13080    , 06 41 58.7   , -51 06 40    ,       5,        5,             ,             ,             0, D       , O             , 2015A&A...580A..18F,       , 20.003, 19.116,       , 17.945,       ,       ,       , RGB*_Candidate,        , 06 41 58.7   , -51 06 40    ,      ,      ,          ,    212.8,                1
True , -51:05:30.10, 06:41:42.87, car1_t194 , [WMO2009] Car-1888    , 06 41 42.8673, -51 05 29.827,      14,       14,       0.1605,       0.1476,            90, A       , O             , 2020yCat.1350....0G,       , 20.083, 19.206,       , 18.049,       ,       ,       , Star          ,        , 06 41 42.8673, -51 05 29.827, 0.624, 0.233,    0.0994,    160.2,                1
True , -51:01:31.30, 06:41:49.67, car1_t200 , [WMO2009] Car-1415    , 06 41 49.6627, -51 01 31.162,      14,       14,       0.1667,       0.1547,            90, A       , O             , 2020yCat.1350....0G,       , 20.14 , 19.298,       , 18.175, 17.39 , 16.892, 16.745, RGB*_Candidate,        , 06 41 49.6627, -51 01 31.162, 0.651, 0.145,          ,    225.8,                1
True , -51:00:33.00, 06:40:49.14, LG04c_0008, [MOP2000] C120721     , 06 40 49.1647, -51 00 33.208,      14,       14,       0.096 ,       0.1104,            90, A       , O             , 2020yCat.1350....0G,       , 19.296, 18.357,       , 17.149, 16.244, 15.848, 15.562, RRLyrae       ,        , 06 40 49.1647, -51 00 33.208, 0.425, 0.104,    0.0915,    228.7,                1
