# Note: this data is utilizing the Grevesse & Sauval (1998) solar abundances. The python notebook converts these abundances to the log_eps values.
Star,[Fe/H],e_[Fe/H],[FeII/H],e_[FeII/H],[C/Fe],e_[C/Fe],[N/Fe],e_[N/Fe],[O/Fe],e_[O/Fe],[Na/Fe],e_[Na/Fe],[Mg/Fe],e_[Mg/Fe],[Al/Fe],e_[Al/Fe],[Si/Fe],e_[Si/Fe],[Ca/Fe],e_[Ca/Fe],[ScII/Fe],e_[ScII/Fe],[Ti/Fe],e_[Ti/Fe],[TiII/Fe],e_[TiII/Fe],[V/Fe],e_[V/Fe],[VII/Fe],e_[VII/Fe],[Cr/Fe],e_[Cr/Fe],[CrII/Fe],e_[CrII/Fe],[Mn/Fe],e_[Mn/Fe],[MnII/Fe],e_[MnII/Fe],[Co/Fe],e_[Co/Fe],[Ni/Fe],e_[Ni/Fe],[Cu/Fe],e_[Cu/Fe],[Zn/Fe],e_[Zn/Fe],[SrII/Fe],e_[SrII/Fe],[YII/Fe],e_[YII/Fe],[ZrII/Fe],e_[ZrII/Fe],[BaII/Fe],e_[BaII/Fe],[LaII/Fe],e_[LaII/Fe],[EuII/Fe],e_[EuII/Fe]
BD+03 740,-2.71,0.08,-2.69,0.06,0.59,0.31,<0.29,,<0.98,,,,0.23,0.02,-0.84,0.15,0.07,0.15,0.38,0.03,0.29,0.05,0.69,0.03,0.57,0.06,,,0.28,0.09,-0.07,0.03,0.05,0.09,-0.46,0.09,-0.19,0.06,0.41,0.05,0.06,0.05,-0.80,0.06,,,-0.21,0.09,-0.01,0.16,0.36,0.10,-0.37,0.17,,,<0.68,
BD+23 3130,-2.58,0.03,-2.62,0.11,0.11,0.23,-0.54,0.23,0.55,0.33,-0.09,0.12,0.25,0.10,-0.99,0.06,,,0.24,0.04,0.06,0.05,0.21,0.05,0.25,0.05,0.08,0.16,0.12,0.08,-0.24,0.04,-0.07,0.10,-0.57,0.05,-0.38,0.06,0.20,0.12,-0.15,0.06,-1.33,0.12,0.07,0.08,-0.38,0.08,-0.39,0.05,0.00,0.06,-0.47,0.09,-0.26,0.17,0.31,0.11
BD+24 1676,-2.63,0.08,-2.60,0.06,0.41,0.21,<0.21,,0.65,,,,0.37,0.03,,,0.17,0.15,0.45,0.03,0.20,0.05,0.55,0.03,0.45,0.06,,,0.20,0.09,-0.13,0.04,-0.09,0.08,-0.43,0.09,-0.30,0.06,0.35,0.06,0.03,0.04,-0.83,0.06,0.20,0.18,-0.05,0.08,-0.12,0.06,0.31,0.09,-0.33,0.09,,,<0.59,
BS 16077-007,-2.72,0.08,-2.82,0.09,0.60,0.31,<0.80,,<1.39,,,,0.34,0.04,,,0.13,0.15,0.43,0.02,0.31,0.08,0.59,0.06,0.62,0.07,,,0.42,0.18,-0.15,0.03,0.01,0.11,-0.52,0.09,-0.27,0.09,0.34,0.06,0.08,0.05,-0.59,0.16,,,0.22,0.11,0.30,0.17,0.85,0.16,-0.11,0.18,,,<0.81,
BS 16080-054,-3.07,0.09,-2.94,0.09,-0.45,0.22,0.75,0.37,,,0.48,0.12,0.44,0.06,-0.70,0.04,0.47,0.15,0.41,0.05,-0.02,0.09,0.24,0.07,0.30,0.06,,,-0.03,0.07,-0.43,0.10,-0.21,0.16,-0.61,0.13,-0.59,0.16,0.08,0.07,-0.05,0.07,,,,,0.16,0.17,0.12,0.09,0.31,0.10,-0.42,0.08,,,<0.23,
BS 16080-093,-3.19,0.09,-3.11,0.09,<-0.63,,,,,,,,0.44,0.05,-0.88,0.06,0.42,0.15,0.27,0.05,0.09,0.07,0.38,0.07,0.41,0.06,,,-0.09,0.17,-0.34,0.07,,,-0.98,0.10,,,0.30,0.08,0.03,0.10,,,,,-0.13,0.17,-0.28,0.09,0.17,0.17,-0.27,0.09,,,0.20,0.21
BS 16084-160,-3.20,0.09,-3.26,0.08,-0.12,0.22,0.78,0.30,0.27,0.31,-0.22,0.10,0.21,0.05,-0.97,0.05,0.62,0.15,0.18,0.05,0.09,0.06,-0.02,0.07,0.09,0.06,,,-0.14,0.07,-0.42,0.06,,,-0.55,0.09,-0.44,0.07,0.09,0.08,-0.13,0.07,-1.64,0.10,,,-2.10,0.18,,,,,-1.99,0.10,,,<-0.25,
BS 16467-062,-3.75,0.04,-3.75,0.14,0.48,0.23,,,,,,,0.23,0.11,-0.79,0.06,0.32,0.21,0.28,0.06,0.31,0.11,0.51,0.16,0.44,0.10,,,,,-0.46,0.06,,,-0.64,0.10,,,0.69,0.07,0.29,0.07,,,,,,,,,,,<-0.68,,,,<1.24,
BS 16545-089,-3.44,0.08,-3.44,0.08,<1.62,,<1.82,,,,-0.13,0.18,<0.29,,-0.66,0.15,0.00,0.15,0.46,0.15,0.29,0.15,,,0.71,0.06,,,,,-0.15,0.15,,,,,,,,,,,,,,,-0.09,0.09,,,,,<-0.09,,,,<1.93,
BS 16550-087,-3.53,0.09,-3.51,0.09,-0.49,0.22,1.11,0.37,,,0.01,0.08,0.58,0.05,-0.61,0.05,0.40,0.15,0.23,0.06,-0.05,0.09,0.18,0.08,0.15,0.07,,,,,-0.59,0.09,,,-0.96,0.10,,,0.22,0.07,-0.08,0.06,,,,,0.42,0.17,0.29,0.08,0.74,0.10,-0.74,0.11,,,<0.00,
