ID,Name,Simbad_Identifier,Member,System,RA_hms,DEC_dms,gmag,imag,Xpix,Ypix,Rad,Vel
## potential Bootes I stars...
2,BooI-2,[NWG2010] BooI 2,y,Bootes I,13:59:02.33,+14:30:23.2,18.33,17.34,-15.4,0.4,15.4,123
7,BooI-7,[NWG2010] BooI 7,y,Bootes I,13:59:35.53,+14:20:23.7,18.31,17.29,-7.4,-9.6,12.1,106
8,BooI-8,[NWG2010] BooI 8,y,Bootes I,13:59:38.62,+14:19:15.9,19.03,18.20,-6.6,-10.7,12.6,106
9,BooI-9,[NWG2010] BooI 9,y,Bootes I,13:59:48.81,+14:19:42.9,17.92,16.75,-4.2,-10.3,11.1,112
23,BooI-23,[NWG2010] BooI 23,y,Bootes I,14:00:01.54,+14:21:54.2,19.89,19.06,-1.1,-8.1,8.2,105
32,BooI-32,[NWG2010] BooI 32,y,Bootes I,14:00:07.06,+14:20:27.0,20.08,19.28,0.3,-9.6,9.6,105
33,BooI-33,[NWG2010] BooI 33,y,Bootes I,14:00:11.73,+14:25:01.4,18.23,17.16,1.4,-5.0,5.2,107
34,BooI-34,[NWG2010] BooI 34,y,Bootes I,14:00:21.11,+14:17:27.9,18.74,17.75,3.7,-12.5,13.1,111
41,BooI-41,[NWG2010] BooI 41,y,Bootes I,14:00:25.83,+14:26:07.6,18.38,17.37,4.8,-3.9,6.2,105
63,BooI-63,[NWG2010] BooI 63,y,Bootes I,14:00:32.00,+14:43:02.5,18.22,17.13,6.3,13.0,14.5,97
71,BooI-71,[NWG2010] BooI 71,y,Bootes I,13:59:36.79,+14:11:40.8,19.59,18.84,-7.1,-18.3,19.6,91
76,BooI-76,[NWG2010] BooI 76,y,Bootes I,14:00:03.02,+14:12:36.0,20.08,19.23,-0.7,-17.4,17.4,95
78,BooI-78,[NWG2010] BooI 78,y,Bootes I,14:00:14.73,+14:13:13.9,19.30,18.36,2.1,-16.8,16.9,105
94,BooI-94,[NWG2010] BooI 94,y,Bootes I,14:00:31.51,+14:34:03.6,17.53,16.26,6.2,4.1,7.4,94
105,BooI-105,[NWG2010] BooI 105,y,Bootes I,14:00:12.92,+14:33:11.8,19.54,18.72,1.7,3.2,3.6,98
117,BooI-117,[NWG2010] BooI 117,y,Bootes I,14:00:10.49,+14:31:45.5,18.19,17.13,1.1,1.8,2.1,96
121,BooI-121,[NWG2010] BooI 121,y,Bootes I,14:00:36.52,+14:39:27.3,17.92,16.72,7.4,9.5,12.0,112
127,BooI-127,[NWG2010] BooI 127,y,Bootes I,14:00:14.57,+14:35:52.7,18.15,17.00,2.1,5.9,6.2,99
130,BooI-130,[NWG2010] BooI 130,y,Bootes I,13:59:48.98,+14:30:06.2,18.21,17.15,-4.1,0.1,4.1,111
161,BooI-161,[NWG2010] BooI 161,y,Bootes I,13:59:39.37,+14:26:38.4,20.38,19.67,-6.4,-3.4,7.3,127
162,BooI-162,[NWG2010] BooI 162,y,Bootes I,13:59:46.34,+14:25:11.8,20.36,19.66,-4.8,-4.8,6.8,91
229,BooI-229,[NWG2010] BooI 229,y,Bootes I,13:59:29.95,+14:14:56.7,20.57,19.83,-8.7,-15.1,17.4,126
244,BooI-244,[NWG2010] BooI 244,y,Bootes I,13:59:09.10,+14:33:11.3,20.69,19.93,-13.8,3.2,14.1,113
306,BooI-306,[NWG2010] BooI 306,y,Bootes I,14:03:52.07,+14:14:33.5,19.02,18.06,54.8,-15.3,56.9,123
357,BooI-357,[NWG2010] BooI 357,y,Bootes I,14:03:03.33,+13:57:08.8,19.50,18.78,43.0,-32.8,54.1,118
625,BooI-625,[NWG2010] BooI 625,y,Bootes I,14:01:45.40,+14:41:54.7,19.86,19.15,24.0,11.9,26.8,85
649,BooI-649,[NWG2010] BooI 649,y,Bootes I,14:01:27.35,+14:24:43.9,20.20,19.54,19.7,-5.3,20.4,125
774,BooI-774,[NWG2010] BooI 774,y,Bootes I,14:00:17.08,+13:39:32.8,19.36,18.47,2.7,-50.5,50.5,98
859,BooI-859,[NWG2010] BooI 859,y,Bootes I,14:00:06.47,+14:16:30.5,19.89,19.10,0.1,-13.5,13.5,114
911,BooI-911,[NWG2010] BooI 911,y,Bootes I,14:00:01.08,+14:36:51.5,17.94,16.82,-1.2,6.9,7.0,94
923,BooI-923,[NWG2010] BooI 923,y,Bootes I,13:59:53.76,+14:30:56.0,20.65,19.88,-3.0,0.9,3.1,115
980,BooI-980,[NWG2010] BooI 980,y,Bootes I,13:59:12.68,+13:42:55.8,18.51,17.60,-12.9,-47.1,48.8,106
1069,BooI-1069,[NWG2010] BooI 1069,y,Bootes I,13:58:53.22,+14:06:57.8,19.05,18.23,-17.6,-23.0,29.0,113
1137,BooI-1137,[NWG2010] BooI 1137,y,Bootes I,13:58:33.82,+14:21:08.5,18.11,17.04,-22.3,-8.8,24.0,108
1204,BooI-1204,[NWG2010] BooI 1204,y,Bootes I,13:58:35.65,+15:05:04.8,20.52,19.79,-21.8,35.1,41.3,108
1314,BooI-1314,[NWG2010] BooI 1314,y,Bootes I,13:57:27.50,+14:17:02.8,20.51,19.80,-38.4,-12.9,40.5,103
### commenting out the Bootes I non-members below
# 3,BooI-3,[NWG2010] BooI 3,n,,13:58:59.98,+14:23:40.5,18.31,17.21,-16.0,-6.3,17.2,-38
# 45,BooI-45,[NWG2010] BooI 45,n,,14:00:26.18,+14:27:29.5,19.08,18.24,4.9,-2.5,5.5,65
# 53,BooI-53,[NWG2010] BooI 53,n,,14:00:40.78,+14:17:22.0,20.06,19.30,8.4,-12.6,15.2,14
# 58,BooI-58,[NWG2010] BooI 58,n,,13:59:20.47,+14:44:56.9,19.44,18.62,-11.0,15.0,18.6,30
# 66,BooI-66,[NWG2010] BooI 66,n,,14:00:40.38,+14:45:44.9,18.17,17.15,8.3,15.8,17.8,-76
# 73,BooI-73,[NWG2010] BooI 73,n,,13:59:36.20,+14:14:52.4,19.22,18.42,-7.2,-15.1,16.8,-3
# 74,BooI-74,[NWG2010] BooI 74,n,,13:59:43.41,+14:16:01.6,18.83,18.00,-5.5,-14.0,15.0,27
# 77,BooI-77,[NWG2010] BooI 77,n,,14:00:28.55,+14:13:44.4,18.43,17.41,5.5,-16.3,17.2,-12
# 83,BooI-83,[NWG2010] BooI 83,n,,13:58:50.77,+14:35:30.4,19.94,19.31,-18.2,5.5,19.0,16
# 84,BooI-84,[NWG2010] BooI 84,n,,13:58:55.98,+14:40:35.1,18.70,17.72,-16.9,10.6,20.0,-38
# 85,BooI-85,[NWG2010] BooI 85,n,,13:59:15.34,+14:35:52.8,18.85,17.90,-12.3,5.9,13.6,-4
# 91,BooI-91,[NWG2010] BooI 91,n,,13:59:35.66,+14:37:35.0,19.97,19.14,-7.3,7.6,10.6,2
# 92,BooI-92,[NWG2010] BooI 92,n,,13:59:21.37,+14:36:06.3,17.83,16.68,-10.8,6.1,12.4,-14
