Ion,lambda,ExPot,loggf
Fe I,4445.48,0.087,-5.44
Fe I,5225.53,0.110,-4.79
Fe I,5247.06,0.087,-4.95
Fe I,5250.22,0.121,-4.94
Fe I,5326.15,3.570,-2.07
Fe I,5412.79,4.440,-1.72
Fe I,5491.84,4.190,-2.29
Fe I,5600.23,4.260,-1.42
Fe I,5855.08,4.610,-1.48
Fe I,6120.26,0.910,-5.97
Fe I,6151.62,2.176,-3.30
Fe I,6481.88,2.279,-2.98
Fe I,6498.95,0.958,-4.70
Fe I,6518.37,2.830,-2.45
Fe I,6609.12,2.559,-2.69
Fe I,6625.03,1.010,-5.34
Fe I,6739.52,1.560,-4.79
Fe I,6750.16,2.424,-2.62
Fe I,6752.71,4.640,-1.20
Fe I,7189.16,3.070,-2.77
Fe I,7723.21,2.280,-3.62
Fe II,4620.52,2.828,-3.19
Fe II,4656.98,2.891,-3.57
Fe II,5234.63,3.221,-2.22
Fe II,5264.79,3.250,-3.23
Fe II,5414.08,3.221,-3.48
Fe II,5525.13,3.267,-3.94
Fe II,6432.68,2.891,-3.51
Fe II,6516.08,2.891,-3.38
Fe II,7224.46,3.890,-3.28
Fe II,7515.84,3.903,-3.37
Fe II,7711.73,3.903,-2.45
La II,3988.52,0.400,0.21
La II,3995.75,0.170,-0.06
La II,4086.71,0.000,-0.07
La II,4123.22,0.320,0.13
La II,4333.75,0.170,-0.06
La II,4662.50,0.000,-1.24
La II,5122.99,0.320,-0.85
La II,5303.53,0.320,-1.35
La II,5797.57,0.240,-1.36
La II,6390.48,0.320,-1.41
Eu II,3819.67,0.000,0.51
Eu II,3907.11,0.207,0.17
Eu II,4129.72,0.000,0.22
Eu II,4205.04,0.000,0.21
Eu II,6437.64,1.319,-0.32
Eu II,6645.06,1.379,0.12
Eu II,7217.56,1.229,-0.35
