Name,Species,N,l_logepsX,logepsX,l_[X/Fe],[X/Fe],sigma_stat,sigma_tot,sigma_I,sigma_II
Star 2,Ni I,1,<,+4.57,<,+1.30,,,,
Star 2,Zn I,0,,,,,,,,
Star 2,Sr II,1,,+0.46,,+0.54,0.23,0.26,0.27,0.30
Star 2,Y II,5,,-0.34,,+0.41,0.19,0.24,0.29,0.23
Star 2,Zr II,2,<,+0.65,<,+1.02,,,,
Star 2,Tc I,0,,,,,,,,
Star 2,Ru I,1,<,+1.93,<,+3.13,,,,
Star 2,Ba II,1,,+0.32,,+1.09,0.21,0.24,0.25,0.28
Star 2,La II,2,,-0.49,,+1.36,0.20,0.25,0.30,0.25
Star 2,Ce II,5,,-0.11,,+1.26,0.19,0.24,0.29,0.23
Star 2,Pr II,2,,-0.66,,+1.57,0.26,0.30,0.35,0.30
Star 2,Nd II,7,,-0.07,,+1.46,0.17,0.23,0.28,0.22
Star 2,Sm II,3,,-0.17,,+1.82,0.18,0.24,0.28,0.23
Star 2,Eu II,2,,-0.75,,+1.68,0.14,0.18,0.23,0.20
Star 2,Gd II,2,<,+0.37,<,+2.25,,,,
Star 2,Tb II,1,<,-0.78,<,+1.87,,,,
Star 2,Dy II,1,,+0.09,,+1.94,0.32,0.40,0.40,0.39
Star 3,Fe I,28,,+4.08,,-3.42,0.11,0.20,0.00,0.00
Star 3,Fe II,2,,+4.24,,-3.26,0.10,0.17,0.00,0.00
Star 3,C-H,1,,+5.14,,+0.13,0.15,0.25,0.19,0.19
Star 3,Mg I,4,,+4.99,,+0.81,0.08,0.21,0.14,0.23
Star 3,Ca I,1,,+3.08,,+0.16,0.28,0.32,0.30,0.34
Star 3,Sc II,1,<,+0.79,<,+0.90,,,,
Star 3,Ti I,3,,+1.88,,+0.35,0.13,0.21,0.17,0.24
Star 3,Ti II,4,,+1.94,,+0.25,0.14,0.19,0.24,0.18
Star 3,V I,6,<,+1.21,<,+0.70,,,,
Star 3,Cr I,1,<,+2.23,<,+0.01,,,,
Star 3,Cr II,1,<,+3.35,<,+0.97,,,,
Star 3,Mn I,0,,,,,,,,
Star 3,Ni I,1,<,+3.95,<,+1.15,,,,
Star 3,Zn I,3,<,+2.14,<,+1.00,,,,
Star 3,Sr II,1,,-2.12,,-1.73,0.42,0.44,0.47,0.43
Star 3,Y II,9,<,-1.00,<,+0.05,,,,
Star 3,Zr II,2,<,+1.22,<,+1.90,,,,
Star 3,Tc I,1,<,+0.56,<,+3.98,,,,
Star 3,Ru I,1,<,+1.81,<,+3.48,,,,
Star 3,Ba II,1,<,-2.59,<,-1.51,,,,
Star 3,La II,8,<,-1.08,<,+1.08,,,,
Star 3,Ce II,6,<,-0.21,<,+1.47,,,,
Star 3,Pr II,4,<,-0.97,<,+1.57,,,,
Star 3,Nd II,16,<,-0.56,<,+1.28,,,,
Star 3,Sm II,10,<,-1.04,<,+1.26,,,,
Star 3,Eu II,1,<,-1.66,<,+1.08,,,,
Star 3,Gd II,3,<,-0.56,<,+1.63,,,,
Star 3,Tb II,1,<,-0.52,<,+2.44,,,,
Star 3,Dy II,1,<,-0.24,<,+1.92,,,,
Star 4,Fe I,51,,+4.57,,-2.93,0.06,0.18,0.00,0.00
Star 4,Fe II,6,,+4.71,,-2.79,0.07,0.15,0.00,0.00
Star 4,C-H,1,,+5.76,,+0.26,0.15,0.25,0.19,0.19
Star 4,Mg I,4,,+5.01,,+0.34,0.05,0.19,0.09,0.20
Star 4,Ca I,2,,+3.76,,+0.36,0.13,0.21,0.14,0.23
Star 4,Sc II,1,<,+0.70,<,+0.34,,,,
Star 4,Ti I,12,,+2.51,,+0.50,0.05,0.17,0.08,0.20
Star 4,Ti II,9,,+2.55,,+0.39,0.06,0.15,0.20,0.09
Star 4,V I,6,<,+1.24,<,+0.24,,,,
Star 4,Cr I,5,,+2.49,,-0.22,0.06,0.18,0.08,0.20
Star 4,Cr II,3,,+3.50,,+0.65,0.06,0.15,0.20,0.09
Star 4,Mn I,2,<,+2.38,<,-0.12,,,,
Star 4,Ni I,1,,+3.50,,+0.21,0.09,0.19,0.11,0.21
Star 4,Zn I,1,,+1.96,,+0.33,0.13,0.21,0.14,0.23
Star 4,Sr II,1,,+0.24,,+0.16,0.25,0.29,0.29,0.30
Star 4,Y II,7,,-0.29,,+0.29,0.08,0.16,0.21,0.11
Star 4,Zr II,3,,+0.36,,+0.57,0.19,0.23,0.26,0.21
Star 4,Tc I,1,<,+0.73,<,+3.66,,,,
Star 4,Ru I,1,<,+1.77,<,+2.95,,,,
Star 4,Ba II,1,,+0.06,,+0.67,0.09,0.16,0.17,0.18
Star 4,La II,5,,-0.44,,+1.26,0.14,0.20,0.24,0.16
Star 4,Ce II,5,,-0.13,,+1.08,0.09,0.17,0.21,0.11
Star 4,Pr II,3,,-0.71,,+1.36,0.16,0.21,0.25,0.17
Star 4,Nd II,18,,-0.07,,+1.30,0.09,0.16,0.21,0.11
Star 4,Sm II,14,,-0.27,,+1.56,0.09,0.17,0.21,0.11
Star 4,Eu II,2,,-0.63,,+1.64,0.06,0.13,0.14,0.14
Star 4,Gd II,1,,-0.26,,+1.46,0.18,0.23,0.27,0.20
Star 4,Tb II,0,<,-0.39,<,+2.10,,,,
Star 4,Dy II,1,,+0.19,,+1.88,0.12,0.20,0.22,0.18
