CS 22175-007  Al  2.54 0.17 0.25 -1.12 0.18 0.26  1  1
CS 22175-007  Ba -1.15 0.21 0.25 -0.47 0.18 0.26  2  1
CS 22175-007  C   5.77 0.19 0.26  0.19 0.18 0.27  1  1
CS 22175-007  Ca  3.87 0.12 0.20  0.31 0.15 0.25  9  5
CS 22175-007  Ce -9.99 0.00 0.00 -9.99 0.00 0.00 10  0
CS 22175-007  Co  2.35 0.15 0.22  0.24 0.15 0.24  6  4
CS 22175-007  Cr  2.52 0.17 0.24 -0.35 0.16 0.24  3  3
CS 22175-007  Eu -9.99 0.00 0.00 -9.99 0.00 0.00  4  0
CS 22175-007  Fe  4.69 0.13 0.18  0.00 0.14 0.22 55 35
CS 22175-007  La -9.99 0.00 0.00 -9.99 0.00 0.00  6  0
CS 22175-007  Mg  5.15 0.12 0.18  0.37 0.15 0.24  7  4
CS 22175-007  Mn  1.84 0.17 0.22 -0.74 0.16 0.23  5  3
CS 22175-007  Nd -9.99 0.00 0.00 -9.99 0.00 0.00  9  0
CS 22175-007  Ni  3.70 0.20 0.30  0.25 0.19 0.28  4  4
CS 22175-007  Sc  0.49 0.18 0.23  0.13 0.16 0.25  5  3
CS 22175-007  Sm -9.99 0.00 0.00 -9.99 0.00 0.00  8  0
CS 22175-007  Sr  0.33 0.20 0.30  0.16 0.19 0.29  3  2
CS 22175-007  Ti  2.56 0.17 0.22  0.34 0.15 0.24 17  8
CS 22175-007  V  -9.99 0.00 0.00 -9.99 0.00 0.00  3  0
CS 22175-007  Y  -9.99 0.00 0.00 -9.99 0.00 0.00  6  0
CS 22175-007  Zn -9.99 0.00 0.00 -9.99 0.00 0.00  2  0
CS 22175-007  Zr -9.99 0.00 0.00 -9.99 0.00 0.00  3  0
CS 22186-023  Al  2.78 0.15 0.24 -0.97 0.16 0.26  1  1
CS 22186-023  Ba -1.52 0.19 0.23 -0.93 0.16 0.25  2  1
CS 22186-023  C   5.97 0.19 0.25  0.30 0.18 0.27  1  1
CS 22186-023  Ca  3.77 0.12 0.20  0.13 0.15 0.25  9  7
CS 22186-023  Ce -9.99 0.00 0.00 -9.99 0.00 0.00 10  0
CS 22186-023  Co  2.33 0.16 0.22  0.13 0.15 0.24  6  5
CS 22186-023  Cr  2.68 0.16 0.25 -0.27 0.15 0.25  3  3
CS 22186-023  Eu -9.99 0.00 0.00 -9.99 0.00 0.00  4  0
CS 22186-023  Fe  4.78 0.13 0.18  0.00 0.14 0.22 55 50
CS 22186-023  La -9.99 0.00 0.00 -9.99 0.00 0.00  6  0
CS 22186-023  Mg  4.99 0.12 0.18  0.14 0.15 0.23  7  6
CS 22186-023  Mn  2.27 0.15 0.21 -0.39 0.15 0.23  5  3
CS 22186-023  Nd -9.99 0.00 0.00 -9.99 0.00 0.00  9  0
CS 22186-023  Ni  3.56 0.17 0.28  0.03 0.17 0.27  4  4
CS 22186-023  Sc  0.46 0.17 0.23  0.01 0.15 0.24  5  4
CS 22186-023  Sm -9.99 0.00 0.00 -9.99 0.00 0.00  0  0
CS 22186-023  Sr  0.10 0.19 0.30 -0.14 0.18 0.29  3  2
CS 22186-023  Ti  2.44 0.16 0.21  0.15 0.15 0.23 17 14
CS 22186-023  V  -9.99 0.00 0.00 -9.99 0.00 0.00  3  0
CS 22186-023  Y  -0.89 0.18 0.23 -0.41 0.15 0.24  6  2
CS 22186-023  Zn -9.99 0.00 0.00 -9.99 0.00 0.00  2  0
CS 22186-023  Zr -9.99 0.00 0.00 -9.99 0.00 0.00  3  0
CS 22186-025  Al  2.60 0.21 0.27 -1.00 0.21 0.29  1  1
CS 22186-025  Ba -0.59 0.24 0.31  0.16 0.21 0.30  2  1
CS 22186-025  C   4.83 0.20 0.27 -0.68 0.19 0.29  1  1
CS 22186-025  Ca  3.75 0.12 0.20  0.26 0.15 0.25  9  3
CS 22186-025  Ce -9.99 0.00 0.00 -9.99 0.00 0.00 10  0
CS 22186-025  Co  2.26 0.15 0.22  0.21 0.15 0.24  6  4
CS 22186-025  Cr  2.35 0.16 0.23 -0.44 0.15 0.23  3  3
CS 22186-025  Eu -9.99 0.00 0.00 -9.99 0.00 0.00  4  0
CS 22186-025  Fe  4.63 0.14 0.19  0.00 0.14 0.22 55 36
CS 22186-025  La -9.99 0.00 0.00 -9.99 0.00 0.00  6  0
CS 22186-025  Mg  4.99 0.12 0.18  0.28 0.15 0.24  7  3
CS 22186-025  Mn  1.85 0.16 0.21 -0.67 0.15 0.23  5  3
CS 22186-025  Nd -9.99 0.00 0.00 -9.99 0.00 0.00  9  0
CS 22186-025  Ni  3.12 0.19 0.25 -0.26 0.18 0.25  4  4
CS 22186-025  Sc  0.44 0.18 0.23  0.14 0.16 0.24  5  4
CS 22186-025  Sm -9.99 0.00 0.00 -9.99 0.00 0.00  8  0
CS 22186-025  Sr -0.20 0.25 0.35 -0.29 0.23 0.33  3  2
CS 22186-025  Ti  2.40 0.15 0.20  0.26 0.14 0.23 17  9
CS 22186-025  V  -9.99 0.00 0.00 -9.99 0.00 0.00  3  0
CS 22186-025  Y  -9.99 0.00 0.00 -9.99 0.00 0.00  6  0
CS 22186-025  Zn -9.99 0.00 0.00 -9.99 0.00 0.00  2  0
CS 22186-025  Zr -9.99 0.00 0.00 -9.99 0.00 0.00  3  0
CS 22886-042  Al  2.70 0.17 0.26 -1.10 0.18 0.27  1  1
CS 22886-042  Ba -0.67 0.24 0.31 -0.12 0.22 0.30  2  1
CS 22886-042  C   5.72 0.19 0.26  0.01 0.19 0.28  1  1
