ID,Name,Species,N,l_logepsX,logepsX,e_logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe]
F,DES J033537-540401,Sc II,4,,0.42,0.24,,-2.73,,0.00
F,DES J033537-540401,Ti I,,,,,,,,
F,DES J033537-540401,Ti II,12,,2.51,0.30,,-2.44,,0.29
F,DES J033537-540401,Cr I,2,,2.51,0.07,,-3.13,,-0.40
F,DES J033537-540401,Mn I,1,<,3.70,,<,-1.73,<,1.00
F,DES J033537-540401,Fe I,51,,4.77,0.21,,-2.73,,0.00
F,DES J033537-540401,Fe II,3,,4.76,0.17,,-2.74,,-0.01
F,DES J033537-540401,Co I,1,<,3.51,,<,-1.48,<,1.25
F,DES J033537-540401,Ni I,1,<,4.86,,<,-1.36,<,1.37
F,DES J033537-540401,Zn I,,,,,,,,
F,DES J033537-540401,Sr II,2,,0.36,0.50,,-2.50,,0.23
F,DES J033537-540401,Y II,2,,0.41,0.13,,-1.80,,0.93
F,DES J033537-540401,Ba II,5,,0.85,0.30,,-1.33,,1.40
F,DES J033537-540401,Nd II,,,,,,,,
F,DES J033537-540401,Eu II,2,,-0.51,0.36,,-1.03,,1.70
F,DES J033537-540401,Dy II,2,,0.16,0.78,,-0.94,,1.79
G,DES J033556-540316,C,1,<,6.09,,<,-2.34,<,1.20
G,DES J033556-540316,Na I,2,,3.18,0.05,,-3.06,,0.48
G,DES J033556-540316,Mg I,2,,4.60,0.33,,-3.00,,0.53
G,DES J033556-540316,Al I,1,<,2.71,,<,-3.74,<,-0.20
G,DES J033556-540316,Si I,1,<,5.49,,<,-2.02,<,1.52
G,DES J033556-540316,Ca I,3,,3.23,0.33,,-3.11,,0.42
G,DES J033556-540316,Sc II,1,,-0.29,0.70,,-3.44,,0.10
G,DES J033556-540316,Ti II,6,,2.03,0.29,,-2.92,,0.62
G,DES J033556-540316,Cr I,2,,1.58,0.27,,-4.05,,-0.52
G,DES J033556-540316,Mn I,1,<,2.69,,<,-2.74,<,0.80
G,DES J033556-540316,Fe I,33,,3.96,0.18,,-3.54,,0.00
G,DES J033556-540316,Fe II,,,,,,,,
G,DES J033556-540316,Co I,1,<,2.60,,<,-2.39,<,1.15
