Species,lambda,chi,loggf,Ref
Fe I,4045.81,1.48,0.28,1
Fe I,4063.59,1.56,0.06,2
Fe I,4071.74,1.61,-0.02,1
Fe I,4147.67,1.48,-2.10,1
Fe I,4216.18,0.00,-3.36,1
Fe I,4250.13,2.47,-0.41,2
Fe I,4260.47,2.40,0.08,2
Fe I,4415.12,1.61,-0.62,1
Fe I,4427.31,0.05,-3.04,1
Fe I,4430.61,2.22,-1.73,2
Fe I,4442.34,2.22,-1.26,1
Fe I,4447.72,2.22,-1.34,2
Fe I,4459.12,2.17,-1.28,2
Fe I,4461.65,0.09,-3.21,2
Fe I,4466.55,2.83,-0.59,2
Fe I,4489.74,0.12,-3.97,2
Fe I,4494.56,2.20,-1.14,2
Fe I,4528.61,2.18,-0.82,1
Fe I,4531.15,1.48,-2.16,1
Fe I,4592.65,1.56,-2.45,2
Fe I,4602.94,1.48,-1.95,1
Fe I,4707.27,3.24,-1.08,1
Fe I,4736.77,3.21,-0.74,1
Fe I,4871.32,2.86,-0.36,2
Fe I,4872.14,2.88,-0.57,2
Fe I,4890.76,2.88,-0.38,3
Fe I,4891.49,2.85,-0.14,2
Fe I,4903.31,2.88,-0.93,2
Fe I,4918.99,2.87,-0.34,2
Fe I,4920.50,2.83,0.06,2
Fe I,4938.81,2.88,-1.08,2
Fe I,4939.69,0.86,-3.34,1
Fe I,5051.63,0.92,-2.80,1
Fe I,5083.34,0.96,-2.96,1
Fe I,5098.70,2.17,-2.03,1
Fe I,5110.41,0.00,-3.76,1
Fe I,5127.36,0.91,-3.31,1
Fe I,5150.84,0.99,-3.07,1
Fe I,5166.28,0.00,-4.20,1
Fe I,5171.60,1.48,-1.79,1
Fe I,5191.45,3.04,-0.55,2
Fe I,5194.94,1.56,-2.09,1
Fe I,5215.18,3.26,-0.87,2
Fe I,5266.56,3.00,-0.39,2
Fe I,5324.18,3.21,-0.11,3
Fe I,5328.04,0.91,-1.47,1
Fe I,5328.53,1.56,-1.85,1
Fe I,5371.49,0.96,-1.64,1
Fe I,5397.13,0.91,-1.98,1
Fe I,5405.78,0.99,-1.85,1
Fe I,5415.20,4.39,0.64,2
Fe I,5429.70,0.96,-1.88,1
Fe I,5434.52,1.01,-2.13,1
Fe I,5455.61,1.01,-2.09,1
Fe I,5497.52,1.01,-2.85,1
Fe I,5501.47,0.96,-3.05,2
Fe I,5506.78,0.99,-2.79,1
Fe I,5615.64,3.33,0.05,2
Fe I,8387.77,2.17,-1.49,1
Fe I,8688.62,2.17,-1.20,1
Fe II,4508.29,2.85,-2.21,1
Fe II,4583.84,2.81,-2.02,1
Fe II,4923.93,2.89,-1.32,1
Fe II,5197.57,3.23,-2.10,1
CH,4310.00,,,4
CN,3880.00,,,5
Na I,5889.95,0.00,0.12,1
Na I,5895.93,0.00,-0.18,1
Mg I,4571.10,0.00,-5.62,2
Mg I,4702.99,4.33,-0.38,2
Mg I,5172.68,2.71,-0.40,1
Mg I,5183.60,2.71,-0.18,1
Al I,3944.01,0.00,-0.62,1
Al I,3961.52,0.01,-0.32,1
Si I,4102.94,1.91,-3.14,1
Si I,4817.58,4.95,-1.91,1
Si I,4818.05,4.95,-1.38,1
Si I,5258.84,5.61,-0.18,1
Si I,5660.68,5.61,-1.16,1
Si I,5665.23,4.92,-2.04,1
Si I,5701.10,4.93,-2.05,1
Si I,5708.40,4.95,-1.47,1
Ca I,4425.39,1.88,-0.39,2
