Name,Simbad_Identifier,f_Name,System,RA_hms,DEC_dms,gmag,f_gmag,rmag,imag,zmag,Ymag,Instrument,SNR5300,SNR6300,Vel,e_Vel
HorI-J025540,DES J025540.30-540807.2,a,Horologium I,02:55:40.32,-54:08:07.22,18.67,,17.94,17.67,17.51,17.50,UVES,30,40,118.6,0.6
HorI-J025543,DES J025543.79-540519.6,,Horologium I,02:55:43.81,-54:05:19.60,18.3,,17.45,17.14,16.96,16.93,UVES,35,40,114.3,0.5
HorI-J025535,DES J025535.19-540644.0,b,Horologium I,02:55:35.21,-54:06:43.94,17.73,c,16.71,16.35,16.14,16.10,MIKE,20,20,116.9,0.5


