Name,Species,N,e_tot,D_logepsX_Teff,D_logepsX_logg,D_logepsX_Vmic,D_logepsX_tot
HorI-J025540,Mg I,2,0.13,+0.14,-0.08,-0.16,0.25
HorI-J025540,Si I,4,0.25,+0.25,+0.25,+0.25,0.45
HorI-J025540,Ca I,4,0.03,+0.08,-0.03,-0.12,0.15
HorI-J025540,Sc II,1,0.25,+0.25,+0.25,-0.10,0.44
HorI-J025540,Ti I,3,0.25,-0.25,+0.13,-0.25,0.40
HorI-J025540,Cr I,8,0.20,-0.10,-0.10,-0.25,0.30
HorI-J025540,Mn I,3,0.50,+0.25,+0.25,+0.50,0.61
HorI-J025540,Fe I,12,0.20,+0.11,-0.01,-0.05,0.13
HorI-J025540,Fe II,4,0.13,+0.05,+0.07,-0.01,0.11
HorI-J025540,Ni I,2,0.25,+0.25,+0.10,-0.25,0.41
HorI-J025540,Ba II,3,0.25,-0.25,-0.25,-0.25,0.46
HorI-J025540,Eu II,2,0.25,-0.25,-0.25,-0.10,0.41
HorI-J025543,Mg I,3,0.09,+0.09,-0.06,-0.22,0.25
HorI-J025543,Si I,4,0.25,+0.25,+0.25,+0.25,0.45
HorI-J025543,Ca I,3,0.04,+0.09,-0.03,-0.08,0.13
HorI-J025543,Sc II,1,0.25,+0.25,+0.25,+0.25,0.50
HorI-J025543,Ti I,3,0.25,-0.25,-0.13,-0.25,0.40
HorI-J025543,Cr I,8,0.20,-0.10,-0.13,-0.25,0.31
HorI-J025543,Mn I,3,0.50,+0.25,+0.25,+0.50,0.68
HorI-J025543,Fe I,12,0.29,+0.13,-0.02,-0.04,0.16
HorI-J025543,Fe II,4,0.17,-0.02,+0.07,-0.01,0.11
HorI-J025543,Ni I,2,0.25,+0.25,-0.25,-0.25,0.47
HorI-J025543,Ba II,3,0.25,-0.10,-0.10,-0.25,0.32
HorI-J025543,Eu II,2,0.25,-0.25,-0.25,-0.25,0.47
HorI-J025535,C-H,1,0.25,+0.15,-0.05,-0.20,0.36
HorI-J025535,C-N,1,0.25,+0.25,+0.25,+0.25,0.50
HorI-J025535,Mg I,4,0.27,+0.14,-0.08,-0.16,0.30
HorI-J025535,Al I,2,0.07,+0.15,-0.08,+0.13,0.22
HorI-J025535,Si I,1,0.25,+0.30,+0.20,+0.20,0.48
HorI-J025535,Ca I,4,0.29,+0.08,-0.03,-0.12,0.21
HorI-J025535,Sc II,3,0.12,+0.10,+0.08,-0.05,0.15
HorI-J025535,Ti I,3,0.09,+0.10,-0.10,-0.10,0.18
HorI-J025535,V I,1,0.25,+0.10,+0.10,+0.10,0.30
HorI-J025535,Cr I,5,0.35,-0.09,-0.24,-0.23,0.38
HorI-J025535,Mn I,1,0.25,+0.05,-0.20,-0.15,0.36
HorI-J025535,Fe I,60,0.20,+0.11,-0.01,-0.05,0.12
HorI-J025535,Fe II,4,0.33,+0.05,+0.07,-0.01,0.19
HorI-J025535,Co I,3,0.29,+0.22,-0.13,-0.08,0.32
HorI-J025535,Ni I,3,0.47,+0.17,+0.12,+0.08,0.35
HorI-J025535,Cu I,3,0.25,+0.15,+0.10,-0.10,0.32
HorI-J025535,Zn I,2,0.25,+0.10,+0.10,+0.10,0.30
HorI-J025535,Ga I,1,0.25,+0.20,+0.20,+0.20,0.43
HorI-J025535,Rb I,2,0.25,+0.20,+0.10,+0.05,0.34
HorI-J025535,Sr II,2,0.25,+0.13,-0.08,-0.15,0.33
HorI-J025535,Y II,4,0.25,+0.20,+0.20,+0.05,0.38
HorI-J025535,Zr II,4,0.25,-0.20,+0.05,+0.10,0.34
#HorI-J025535,Nb II,1,0.25,+0.50,+0.40,+0.40,0.80
HorI-J025535,Mo II,1,0.25,+0.15,-0.10,+0.05,0.31
#HorI-J025535,Tc I,1,0.25,+0.10,-0.25,-0.10,0.38
#HorI-J025535,Ru I,1,0.25,+0.20,+0.05,+0.10,0.34
HorI-J025535,Ba II,3,0.52,+0.10,+0.07,-0.07,0.33
HorI-J025535,La II,5,0.25,+0.15,+0.10,+0.10,0.32
HorI-J025535,Ce II,5,0.25,+0.10,-0.10,-0.10,0.30
HorI-J025535,Pr II,4,0.25,+0.15,+0.10,+0.05,0.31
HorI-J025535,Nd II,6,0.25,+0.15,-0.10,-0.05,0.31
HorI-J025535,Sm II,5,0.25,+0.15,-0.10,-0.10,0.32
HorI-J025535,Eu II,4,0.25,-0.20,-0.20,-0.10,0.39
HorI-J025535,Gd II,3,0.25,-0.15,-0.10,-0.10,0.32
HorI-J025535,Tb II,3,0.25,-0.10,-0.20,-0.10,0.35
HorI-J025535,Dy II,3,0.25,-0.15,-0.15,-0.10,0.34
HorI-J025535,Er II,2,0.25,-0.20,-0.20,-0.20,0.43
#HorI-J025535,Th II,1,0.25,-0.20,-0.20,-0.20,0.43
