Name,RA_hms,DEC_dms
BD+10 2495,12:59:20,+09:14:36
BD+29 2356,13:01:52,+29:11:18
BD+30 2611,15:06:54,+30:00:37
CD-36 1052,02:47:38,-36:06:24
BPS CS 22876-040,00:04:52,-34:13:37
BPS CS 22948-093,21:50:32,-41:07:49
BPS CS 29513-031,23:25:11,-39:59:29
BPS CS 29513-032,23:22:19,-39:44:25
HD 119516,13:43:27,+15:34:31
HD 128279,14:36:50,-29:06:46
HD 175305,18:47:06,+74:43:31
HD 237846,09:52:39,+57:54:59
