Name,RA_hms,DEC_dms
fnx_06_019,02:37:00.91,-34:10:43.10
fnx0579x-1,02:40:47.79,-34:26:46.50
car1_t174,06:41:58.72,-51:06:40.30
car1_t194,06:41:42.87,-51:05:30.10
car1_t200,06:41:49.67,-51:01:31.30
LG04c_0008,06:40:49.14,-51:00:33.00
