6707.80 Li I  0.00 +0.17  3
6300.30 [O I] 0.00 -9.78  4
7771.94 O I   9.15 +0.37  4
7774.17 O I   9.15 +0.22  4
7775.39 O I   9.15 +0.00  4
5682.63 Na I  2.10 -0.71  4
5688.20 Na I  2.10 -0.45  4
5889.95 Na I  0.00 +0.11  4
5895.92 Na I  0.00 -0.19  4
3829.36 Mg I  2.71 -0.21  5
3832.30 Mg I  2.71 +0.27  5
3838.29 Mg I  2.72 +0.49  5
4057.51 Mg I  4.35 -0.89  5
4167.27 Mg I  4.35 -0.71  5
4702.99 Mg I  4.33 -0.38  5
5172.68 Mg I  2.71 -0.45  6
5183.60 Mg I  2.72 -0.24  6
5528.40 Mg I  4.34 -0.50  5
5711.09 Mg I  4.34 -1.72  5
3944.00 Al I  0.00 -0.64  4
3961.52 Al I  0.01 -0.34  4
3905.52 Si I  1.91 -1.04  4
4102.94 Si I  1.91 -3.34  4
5665.55 Si I  4.92 -2.04  4
5701.10 Si I  4.93 -2.05  4
5708.40 Si I  4.95 -1.47  4
5772.15 Si I  5.08 -1.75  4
7664.90 K I   0.00 +0.13  4
7698.96 K I   0.00 -0.18  4
4226.73 Ca I  0.00 +0.24  4
4283.01 Ca I  1.89 -0.22  4
4318.65 Ca I  1.90 -0.21  4
4425.44 Ca I  1.88 -0.36  4
4434.96 Ca I  1.89 -0.01  4
4435.69 Ca I  1.89 -0.52  4
4454.78 Ca I  1.90 +0.26  4
4455.89 Ca I  1.90 -0.53  4
5588.76 Ca I  2.52 +0.21  4
5857.45 Ca I  2.93 +0.23  4
6102.72 Ca I  1.88 -0.85  7
6122.21 Ca I  1.89 -0.38  7
6162.17 Ca I  1.90 -0.17  7
6439.07 Ca I  2.52 +0.47  4
3572.53 Sc II 0.02 +0.27  8
3576.34 Sc II 0.01 +0.01  8
3590.47 Sc II 0.02 -0.55  8
3630.74 Sc II 0.01 +0.22  8
3645.31 Sc II 0.02 -0.42  8
4246.82 Sc II 0.32 +0.24  8
4400.39 Sc II 0.60 -0.54  8
4415.54 Sc II 0.59 -0.67  8
4670.41 Sc II 1.36 -0.58  8
5526.79 Sc II 1.77 +0.02  8
5657.91 Sc II 1.51 -0.60  8
3989.76 Ti I  0.02 -0.13  9
3998.64 Ti I  0.05 +0.02  9
4512.73 Ti I  0.84 -0.40  9
4518.02 Ti I  0.83 -0.25  9
4533.24 Ti I  0.85 +0.54  9
4534.78 Ti I  0.84 +0.35  9
4548.76 Ti I  0.83 -0.28  9
4555.48 Ti I  0.85 -0.40  9
4656.47 Ti I  0.00 -1.28  4
4681.91 Ti I  0.05 -1.01  4
4840.87 Ti I  0.90 -0.43  9
4981.73 Ti I  0.84 +0.57  9
4991.07 Ti I  0.84 +0.45  9
4999.50 Ti I  0.83 +0.32  9
5016.16 Ti I  0.85 -0.48  9
5064.65 Ti I  0.05 -0.94  9
5173.74 Ti I  0.00 -1.06  9
5192.97 Ti I  0.02 -0.95  9
5210.38 Ti I  0.05 -0.82  9
3321.70 Ti II 1.23 -0.34 10
3322.93 Ti II 0.15 -0.13 10
3329.45 Ti II 0.14 -0.26 10
3332.11 Ti II 1.24 -0.10 10
3335.19 Ti II 0.12 -0.38 10
3340.34 Ti II 0.11 -0.53 10
3343.76 Ti II 0.15 -1.18 10
3372.79 Ti II 0.01 +0.28 10
3380.28 Ti II 0.05 -0.54 10
3383.76 Ti II 0.00 +0.15 10
3387.83 Ti II 0.03 -0.41 10
3394.57 Ti II 0.01 -0.54 10
3456.38 Ti II 2.06 -0.11 10
3477.18 Ti II 0.12 -0.95 10
3489.74 Ti II 0.14 -2.00 10
3491.05 Ti II 0.11 -1.10 10
3759.29 Ti II 0.61 +0.28 10
3761.32 Ti II 0.57 +0.18 10
3913.46 Ti II 1.12 -0.36 10
4028.34 Ti II 1.89 -0.92 10
4337.91 Ti II 1.08 -0.96 11
4394.06 Ti II 1.22 -1.77 10
4395.03 Ti II 1.08 -0.54 10
4395.84 Ti II 1.24 -1.93 10
4398.29 Ti II 1.21 -2.65 11
4399.77 Ti II 1.24 -1.20 10
4409.52 Ti II 1.23 -2.53 10
4417.71 Ti II 1.17 -1.19 11
4418.33 Ti II 1.24 -1.99 10
4443.80 Ti II 1.08 -0.71 10
4444.55 Ti II 1.12 -2.20 10
4450.48 Ti II 1.08 -1.52 10
4464.45 Ti II 1.16 -1.81 11
4470.85 Ti II 1.17 -2.02 11
4493.52 Ti II 1.08 -2.78 10
4501.27 Ti II 1.12 -0.77 10
4533.96 Ti II 1.24 -0.53 11
4571.97 Ti II 1.57 -0.31 10
4583.41 Ti II 1.16 -2.84 10
4636.32 Ti II 1.16 -3.02 11
4657.20 Ti II 1.24 -2.29 10
4708.66 Ti II 1.24 -2.35 10
4798.53 Ti II 1.08 -2.66 10
5129.16 Ti II 1.89 -1.34 10
5185.90 Ti II 1.89 -1.41 10
5188.69 Ti II 1.58 -1.05 11
5226.54 Ti II 1.57 -1.26 11
5336.79 Ti II 1.58 -1.60 10
5381.02 Ti II 1.57 -1.97 10
5418.77 Ti II 1.58 -2.13 10
4379.23 V I   0.30 +0.55 12
3951.96 V II  1.48 -0.78 13
4005.71 V II  1.82 -0.52 13
3578.68 Cr I  0.00 +0.42 14
4274.80 Cr I  0.00 -0.22 14
4289.72 Cr I  0.00 -0.37 14
4545.95 Cr I  0.94 -1.37 14
4646.15 Cr I  1.03 -0.74 14
4651.28 Cr I  0.98 -1.46 14
4789.34 Cr I  2.54 -0.33 14
5206.04 Cr I  0.94 +0.02 14
5296.69 Cr I  0.98 -1.36 14
5298.28 Cr I  0.98 -1.14 14
5300.74 Cr I  0.98 -2.00 14
5345.80 Cr I  1.00 -0.95 14
5348.31 Cr I  1.00 -1.21 14
5409.77 Cr I  1.03 -0.67 14
3408.74 Cr II 2.48 -0.42 15
4558.59 Cr II 4.07 -0.66 15
4588.14 Cr II 4.07 -0.83 15
4591.99 Cr II 4.07 -1.42 15
4030.75 Mn I  0.00 -0.50 16
4033.06 Mn I  0.00 -0.65 16
4034.48 Mn I  0.00 -0.84 16
4041.35 Mn I  2.11 +0.28 16
4754.04 Mn I  2.28 -0.08 16
4762.37 Mn I  2.89 +0.30 16
4823.52 Mn I  2.32 +0.14 16
6021.82 Mn I  3.08 -0.05 16
3441.99 Mn II 1.78 -0.35 16
3460.32 Mn II 1.81 -0.63 16
3482.90 Mn II 1.83 -0.84 16
3488.68 Mn II 1.85 -0.94 16
3497.53 Mn II 1.85 -1.42 16
3440.61 Fe I  0.00 -0.67 17
3440.99 Fe I  0.05 -0.96 17
3476.70 Fe I  0.12 -1.51 17
3490.57 Fe I  0.05 -1.10 17
3497.84 Fe I  0.11 -1.55 17
3565.38 Fe I  0.96 -0.13 17
3608.86 Fe I  1.01 -0.10 17
3618.77 Fe I  0.99 -0.00 17
3647.84 Fe I  0.92 -0.19 17
3689.46 Fe I  2.94 -0.17 17
3719.93 Fe I  0.00 -0.43 17
3727.62 Fe I  0.96 -0.63 17
3758.23 Fe I  0.96 -0.03 17
3763.79 Fe I  0.99 -0.24 17
3765.54 Fe I  3.24 +0.48 17
3786.68 Fe I  1.01 -2.22 17
3787.88 Fe I  1.01 -0.86 17
3805.34 Fe I  3.30 +0.31 17
3815.84 Fe I  1.48 +0.23 17
3820.43 Fe I  0.86 +0.12 17
3825.88 Fe I  0.91 -0.04 17
3827.82 Fe I  1.56 +0.06 17
3840.44 Fe I  0.99 -0.51 17
3841.05 Fe I  1.61 -0.04 17
3849.97 Fe I  1.01 -0.87 17
3856.37 Fe I  0.05 -1.29 17
3865.52 Fe I  1.01 -0.98 17
3878.02 Fe I  0.96 -0.91 17
3895.66 Fe I  0.11 -1.67 17
3899.71 Fe I  0.09 -1.53 17
3902.95 Fe I  1.56 -0.47 17
3920.26 Fe I  0.12 -1.75 17
3922.91 Fe I  0.05 -1.65 17
3949.95 Fe I  2.18 -1.25 17
4005.24 Fe I  1.56 -0.61 17
4045.81 Fe I  1.49 +0.28 17
4063.59 Fe I  1.56 +0.06 17
4071.74 Fe I  1.61 -0.02 17
4114.44 Fe I  2.83 -1.30 17
4132.06 Fe I  1.61 -0.68 17
4134.68 Fe I  2.83 -0.65 17
4143.87 Fe I  1.56 -0.51 17
4147.67 Fe I  1.48 -2.10 17
4154.50 Fe I  2.83 -0.69 17
4156.80 Fe I  2.83 -0.81 17
4157.78 Fe I  3.42 -0.40 17
4174.91 Fe I  0.91 -2.97 17
4175.64 Fe I  2.85 -0.83 17
4181.76 Fe I  2.83 -0.37 17
4182.38 Fe I  3.02 -1.18 17
4184.89 Fe I  2.83 -0.87 17
4187.04 Fe I  2.45 -0.55 17
4187.80 Fe I  2.42 -0.55 17
4191.43 Fe I  2.47 -0.67 17
4195.33 Fe I  3.33 -0.49 17
4199.10 Fe I  3.05 +0.16 17
4202.03 Fe I  1.49 -0.71 17
4216.18 Fe I  0.00 -3.36 17
4217.55 Fe I  3.43 -0.48 17
4222.21 Fe I  2.45 -0.97 17
4227.43 Fe I  3.33 +0.27 17
4233.60 Fe I  2.48 -0.60 17
4238.81 Fe I  3.40 -0.23 17
4250.12 Fe I  2.47 -0.41 17
4250.79 Fe I  1.56 -0.71 17
4260.47 Fe I  2.40 +0.08 17
4271.15 Fe I  2.45 -0.35 17
4271.76 Fe I  1.49 -0.16 17
4282.40 Fe I  2.18 -0.78 17
4325.76 Fe I  1.61 +0.01 17
4375.93 Fe I  0.00 -3.03 17
4388.41 Fe I  3.60 -0.68 17
4404.75 Fe I  1.56 -0.14 17
4415.12 Fe I  1.61 -0.62 17
4427.31 Fe I  0.05 -3.04 17
4442.34 Fe I  2.20 -1.25 17
4443.19 Fe I  2.86 -1.04 17
4447.72 Fe I  2.22 -1.34 17
4461.65 Fe I  0.09 -3.21 17
