Name,Teff,logg,Vmic,Fe/H
BooI-009,4750,1.4,2.5,-2.7
BooI-094,4500,0.8,3.4,-3.2
BooI-117,4750,1.5,1.9,-2.2
BooI-121,4500,0.8,2.1,-2.5
BooI-127,4750,1.6,1.6,-1.9
BooI-911,4500,0.9,1.7,-2.2
HD216143,4529,1.3,1.9,-2.1
HD85773,4366,1.0,2.1,-2.4
