Name,Species,N,l_logepsX,logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe],e_logepsX,method
HorI-J025540,Mg I,2,,5.15,,-2.45,,-0.02,0.25,EW
HorI-J025540,Si I,4,<,6.58,<,-0.93,<,+1.95,0.45,syn
HorI-J025540,Ca I,4,,3.84,,-2.50,,-0.07,0.15,EW
HorI-J025540,Sc II,1,<,0.65,<,-2.50,<,+0.37,0.44,syn
HorI-J025540,Ti I,3,,3.04,,-1.91,,+0.52,0.40,syn
HorI-J025540,Cr I,8,,3.22,,-2.42,,+0.01,0.30,syn
HorI-J025540,Mn I,3,,2.94,,-2.49,,-0.06,0.61,syn
HorI-J025540,Fe I,12,,5.07,,-2.43,,+0.00,0.13,EW
HorI-J025540,Fe II,4,,4.93,,-2.57,,-0.14,0.11,EW
HorI-J025540,Ni I,2,,3.80,,-2.42,,+0.01,0.41,syn
HorI-J025540,Ba II,3,<,-1.32,<,-3.50,<,-0.61,0.46,syn
HorI-J025540,Eu II,2,<,0.09,<,-0.43,<,+2.41,0.41,syn
HorI-J025543,Mg I,3,,4.77,,-2.83,,-0.23,0.25,EW
HorI-J025543,Si I,4,<,6.91,<,-0.60,<,+2.45,0.45,syn
HorI-J025543,Ca I,3,,3.74,,-2.60,,+0.00,0.13,EW
HorI-J025543,Sc II,1,,0.70,,-2.45,,+0.15,0.50,syn
HorI-J025543,Ti I,3,,2.64,,-2.31,,+0.29,0.40,syn
HorI-J025543,Cr I,8,,2.87,,-2.77,,-0.17,0.31,syn
HorI-J025543,Mn I,3,,2.79,,-2.64,,-0.04,0.68,syn
HorI-J025543,Fe I,12,,4.90,,-2.60,,+0.00,0.16,EW
HorI-J025543,Fe II,4,,4.78,,-2.72,,-0.12,0.11,EW
HorI-J025543,Ni I,2,,3.65,,-2.57,,+0.03,0.47,syn
HorI-J025543,Ba II,3,,-1.47,,-3.65,,-1.05,0.32,syn
HorI-J025543,Eu II,2,<,-0.08,<,-0.60,<,+2.47,0.47,syn
HorI-J025535,C-H,1,<,5.10,<,-3.33,<,-0.14,0.36,syn
HorI-J025535,C-N,1,<,5.75,<,-2.08,<,+1.25,0.50,syn
HorI-J025535,Mg I,4,,4.74,,-2.86,,-0.03,0.30,EW
HorI-J025535,Al I,2,,2.72,,-3.73,,-0.90,0.22,syn
HorI-J025535,Si I,1,,4.85,,-2.66,,+0.17,0.48,syn
HorI-J025535,Ca I,4,,3.49,,-2.85,,-0.02,0.21,EW
HorI-J025535,Sc II,3,,0.23,,-2.92,,-0.09,0.15,syn
HorI-J025535,Ti I,3,,2.39,,-2.56,,+0.27,0.18,syn
HorI-J025535,V I,1,,1.80,,-2.13,,+0.70,0.30,syn
HorI-J025535,Cr I,5,,2.62,,-3.02,,-0.19,0.38,syn
HorI-J025535,Mn I,1,,2.54,,-2.89,,-0.06,0.36,syn
HorI-J025535,Fe I,60,,4.67,,-2.83,,+0.00,0.12,EW
HorI-J025535,Fe II,4,,4.56,,-2.94,,-0.11,0.19,EW
HorI-J025535,Co I,3,,2.45,,-2.54,,+0.29,0.32,syn
HorI-J025535,Ni I,3,,3.28,,-2.94,,-0.11,0.35,syn
HorI-J025535,Cu I,3,<,1.16,<,-3.03,<,+0.12,0.32,syn
HorI-J025535,Zn I,2,<,2.30,<,-2.26,<,+0.87,0.30,syn
HorI-J025535,Ga I,1,<,0.78,<,-2.26,<,+1.00,0.43,syn
HorI-J025535,Rb I,2,<,2.30,<,-0.22,<,+2.95,0.34,syn
HorI-J025535,Sr II,2,,-0.90,,-3.77,,-0.94,0.33,syn
HorI-J025535,Y II,4,<,-0.06,<,-2.27,<,+0.94,0.38,syn
HorI-J025535,Zr II,4,<,0.80,<,-1.78,<,+1.39,0.34,syn
HorI-J025535,Mo II,1,<,0.62,<,-1.26,<,+1.88,0.31,syn
HorI-J025535,Ba II,3,,-1.75,,-3.93,,-1.10,0.33,syn
HorI-J025535,La II,5,<,-0.18,<,-1.28,<,+1.87,0.32,syn
HorI-J025535,Ce II,5,<,-0.45,<,-2.03,<,+1.10,0.30,syn
HorI-J025535,Pr II,4,<,-0.94,<,-1.66,<,+1.48,0.31,syn
HorI-J025535,Nd II,6,<,-0.50,<,-1.92,<,+1.22,0.31,syn
HorI-J025535,Sm II,5,<,-0.50,<,-1.46,<,+1.69,0.32,syn
HorI-J025535,Eu II,4,<,-1.79,<,-2.31,<,+0.91,0.39,syn
HorI-J025535,Gd II,3,<,-0.03,<,-1.10,<,+2.05,0.32,syn
HorI-J025535,Tb II,3,<,-0.47,<,-0.77,<,+2.41,0.35,syn
HorI-J025535,Dy II,3,<,-0.70,<,-1.80,<,+1.37,0.34,syn
HorI-J025535,Er II,2,<,-0.37,<,-1.29,<,+1.97,0.43,syn
