Table 12 
Mean Abundances in CS 22949-037


Species	N_lines	log epsilon	[X/Fe]^a	sigma_statistical	sigma_total	sigma_neutrals	sigma_ions	
Fe I	58	3.12	-4.38	0.07	0.15	0.00	0.00	
Fe II	2	3.30	-4.20	0.07	0.16	0.00	0.00	
Li I	1	<0.13	 ... 	 ... 	 ... 	 ... 	 ... 	
C (CH)	1	5.21	0.99	0.15	0.25	0.19	0.19	
N (NH)	1	6.12	2.50	0.30	0.36	0.32	0.32	
O I	2	<6.70	<2.39	 ... 	 ... 	 ... 	 ... 	
Na I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Mg I	7	4.78	1.56	0.05	0.15	0.09	0.18	
Al I	1	2.33	0.26	0.09	0.29	0.24	0.30	
Si I	1	4.65	1.52	0.15	0.28	0.22	0.26	
K I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ca I	9	2.63	0.67	0.13	0.18	0.15	0.21	
Sc II	5	-1.20	-0.14	0.08	0.16	0.19	0.12	
Ti I	3	0.85	0.28	0.11	0.17	0.13	0.20	
Ti II	14	0.94	0.19	0.06	0.15	0.18	0.10	
V I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
V II	2	<0.19	<0.46	 ... 	 ... 	 ... 	 ... 	
Cr I	4	0.87	-0.39	0.06	0.15	0.10	0.18	
Cr II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Mn I	3	0.41	-0.64	0.06	0.14	0.10	0.18	
Mn II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Co I	3	0.81	0.19	0.12	0.18	0.14	0.21	
Ni I	6	1.94	0.10	0.14	0.23	0.18	0.25	
Cu I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Zn I	2	<1.40	<1.22	 ... 	 ... 	 ... 	 ... 	
Ga I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Rb I	1	<1.65	<3.51	 ... 	 ... 	 ... 	 ... 	
Sr II	2	-1.02	0.31	0.04	0.25	0.25	0.26	
Y II	2	-2.25	-0.25	0.12	0.19	0.21	0.14	
Zr II	2	-1.15	0.48	0.12	0.19	0.21	0.14	
Nb II	1	<-0.10	<2.64	 ... 	 ... 	 ... 	 ... 	
Mo I	1	<-0.52	<1.98	 ... 	 ... 	 ... 	 ... 	
Tc I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ru I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Sn I	1	<0.90	<3.21	 ... 	 ... 	 ... 	 ... 	
Ba II	2	-2.80	-0.78	0.09	0.16	0.19	0.11	
La II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ce II	5	<-1.88	<0.74	 ... 	 ... 	 ... 	 ... 	
Pr II	4	<-2.24	<1.24	 ... 	 ... 	 ... 	 ... 	
Nd II	5	<-2.13	<0.65	 ... 	 ... 	 ... 	 ... 	
Sm II	2	<-1.98	<1.26	 ... 	 ... 	 ... 	 ... 	
Eu II	4	<-3.17	<0.51	 ... 	 ... 	 ... 	 ... 	
Gd II	1	<-1.34	<1.79	 ... 	 ... 	 ... 	 ... 	
Tb II	3	<-2.42	<1.48	 ... 	 ... 	 ... 	 ... 	
Dy II	3	<-2.25	<0.85	 ... 	 ... 	 ... 	 ... 	
Ho II	2	<-2.36	<1.36	 ... 	 ... 	 ... 	 ... 	
Er II	3	<-2.09	<1.19	 ... 	 ... 	 ... 	 ... 	
Tm II	2	<-2.62	<1.48	 ... 	 ... 	 ... 	 ... 	
Yb II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Hf II	2	<-1.21	<2.14	 ... 	 ... 	 ... 	 ... 	
Ir I	1	<-0.67	<2.33	 ... 	 ... 	 ... 	 ... 	
Pb I	1	<0.32	<2.66	 ... 	 ... 	 ... 	 ... 	
Th II	2	<-2.19	<1.95	 ... 	 ... 	 ... 	 ... 	
Note.
a [Fe/H] is indicated for Fe I and Fe II.
