Table 8 
Mean Abundances in CS 22891-200


Species	N_lines	log epsilon	[X/Fe]^a	sigma_statistical	sigma_total	sigma_neutrals	sigma_ions	
Fe I	87	3.44	-4.06	0.06	0.15	0.00	0.00	
Fe II	9	3.62	-3.88	0.08	0.16	0.00	0.00	
Li I	1	<0.13	 ... 	 ... 	 ... 	 ... 	 ... 	
C (CH)	1	4.90	0.35	0.15	0.25	0.19	0.20	
N (NH)	1	5.15	1.20	0.30	0.36	0.32	0.33	
O I	4	<6.30	<1.67	 ... 	 ... 	 ... 	 ... 	
Na I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Mg I	9	4.36	0.82	0.06	0.16	0.09	0.18	
Al I	1	2.02	-0.37	0.09	0.28	0.23	0.30	
Si I	1	4.50	1.05	0.16	0.20	0.17	0.24	
K I	1	1.29	0.32	0.19	0.23	0.20	0.26	
Ca I	12	3.05	0.77	0.11	0.17	0.13	0.21	
Sc II	5	-1.18	-0.45	0.07	0.15	0.18	0.11	
Ti I	9	1.14	0.25	0.07	0.15	0.09	0.19	
Ti II	24	1.21	0.14	0.07	0.15	0.18	0.11	
V I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
V II	1	0.05	-0.00	0.23	0.27	0.29	0.24	
Cr I	4	1.15	-0.43	0.04	0.15	0.08	0.19	
Cr II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Mn I	3	0.35	-1.02	0.05	0.14	0.08	0.18	
Mn II	1	0.50	-1.05	0.32	0.35	0.36	0.33	
Co I	6	0.75	-0.18	0.13	0.19	0.15	0.22	
Ni I	4	2.02	-0.14	0.12	0.20	0.14	0.23	
Cu I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Zn I	2	<1.37	<0.87	 ... 	 ... 	 ... 	 ... 	
Ga I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Rb I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Sr II	2	-2.37	-1.36	0.04	0.15	0.17	0.11	
Y II	2	-2.85	-1.18	0.19	0.24	0.25	0.21	
Zr II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Nb II	1	<-0.22	<2.20	 ... 	 ... 	 ... 	 ... 	
Mo I	1	<-0.86	<1.32	 ... 	 ... 	 ... 	 ... 	
Tc I	1	<-0.68	 ... 	 ... 	 ... 	 ... 	 ... 	
Ru I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Sn I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ba II	2	-2.63	-0.93	0.06	0.15	0.18	0.10	
La II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ce II	5	<-2.07	<0.23	 ... 	 ... 	 ... 	 ... 	
Pr II	4	<-2.64	<0.52	 ... 	 ... 	 ... 	 ... 	
Nd II	5	<-2.30	<0.16	 ... 	 ... 	 ... 	 ... 	
Sm II	2	<-1.97	<0.95	 ... 	 ... 	 ... 	 ... 	
Eu II	2	-3.43	-0.07	0.17	0.22	0.24	0.19	
Gd II	2	<-1.65	<1.16	 ... 	 ... 	 ... 	 ... 	
Tb II	3	<-2.34	<1.24	 ... 	 ... 	 ... 	 ... 	
Dy II	3	<-2.44	<0.34	 ... 	 ... 	 ... 	 ... 	
Ho II	1	<-2.65	<0.75	 ... 	 ... 	 ... 	 ... 	
Er II	2	<-2.30	<0.66	 ... 	 ... 	 ... 	 ... 	
Tm II	2	<-2.61	<1.17	 ... 	 ... 	 ... 	 ... 	
Yb II	1	<-3.18	<-0.22	 ... 	 ... 	 ... 	 ... 	
Hf II	2	<-1.41	<1.62	 ... 	 ... 	 ... 	 ... 	
Ir I	1	<-0.85	<1.83	 ... 	 ... 	 ... 	 ... 	
Pb I	1	<0.15	<2.17	 ... 	 ... 	 ... 	 ... 	
Th II	3	<-2.46	<1.36	 ... 	 ... 	 ... 	 ... 	
Note.
a [Fe/H] is indicated for Fe I and Fe II.
