Table 10 
Mean Abundances in CS 22943-201


Species	N_lines	log epsilon	[X/Fe]^a	sigma_statistical	sigma_total	sigma_neutrals	sigma_ions	
Fe I	72	4.82	-2.68	0.06	0.17	0.00	0.00	
Fe II	8	4.81	-2.69	0.06	0.15	0.00	0.00	
Li I	1	<2.04	 ... 	 ... 	 ... 	 ... 	 ... 	
C (CH)	1	7.63	1.89	0.15	0.25	0.19	0.19	
N (NH)	1	<6.70	<1.56	 ... 	 ... 	 ... 	 ... 	
O I	3	6.25	0.24	0.08	0.18	0.10	0.20	
Na I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Mg I	7	5.54	0.63	0.05	0.17	0.08	0.20	
Al I	1	3.10	-0.67	0.09	0.18	0.11	0.21	
Si I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
K I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ca I	11	4.19	0.53	0.11	0.19	0.12	0.21	
Sc II	4	0.15	-0.31	0.10	0.17	0.21	0.12	
Ti I	3	2.70	0.43	0.07	0.17	0.10	0.20	
Ti II	12	2.38	0.11	0.05	0.15	0.19	0.08	
V I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
V II	2	<1.59	<0.35	 ... 	 ... 	 ... 	 ... 	
Cr I	4	2.81	-0.15	0.08	0.18	0.10	0.20	
Cr II	1	2.90	-0.05	0.11	0.18	0.22	0.13	
Mn I	3	2.49	-0.25	0.06	0.17	0.08	0.19	
Mn II	5	2.39	-0.35	0.16	0.21	0.25	0.17	
Co I	3	2.38	0.07	0.13	0.20	0.14	0.22	
Ni I	6	3.51	-0.03	0.14	0.21	0.15	0.23	
Cu I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Zn I	2	<2.61	<0.73	 ... 	 ... 	 ... 	 ... 	
Ga I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Rb I	1	<2.94	<3.10	 ... 	 ... 	 ... 	 ... 	
Sr II	2	0.21	0.03	0.04	0.17	0.19	0.11	
Y II	1	-0.75	-0.27	0.16	0.21	0.25	0.17	
Zr II	1	0.29	0.40	0.07	0.16	0.20	0.10	
Nb II	1	<1.24	<2.47	 ... 	 ... 	 ... 	 ... 	
Mo I	1	<1.44	<2.24	 ... 	 ... 	 ... 	 ... 	
Tc I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ru I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Sn I	1	<2.82	<3.43	 ... 	 ... 	 ... 	 ... 	
Ba II	1	-1.04	-0.53	0.05	0.15	0.19	0.08	
La II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ce II	5	<-0.04	<1.07	 ... 	 ... 	 ... 	 ... 	
Pr II	2	<-0.65	<1.32	 ... 	 ... 	 ... 	 ... 	
Nd II	5	<-0.38	<0.89	 ... 	 ... 	 ... 	 ... 	
Sm II	2	<-0.37	<1.36	 ... 	 ... 	 ... 	 ... 	
Eu II	3	<-1.43	<0.74	 ... 	 ... 	 ... 	 ... 	
Gd II	2	<0.04	<1.66	 ... 	 ... 	 ... 	 ... 	
Tb II	1	<0.20	<2.59	 ... 	 ... 	 ... 	 ... 	
Dy II	2	<-0.48	<1.11	 ... 	 ... 	 ... 	 ... 	
Ho II	1	<-0.72	<1.49	 ... 	 ... 	 ... 	 ... 	
Er II	2	<-0.48	<1.29	 ... 	 ... 	 ... 	 ... 	
Tm II	2	<-0.98	<1.61	 ... 	 ... 	 ... 	 ... 	
Yb II	1	<-1.24	<0.53	 ... 	 ... 	 ... 	 ... 	
Hf II	2	<0.33	<2.17	 ... 	 ... 	 ... 	 ... 	
Ir I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Pb I	1	<1.86	<2.50	 ... 	 ... 	 ... 	 ... 	
Th II	2	<-0.55	<2.08	 ... 	 ... 	 ... 	 ... 	
Note.
a [Fe/H] is indicated for Fe I and Fe II.
