Table 17 
Mean Abundances in CS 29502-092


Species	N_lines	log epsilon	[X/Fe]^a	sigma_statistical	sigma_total	sigma_neutrals	sigma_ions	
Fe I	90	4.20	-3.30	0.06	0.15	0.00	0.00	
Fe II	9	4.30	-3.20	0.07	0.15	0.00	0.00	
Li I	1	<0.45	 ... 	 ... 	 ... 	 ... 	 ... 	
C (CH)	1	6.19	0.96	0.15	0.25	0.19	0.29	
N (NH)	1	5.63	1.00	0.30	0.36	0.32	0.32	
O I	3	6.52	1.13	0.16	0.20	0.17	0.23	
Na I	1	2.92	-0.02	0.10	0.27	0.22	0.29	
Mg I	8	4.80	0.51	0.05	0.16	0.09	0.18	
Al I	1	2.55	-0.60	0.09	0.29	0.24	0.30	
Si I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
K I	1	1.99	0.26	0.15	0.20	0.16	0.22	
Ca I	10	3.41	0.37	0.11	0.17	0.13	0.20	
Sc II	3	-0.14	-0.10	0.06	0.15	0.17	0.09	
Ti I	12	1.82	0.17	0.07	0.15	0.09	0.18	
Ti II	20	1.87	0.12	0.06	0.15	0.17	0.10	
V I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
V II	2	0.72	-0.02	0.22	0.26	0.28	0.23	
Cr I	8	2.19	-0.15	0.07	0.15	0.09	0.18	
Cr II	2	2.65	0.21	0.10	0.17	0.19	0.12	
Mn I	2	2.11	-0.02	0.06	0.14	0.08	0.18	
Mn II	2	1.73	-0.50	0.15	0.21	0.23	0.17	
Co I	5	1.73	0.04	0.15	0.21	0.17	0.24	
Ni I	7	3.21	0.29	0.13	0.20	0.15	0.23	
Cu I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Zn I	2	1.70	0.44	0.09	0.16	0.11	0.19	
Ga I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Rb I	1	<1.70	<2.48	 ... 	 ... 	 ... 	 ... 	
Sr II	2	-0.76	-0.44	0.04	0.24	0.24	0.24	
Y II	2	-1.77	-0.79	0.12	0.19	0.21	0.14	
Zr II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Nb II	1	<0.52	<2.26	 ... 	 ... 	 ... 	 ... 	
Mo I	1	<0.07	<1.49	 ... 	 ... 	 ... 	 ... 	
Tc I	1	<0.42	 ... 	 ... 	 ... 	 ... 	 ... 	
Ru I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Sn I	1	<1.26	<2.49	 ... 	 ... 	 ... 	 ... 	
Ba II	2	-2.48	-1.46	0.09	0.17	0.19	0.12	
La II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ce II	5	<-1.44	<0.18	 ... 	 ... 	 ... 	 ... 	
Pr II	1	<-1.75	<0.73	 ... 	 ... 	 ... 	 ... 	
Nd II	5	<-1.61	<0.17	 ... 	 ... 	 ... 	 ... 	
Sm II	2	<-1.53	<0.71	 ... 	 ... 	 ... 	 ... 	
Eu II	1	<-2.67	<0.01	 ... 	 ... 	 ... 	 ... 	
Gd II	2	<-1.04	<1.09	 ... 	 ... 	 ... 	 ... 	
Tb II	3	<-1.60	<1.30	 ... 	 ... 	 ... 	 ... 	
Dy II	2	<-1.60	<0.50	 ... 	 ... 	 ... 	 ... 	
Ho II	1	<-1.83	<0.89	 ... 	 ... 	 ... 	 ... 	
Er II	2	<-1.70	<0.58	 ... 	 ... 	 ... 	 ... 	
Tm II	2	<-1.82	<1.28	 ... 	 ... 	 ... 	 ... 	
Yb II	1	<-2.54	<-0.26	 ... 	 ... 	 ... 	 ... 	
Hf II	2	<-0.78	<1.57	 ... 	 ... 	 ... 	 ... 	
Ir I	1	<-0.14	<1.78	 ... 	 ... 	 ... 	 ... 	
Pb I	1	<0.60	<1.86	 ... 	 ... 	 ... 	 ... 	
Th II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Note.
a [Fe/H] is indicated for Fe I and Fe II.
