Table 16 
Mean Abundances in CS 29498-043


Species	N_lines	log epsilon	[X/Fe]^a	sigma_statistical	sigma_total	sigma_neutrals	sigma_ions	
Fe I	74	3.63	-3.87	0.06	0.15	0.00	0.00	
Fe II	6	3.65	-3.85	0.08	0.16	0.00	0.00	
Li I	1	<-0.05	 ... 	 ... 	 ... 	 ... 	 ... 	
C (CH)	1	7.31	2.72	0.15	0.25	0.19	0.20	
N (NH)	1	5.70	1.71	0.30	0.36	0.32	0.33	
O I	3	7.19	2.37	0.08	0.15	0.10	0.19	
Na I	4	3.40	1.03	0.17	0.23	0.19	0.25	
Mg I	5	5.51	1.78	0.05	0.18	0.11	0.18	
Al I	1	3.33	0.75	0.08	0.25	0.19	0.23	
Si I	1	4.72	1.08	0.25	0.28	0.26	0.31	
K I	2	1.61	0.46	0.14	0.19	0.16	0.23	
Ca I	9	3.00	0.54	0.11	0.17	0.13	0.21	
Sc II	3	-0.77	-0.07	0.10	0.17	0.19	0.13	
Ti I	9	1.18	0.10	0.07	0.15	0.09	0.19	
Ti II	13	1.38	0.27	0.06	0.15	0.17	0.11	
V I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
V II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Cr I	4	1.48	-0.29	0.08	0.15	0.10	0.19	
Cr II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Mn I	1	1.11	-0.45	0.11	0.17	0.13	0.21	
Mn II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Co I	2	0.86	-0.26	0.11	0.18	0.13	0.21	
Ni I	3	2.30	-0.04	0.13	0.19	0.15	0.22	
Cu I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Zn I	2	1.24	0.56	0.11	0.17	0.13	0.21	
Ga I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Rb I	1	<1.31	<2.66	 ... 	 ... 	 ... 	 ... 	
Sr II	1	-0.90	0.08	0.04	0.24	0.24	0.26	
Y II	2	-1.90	-0.26	0.13	0.19	0.21	0.15	
Zr II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Nb II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Mo I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Tc I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ru I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Sn I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ba II	2	-2.18	-0.51	0.05	0.15	0.17	0.11	
La II	1	<-3.02	<-0.27	 ... 	 ... 	 ... 	 ... 	
Ce II	1	<-2.13	<0.14	 ... 	 ... 	 ... 	 ... 	
Pr II	1	<-2.21	<0.92	 ... 	 ... 	 ... 	 ... 	
Nd II	2	<-1.75	<0.68	 ... 	 ... 	 ... 	 ... 	
Sm II	1	<-2.03	<0.86	 ... 	 ... 	 ... 	 ... 	
Eu II	1	<-3.12	<0.21	 ... 	 ... 	 ... 	 ... 	
Gd II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Tb II	2	<-2.07	<1.48	 ... 	 ... 	 ... 	 ... 	
Dy II	1	<-1.75	<1.00	 ... 	 ... 	 ... 	 ... 	
Ho II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Er II	1	<-1.88	<1.05	 ... 	 ... 	 ... 	 ... 	
Tm II	1	<-1.75	<2.00	 ... 	 ... 	 ... 	 ... 	
Yb II	1	<-3.40	<-0.47	 ... 	 ... 	 ... 	 ... 	
Hf II	1	<-1.56	<1.44	 ... 	 ... 	 ... 	 ... 	
Ir I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Pb I	1	<0.67	<2.50	 ... 	 ... 	 ... 	 ... 	
Th II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Note.
a [Fe/H] is indicated for Fe I and Fe II.
