Table 9 
Mean Abundances in CS 22893-010


Species	N_lines	log epsilon	[X/Fe]^a	sigma_statistical	sigma_total	sigma_neutrals	sigma_ions	
Fe I	112	4.38	-3.12	0.06	0.15	0.00	0.00	
Fe II	9	4.57	-2.93	0.07	0.16	0.00	0.00	
Li I	1	2.57	 ... 	0.05	0.23	0.17	0.25	
C (CH)	1	5.62	0.13	0.15	0.25	0.19	0.19	
N (NH)	1	6.44	1.55	0.30	0.36	0.32	0.32	
O I	1	6.58	1.01	0.12	0.18	0.13	0.21	
Na I	2	4.70	1.58	0.11	0.17	0.12	0.20	
Mg I	7	5.04	0.56	0.05	0.15	0.08	0.18	
Al I	1	2.94	-0.39	0.09	0.29	0.23	0.30	
Si I	1	5.24	0.85	0.16	0.29	0.22	0.26	
K I	2	2.34	0.43	0.13	0.19	0.15	0.22	
Ca I	14	3.70	0.48	0.11	0.17	0.12	0.20	
Sc II	3	0.27	0.05	0.05	0.14	0.17	0.09	
Ti I	7	2.15	0.32	0.07	0.15	0.09	0.18	
Ti II	21	2.23	0.21	0.06	0.15	0.17	0.10	
V I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
V II	2	1.05	0.05	0.23	0.27	0.28	0.24	
Cr I	5	2.33	-0.19	0.06	0.14	0.08	0.18	
Cr II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Mn I	4	1.92	-0.39	0.09	0.16	0.11	0.20	
Mn II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Co I	5	2.03	0.16	0.13	0.19	0.14	0.22	
Ni I	2	3.13	0.03	0.11	0.18	0.13	0.21	
Cu I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Zn I	3	<2.03	<0.59	 ... 	 ... 	 ... 	 ... 	
Ga I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Rb I	1	<2.15	<2.75	 ... 	 ... 	 ... 	 ... 	
Sr II	2	-0.29	-0.23	0.04	0.22	0.22	0.21	
Y II	2	-1.45	-0.73	0.15	0.20	0.22	0.16	
Zr II	1	-0.68	-0.33	0.15	0.20	0.22	0.16	
Nb II	1	<1.02	<2.49	 ... 	 ... 	 ... 	 ... 	
Mo I	1	<0.43	<1.67	 ... 	 ... 	 ... 	 ... 	
Tc I	1	<0.67	 ... 	 ... 	 ... 	 ... 	 ... 	
Ru I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Sn I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ba II	1	-2.03	-1.28	0.05	0.15	0.18	0.09	
La II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ce II	5	<-0.77	<0.58	 ... 	 ... 	 ... 	 ... 	
Pr II	2	<-1.20	<1.01	 ... 	 ... 	 ... 	 ... 	
Nd II	5	<-1.00	<0.51	 ... 	 ... 	 ... 	 ... 	
Sm II	2	<-0.96	<1.01	 ... 	 ... 	 ... 	 ... 	
Eu II	4	<-2.02	<0.39	 ... 	 ... 	 ... 	 ... 	
Gd II	3	<-0.51	<1.35	 ... 	 ... 	 ... 	 ... 	
Tb II	2	<-0.92	<1.71	 ... 	 ... 	 ... 	 ... 	
Dy II	1	<-1.04	<0.79	 ... 	 ... 	 ... 	 ... 	
Ho II	1	<-1.09	<1.36	 ... 	 ... 	 ... 	 ... 	
Er II	3	<-1.01	<1.00	 ... 	 ... 	 ... 	 ... 	
Tm II	2	<-1.22	<1.61	 ... 	 ... 	 ... 	 ... 	
Yb II	1	<-1.86	<0.15	 ... 	 ... 	 ... 	 ... 	
Hf II	2	<-0.20	<1.88	 ... 	 ... 	 ... 	 ... 	
Ir I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Pb I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Th II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Note.
a [Fe/H] is indicated for Fe I and Fe II.
