Name,Species,N,l_logepsX,logepsX,stddev_logepsX,stderr_logepsX,l_[X/H],[X/H],e_[X/H],l_[X/Fe],[X/Fe],e_[X/Fe]
GruI-032,C-H,2,,5.39,0.14,0.17,,-3.04,0.40,,-0.49,0.29
GruI-032,Na I,2,,3.51,0.11,0.26,,-2.73,0.50,,-0.18,0.32
GruI-032,Mg I,5,,5.45,0.12,0.13,,-2.15,0.35,,0.40,0.17
GruI-032,Al I,1,,2.97,,1.18,,-3.48,1.27,,-0.93,1.21
GruI-032,Si I,1,,5.38,,0.66,,-2.13,0.75,,0.42,0.70
GruI-032,K I,2,,3.09,0.03,0.13,,-1.94,0.31,,0.61,0.20
GruI-032,Ca I,13,,3.98,0.19,0.05,,-2.36,0.20,,0.20,0.13
GruI-032,Sc II,5,,0.62,0.31,0.21,,-2.53,0.32,,-0.01,0.33
GruI-032,Ti I,11,,2.53,0.22,0.07,,-2.42,0.38,,0.13,0.15
GruI-032,Ti II,26,,2.65,0.19,0.05,,-2.30,0.19,,0.21,0.16
GruI-032,Cr I,9,,2.91,0.17,0.07,,-2.73,0.33,,-0.18,0.12
GruI-032,Mn I,7,,2.48,0.30,0.12,,-2.95,0.38,,-0.40,0.19
GruI-032,Fe I,112,,4.95,0.19,0.02,,-2.55,0.30,,0.00,
GruI-032,Fe II,10,,4.98,0.25,0.09,,-2.52,0.23,,0.00,
GruI-032,Co I,3,,2.76,0.11,0.40,,-2.23,0.61,,0.32,0.45
GruI-032,Ni I,7,,3.91,0.18,0.06,,-2.31,0.29,,0.24,0.11
GruI-032,Zn I,1,,1.95,,0.18,,-2.61,0.28,,-0.06,0.40
GruI-032,Sr II,2,,-1.65,0.28,0.35,,-4.52,0.45,,-2.00,0.45
GruI-032,Ba II,4,,-1.92,0.33,0.07,,-4.10,0.25,,-1.58,0.30
GruI-032,Eu II,1,<,-1.68,,,<,-2.20,,<,+0.32,
GruI-038,C-H,2,,5.60,0.03,0.19,,-2.83,0.45,,-0.34,0.34
GruI-038,Na I,2,,3.48,0.06,0.26,,-2.76,0.48,,-0.27,0.32
GruI-038,Mg I,5,,5.34,0.19,0.12,,-2.26,0.34,,0.23,0.19
GruI-038,Al I,1,,3.08,,1.42,,-3.37,1.49,,-0.88,1.44
GruI-038,Si I,1,,5.56,,0.58,,-1.95,0.69,,0.54,0.63
GruI-038,K I,2,,3.24,0.06,0.14,,-1.79,0.34,,0.71,0.23
GruI-038,Ca I,11,,4.03,0.26,0.06,,-2.31,0.21,,0.19,0.16
GruI-038,Sc II,10,,0.90,0.16,0.10,,-2.25,0.25,,0.21,0.26
GruI-038,Ti I,8,,2.47,0.20,0.09,,-2.48,0.33,,0.02,0.14
GruI-038,Ti II,37,,2.78,0.23,0.05,,-2.17,0.22,,0.29,0.17
GruI-038,Cr I,8,,2.85,0.16,0.09,,-2.79,0.35,,-0.30,0.13
GruI-038,Mn I,7,,2.49,0.26,0.10,,-2.94,0.37,,-0.45,0.17
GruI-038,Fe I,107,,5.01,0.24,0.02,,-2.49,0.31,,0.00,
GruI-038,Fe II,7,,5.04,0.26,0.11,,-2.46,0.25,,0.00,
GruI-038,Co I,1,,2.86,,0.74,,-2.13,0.90,,0.36,0.79
GruI-038,Ni I,5,,3.98,0.10,0.07,,-2.24,0.28,,0.25,0.15
GruI-038,Sr II,2,,-1.65,0.14,0.35,,-4.52,0.44,,-2.06,0.44
GruI-038,Ba II,4,,-1.23,0.14,0.10,,-3.41,0.25,,-0.94,0.25
GruI-038,Eu II,1,<,-1.20,,,<,-1.72,,<,+0.74,
TriII-40,Na I,2,,2.50,0.01,0.16,,-3.74,0.33,,-0.79,0.22
TriII-40,Mg I,3,,5.00,0.10,0.13,,-2.60,0.32,,0.35,0.20
TriII-40,K I,1,,2.89,,0.30,,-2.14,0.36,,0.81,0.31
TriII-40,Ca I,8,,3.82,0.24,0.05,,-2.52,0.20,,0.43,0.15
TriII-40,Sc II,1,<,0.98,,,<,-2.17,,<,+0.65,
TriII-40,Ti I,3,,2.31,0.08,0.13,,-2.64,0.32,,0.31,0.19
TriII-40,Ti II,2,,2.30,0.44,0.18,,-2.65,0.40,,0.17,0.40
TriII-40,Cr I,3,,2.49,0.27,0.13,,-3.15,0.35,,-0.20,0.21
TriII-40,Mn I,1,<,2.97,,,<,-2.46,,<,+0.36,
TriII-40,Fe I,60,,4.55,0.21,0.02,,-2.95,0.28,,0.00,
TriII-40,Fe II,5,,4.68,0.33,0.09,,-2.82,0.23,,0.00,
TriII-40,Ni I,3,,3.84,0.19,0.09,,-2.38,0.30,,0.57,0.16
TriII-40,Ba II,1,<,-1.89,,,<,-4.07,,<,-1.25,
TriII-40,Eu II,1,<,-0.89,,,<,-1.41,,<,+1.41,
TriII-46,Na I,1,<,5.27,,,<,-0.97,,<,1.04,
TriII-46,Mg I,2,,5.12,0.02,0.42,,-2.48,0.61,,-0.47,0.53
TriII-46,K I,1,<,3.79,,,<,-1.24,,<,0.77,
TriII-46,Ca I,3,,4.18,0.30,0.15,,-2.16,0.33,,-0.15,0.28
TriII-46,Sc II,1,<,2.65,,,<,-0.50,,<,1.51,
