Name,Simbad_Identifier,Loc,System,RA_hms,DEC_dms
BD-01 0306,BD-01   306,,,02:14:40.296,-01:12:05.04
BD-01 2582,BD-01  2582,,,11:53:37.320,-02:00:36.72
BD-18 5550,BD-18  5550,,,19:58:49.728,-18:12:11.16
BD+01 2916,BD+01  2916,,,14:21:45.264,+00:46:59.16
BD+04 2621,BD+04  2621,,,12:28:44.640,+04:01:26.76
BD+06 0648,BD+06   648,,,04:13:13.104,+06:36:01.80
BD+08 2856,BD+08  2856,,,14:23:58.176,+08:01:33.24
BD+10 2495,BD+10  2495,SS,Helmi,12:59:19.920,+09:14:35.52
BD+17 3248,BD+17  3248,,,17:28:14.472,+17:30:36.00
BD+19 1185,HD 250792,,,06:03:14.856,+19:21:38.52
BD+29 2356,BD+29  2356,SS,Helmi,13:01:52.440,+29:11:17.88
BD+30 2611,BD+30  2611,SS,Helmi,15:06:53.832,+30:00:37.08
BD+52 1601,HD 233891,,,11:59:59.064,+51:46:17.76
BS 16477-003,BPS BS 16477-0003,,,14:32:56.928,+06:46:06.96
BS 17569-049,BPS BS 17569-0049,,,22:04:58.368,+04:01:32.16
CD-36 1052,CD-36  1052,SS,Helmi,02:47:37.440,-36:06:27.00
CD-38 0245,CD-38   245,,,00:46:36.192,-37:39:33.48
CS 22169-035,HE 0409-1212,,,04:12:13.872,-12:05:04.92
CS 22172-002,2MASS J03142084-1035112,,,03:14:20.856,-10:35:11.40
CS 22186-025,BPS CS 22186-0025,,,04:24:32.808,-37:09:02.52
CS 22189-009,HE 0239-1340,,,02:41:42.384,-13:28:10.56
CS 22873-055,UCAC2   5726991,,,19:53:49.776,-59:40:00.12
CS 22873-166,BPS CS 22873-0166,,,20:19:22.032,-61:30:15.12
CS 22878-101,BPS CS 22878-0101,,,16:45:31.440,+08:14:45.60
CS 22891-209,BPS CS 22891-0209,,,19:42:02.184,-61:03:44.64
CS 22892-052,BPS CS 22892-0052,,,22:17:01.656,-16:39:27.00
CS 22896-154,UCAC2   7177623,,,19:42:26.904,-56:58:33.96
CS 22897-008,BPS CS 22897-0008,,,21:03:11.856,-65:05:08.88
CS 22948-066,HE 2141-3741,,,21:44:51.168,-37:27:55.08
CS 22952-015,HE 2334-0604,,,23:37:28.680,-05:47:56.76
CS 22953-003,BPS CS 22953-0003,,,01:02:15.864,-61:43:45.84
CS 22956-050,BPS CS 22956-0050,,,21:58:05.832,-65:13:27.12
CS 22966-057,2MASS J23485776-2939228,,,23:48:57.744,-29:39:22.68
CS 22968-014,HE 0305-5442,,,03:06:29.496,-54:30:32.40
CS 29491-053,BPS CS 29491-0053,,,22:36:56.304,-28:31:06.60
CS 29491-069,BPS CS 29491-0069,,,22:31:02.184,-32:38:36.60
CS 29495-041,BPS CS 29495-0041,,,21:36:33.288,-28:18:48.60
CS 29497-004,BPS CS 29497-0004,,,00:28:06.912,-26:03:04.32
CS 29516-024,2MASS J22261535+0251462,,,22:26:15.360,+02:51:46.44
CS 29518-051,BPS CS 29518-0051,,,01:24:10.008,-28:15:21.24
CS 30306-132,BPS CS 30306-0132,DS,Atari,15:14:18.912,+07:27:02.52
CS 31078-018,BPS CS 31079-0028,DS,Atari,03:01:00.696,+06:16:31.80
CS 31082-001,BD-16   251,,,01:29:31.128,-16:00:45.36
G005-001,BD+22   396,,,02:48:37.416,+22:35:54.24
G009-036,G  47-12,,,08:57:59.256,+24:28:22.44
G017-025,HD 149414,,,16:34:42.360,-04:13:44.76
G023-014,BD+05  4314,,,19:51:49.608,+05:36:46.08
G028-043,BD-00  4470,,,23:09:32.952,+00:42:39.60
G029-025,G  29-25,,,23:22:18.168,+12:09:33.48
G040-008,BD+25  1858,,,08:08:54.456,+24:37:26.40
G058-025,HD  94028,,,10:51:28.128,+20:16:39.00
G059-001,BD+22  2442,,,12:08:54.672,+21:47:19.32
G063-046,BD+13  2698,,,13:39:59.568,+12:35:21.84
G068-003,BD+20  5292,,,23:13:17.160,+20:56:34.08
G074-005,BD+29   366,,,02:10:24.528,+29:48:23.76
G090-025,HD  64090,,,07:53:33.120,+30:36:18.36
G095-057A,HD  23439A,,,03:47:02.112,+41:25:38.28
G095-057B,HD  23439B,,,03:47:02.640,+41:25:42.24
G102-020,HD 246132,,,05:40:09.744,+12:10:41.16
G102-027,HD 247297,,,05:45:40.392,+14:41:20.04
G113-022,BD+00  2245,,,08:16:57.768,+00:01:03.72
G122-051,HD 103095,,,11:52:58.776,+37:43:07.32
G123-009,HD 105861,,,12:10:55.368,+44:00:11.88
G126-036,BD+19  4788,,,21:48:19.296,+19:58:30.72
G126-062,BD+17  4708,,,22:11:31.368,+18:05:34.08
G140-046,BD+05  3640,,,18:12:21.888,+05:24:04.32
G153-021,BD-06  4346,,,16:03:00.168,-06:27:11.16
G176-053,BD+51  1696,,,11:46:35.160,+50:52:54.84
G179-022,BD+33  2560,,,15:14:26.184,+33:00:38.16
G180-024,BD+42  2667,,,16:03:13.296,+42:14:46.68
G188-022,BD+26  4251,,,21:43:57.120,+27:23:24.00
G191-055,BD+58   876,,,05:57:28.584,+58:40:48.72
G192-043,G 192-43,,,06:47:44.928,+58:38:34.44
G221-007,HD  20039,,,03:18:38.496,+72:16:30.36
HD 2665,HD   2665,,,00:30:45.456,+57:03:53.64
HD 2796,HD   2796,DS,Atari,00:31:16.920,-16:47:40.92
HD 8724,HD   8724,,,01:26:17.592,+17:07:35.04
HD 3008,V* CM Cet,,,00:33:14.304,-10:43:42.60
HD 6268,HD   6268,,,01:03:18.168,-27:52:49.80
HD 6755,HD   6755,,,01:09:43.056,+61:32:50.28
HD 6833,HD   6833,,,01:09:52.272,+54:44:20.40
HD 13979,HD  13979,,,02:15:20.856,-25:54:54.72
HD 21581,HD  21581,,,03:28:54.480,-00:25:03.00
HD 23798,HD  23798,DS,Atari,03:46:45.720,-30:51:13.32
HD 25329,HD  25329,,,04:03:15.000,+35:16:23.88
HD 25532,HD  25532,,,04:04:11.016,+23:24:27.00
HD 26297,HD  26297,,,04:09:03.408,-15:53:26.88
HD 29574,V* HP Eri,,,04:38:55.728,-13:20:48.12
HD 37828,HD  37828,,,05:40:54.648,-11:12:00.36
HD 44007,HD  44007,,,06:18:48.528,-14:50:43.44
HD 63791,HD  63791,,,07:54:28.728,+62:08:10.68
HD 74462,HD  74462,,,08:48:20.640,+67:27:00.00
HD 82590,HD  82590,,,09:32:30.288,-17:26:08.52
HD 85773,HD  85773,,,09:53:39.240,-22:50:08.52
HD 88609,HD  88609,,,10:14:28.992,+53:33:39.24
HD 101063,HD 101063,,,11:37:40.392,-28:51:04.68
HD 103036,V* TY Vir,,,11:51:50.112,-05:45:44.28
HD 103545,HD 103545,,,11:55:27.168,+09:07:45.12
HD 105546,HD 105546,,,12:09:02.712,+59:01:05.16
HD 105755,HD 105755,,,12:10:15.864,+54:29:17.16
HD 106516,HD 106516,,,12:15:10.560,-10:18:44.64
HD 107752,HD 107752,,,12:22:52.728,+11:36:25.56
HD 108317,HD 108317,,,12:26:36.840,+05:18:09.00
HD 108577,HD 108577,,,12:28:16.872,+12:20:40.92
HD 110184,HD 110184,,,12:40:14.088,+08:31:37.92
HD 115444,HD 115444,,,13:16:42.456,+36:22:52.68
HD 119516,HD 119516,DS,Atari,13:43:26.736,+15:34:31.08
HD 121135,HD 121135,,,13:53:33.552,+02:41:41.28
HD 122563,HD 122563,,,14:02:31.848,+09:41:09.96
HD 122956,HD 122956,,,14:05:13.032,-14:51:25.56
HD 124358,HD 124358,,,14:13:21.312,-12:09:24.12
HD 126587,HD 126587,,,14:27:00.360,-22:14:39.12
HD 128279,HD 128279,SS,Helmi,14:36:48.504,-29:06:46.44
HD 132475,HD 132475,,,14:59:49.776,-22:00:45.72
HD 135148,HD 135148,,,15:13:17.448,+12:27:25.56
HD 141531,HD 141531,,,15:49:16.488,+09:36:42.48
HD 166161,HD 166161,,,18:09:40.680,-08:46:45.48
HD 171496,HD 171496,,,18:36:07.488,-24:26:11.40
HD 175305,HD 175305,,,18:47:06.432,+74:43:31.44
HD 184266,HD 184266,,,19:34:15.384,-16:19:00.12
HD 186478,HD 186478,,,19:45:14.136,-17:29:27.24
HD 187111,HD 187111,,,19:48:39.576,-12:07:19.56
HD 188510,HD 188510,,,19:55:09.672,+10:44:27.24
HD 193901,HD 193901,,,20:23:35.856,-21:22:14.16
HD 194598,HD 194598,,,20:26:11.928,+09:27:00.36
HD 201891,HD 201891,,,21:11:59.040,+17:43:39.72
HD 204543,HD 204543,,,21:29:28.224,-03:30:55.44
HD 206739,HD 206739,,,21:44:23.952,-11:46:22.80
HD 210295,HD 210295,,,22:09:41.448,-13:36:19.44
HD 214362,HD 214362,,,22:37:58.680,-22:38:40.20
HD 214925,HD 214925,,,22:41:59.424,-20:47:03.84
HD 216143,HD 216143,,,22:50:31.080,-06:54:49.68
HD 218857,HD 218857,,,23:11:24.600,-16:15:03.96
HD 220838,HD 220838,,,23:27:16.488,-26:58:58.08
HD 221170,HD 221170,,,23:29:28.800,+30:25:57.72
HD 233666,HD 233666,,,09:42:19.464,+53:28:26.04
HD 235766,HD 235766,,,22:14:47.160,+50:47:15.36
HD 237846,HD 237846,SS,Helmi,09:52:38.688,+57:54:58.68
HE 0430-4901,HE 0430-4901,,,04:31:31.128,-48:54:41.40
HE 0432-0923,HE 0432-0923,,,04:34:25.680,-09:16:50.52
HE 1127-1143,HE 1127-1143,,,11:29:50.616,-12:00:12.60
HE 1219-0312,HE 1219-0312,,,12:21:34.152,-03:28:39.72
HE 1523-0901,HE 1523-0901,,,15:26:01.080,-09:11:38.76
HE 2224+0143,HE 2224+0143,,,22:27:23.112,+01:58:33.24
HE 2327-5642,HE 2327-5642,,,23:30:37.080,-56:26:14.28
M5 IV-81,NGC  5904   865,GC,M5,15:18:44.952,+02:02:03.48
M5 IV-82,NGC  5904   860,GC,M5,15:18:44.496,+02:02:05.28
M13 L598,NGC  6205   598,GC,M13,16:41:41.952,+36:26:51.72
M13 L629,2MASS J16414255+3626563,GC,M13,16:41:42.552,+36:26:56.04
M13 L70,NGC  6205    70,GC,M13,16:41:23.520,+36:30:17.28
M13 L973,NGC  6205   973,GC,M13,16:41:50.904,+36:28:54.48
M15 K341,NGC  7078   341,GC,M15,21:29:54.936,+12:13:22.44
M15 K462,NGC  7078   462,GC,M15,21:29:56.664,+12:09:46.44
M15 K583,NGC  7078   583,GC,M15,21:29:58.560,+12:09:21.24
M92 VII-18,NGC  6341  7018,GC,M92,17:16:37.488,+43:06:15.48
NGC 6752 B702,Cl* NGC 6752   BUON     702,GC,NGC 6752,19:11:30.480,-59:54:34.92
