Name,Ion,Species,l_logepsX,logepsX
CS 22873-166,Eu II,63.1,,-2.75
CS 22873-166,Pb I,82.0,,
CS 22878-101,Fe I,26.0,,-10.75
CS 22878-101,Zn I,30.0,,1.75
CS 22878-101,Y II,39.1,,-1.32
CS 22878-101,La II,57.1,,-2.57
CS 22878-101,Eu II,63.1,,-2.79
CS 22878-101,Pb I,82.0,,
CS 22891-209,Fe I,26.0,,-10.79
CS 22891-209,Zn I,30.0,,1.76
CS 22891-209,Y II,39.1,,-1.18
CS 22891-209,La II,57.1,,-2.47
CS 22891-209,Eu II,63.1,,-2.86
CS 22891-209,Pb I,82.0,,
CS 22892-052,Fe I,26.0,,-10.6
CS 22892-052,Zn I,30.0,,1.59
CS 22892-052,Y II,39.1,,-0.42
CS 22892-052,La II,57.1,,-0.87
CS 22892-052,Eu II,63.1,,-0.96
CS 22892-052,Pb I,82.0,<,-0.15
CS 22896-154,Fe I,26.0,,-10.19
CS 22896-154,Zn I,30.0,,2.17
CS 22896-154,Y II,39.1,,-0.33
CS 22896-154,La II,57.1,,-1.17
CS 22896-154,Eu II,63.1,,-1.31
CS 22896-154,Pb I,82.0,,
CS 22897-008,Fe I,26.0,,-10.91
CS 22897-008,Zn I,30.0,,1.86
CS 22897-008,Y II,39.1,,-1.08
CS 22897-008,La II,57.1,,
CS 22897-008,Eu II,63.1,,
CS 22897-008,Pb I,82.0,,
CS 22948-066,Fe I,26.0,,-10.64
CS 22948-066,Zn I,30.0,,1.83
CS 22948-066,Y II,39.1,,-1.98
CS 22948-066,La II,57.1,,
CS 22948-066,Eu II,63.1,,
CS 22948-066,Pb I,82.0,,
CS 22952-015,Fe I,26.0,,-10.93
CS 22952-015,Zn I,30.0,,1.42
CS 22952-015,Y II,39.1,,-2.12
CS 22952-015,La II,57.1,,
CS 22952-015,Eu II,63.1,,
CS 22952-015,Pb I,82.0,,
CS 22953-003,Fe I,26.0,,-10.34
CS 22953-003,Zn I,30.0,,1.91
CS 22953-003,Y II,39.1,,-0.49
CS 22953-003,La II,57.1,,-1.08
CS 22953-003,Eu II,63.1,,-1.27
CS 22953-003,Pb I,82.0,,
CS 22956-050,Fe I,26.0,,-10.83
CS 22956-050,Zn I,30.0,,1.57
CS 22956-050,Y II,39.1,,-1.61
CS 22956-050,La II,57.1,,
CS 22956-050,Eu II,63.1,,
CS 22956-050,Pb I,82.0,,
CS 22966-057,Fe I,26.0,,-10.12
CS 22966-057,Zn I,30.0,,2.24
CS 22966-057,Y II,39.1,,-0.67
CS 22966-057,La II,57.1,,-1.27
CS 22966-057,Eu II,63.1,,-1.69
CS 22966-057,Pb I,82.0,,
CS 22968-014,Fe I,26.0,,-11.06
CS 22968-014,Zn I,30.0,,1.46
CS 22968-014,Y II,39.1,,
CS 22968-014,La II,57.1,,-2.57
CS 22968-014,Eu II,63.1,,
CS 22968-014,Pb I,82.0,,
CS 29491-053,Fe I,26.0,,-10.54
CS 29491-053,Zn I,30.0,,1.83
CS 29491-053,Y II,39.1,,-1.14
CS 29491-053,La II,57.1,,
CS 29491-053,Eu II,63.1,,-2.94
CS 29491-053,Pb I,82.0,,
CS 29491-069,Fe I,26.0,,-10.1
CS 29491-069,Zn I,30.0,,2.3
CS 29491-069,Y II,39.1,,-0.17
CS 29491-069,La II,57.1,,-0.75
CS 29491-069,Eu II,63.1,,-0.96
CS 29491-069,Pb I,82.0,<,0.35
CS 29495-041,Fe I,26.0,,-10.32
CS 29495-041,Zn I,30.0,,1.93
