Name,I/O,Simbad_Identifier,Loc,System,Slit,Reference,Ref,Instrument,Ncap_key,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,logg,Teff,ulc,epsc,e_c,ll[Fe/H],[Fe/H],e_[Fe/H],ul[C/Fe],[C/Fe],e_[C/Fe],[C/Fe]c,ul[C/Fe]f,[C/Fe]f,e_[C/Fe]f,[Ba/H]
10_7_790,1,[CSF2018] 10-7-790,DW,Sculptor,0.7,Chiti+2018a,CHI18a,MagE,,,01:00:12.64,-33:53:09.36,15.052654166666667,-33.885933333333334,1.23,4574,,5.35,0.34,,-3.03,0.17,,-0.05,0.30,0.63,,0.58,0.30,
10_7_923,0,[CSF2018] 10-7-923,DW,Sculptor,1.0,Chiti+2018a,CHI18a,MagE,,RGB,01:00:01.12,-33:59:21.38,15.004679166666667,-33.989272222222226,1.39,4666,4.76,,,,-3.87,0.20,0.20,,,0.49,0.69,,,
10_8_1226,1,[CSF2018] 10-8-1226,DW,Sculptor,1.0,Chiti+2018a,CHI18a,MagE,,,01:00:42.96,-33:47:06.35,15.1789875,-33.78509722222222,1.47,4685,,5.56,0.33,,-3.05,0.21,,0.18,0.25,0.44,,0.62,0.25,
10_8_1566,0,[CSF2018] 10-8-1566,DW,Sculptor,1.0,Chiti+2018a,CHI18a,MagE,,RGB,01:00:33.94,-33:40:08.24,15.141420833333333,-33.668955555555556,1.53,4659,,5.72,0.40,,-2.11,0.34,,-0.60,0.20,0.47,,-0.13,0.20,
10_8_2714,1,[CSF2018] 10-8-2714,DW,Sculptor,1.0,Chiti+2018a,CHI18a,MagE,,,01:00:14.74,-33:51:18.29,15.061408333333333,-33.85508055555556,3.02,5328,6.47,,,,-2.96,0.38,1.00,,,0.01,1.01,,,
10_8_3804,0,[CSF2018] 10-8-3804,DW,Sculptor,1.0,Chiti+2018a,CHI18a,MagE,,CEMP-s,00:59:58.91,-33:50:53.61,14.995445833333333,-33.848225,1.62,4752,,8.12,0.22,-2.78,,,,,,,,,,
10_8_3810,1,[CSF2018] 10-8-3810,DW,Sculptor,1.0,Chiti+2018a,CHI18a,MagE,,,00:59:58.64,-33:43:29.30,14.99435,-33.724805555555555,2.69,5199,6.03,,,,-3.10,0.33,0.70,,,0.01,0.71,,,
10_8_3963,0,[CSF2018] 10-8-3963,DW,Sculptor,0.7,Chiti+2018a,CHI18a,MagE,,CEMP-s,00:59:56.17,-33:43:04.89,14.984029166666666,-33.718025000000004,1.08,4513,,7.98,0.15,-3.00,,,,,,,,,,0.80
11_1_3334,0,[CSF2018] 11-1-3334,DW,Sculptor,1.0,Chiti+2018a,CHI18a,MagE,,CEMP-s,00:59:49.62,-33:40:41.78,14.9567375,-33.67827222222222,1.62,4721,,7.76,0.15,,,,,,,,,,,
11_1_4121,0,[CSF2018] 11-1-4121,DW,Sculptor,0.7,Chiti+2018a,CHI18a,MagE,,CEMP-s,00:59:41.05,-33:45:25.28,14.9210375,-33.757022222222226,1.24,4579,,7.40,0.10,-3.03,,,,,,,,,,-0.53
11_1_4296,0,[CSF2018] 11-1-4296,DW,Sculptor,1.0,Chiti+2018a,CHI18a,MagE,,RGB,00:59:38.75,-33:46:14.58,14.911454166666667,-33.770716666666665,1.52,4720,5.44,,,,-3.99,0.22,1.00,,,0.36,1.36,,,
11_1_4422,0,[CSF2018] 11-1-4422,DW,Sculptor,1.0,Chiti+2018a,CHI18a,MagE,,RGB,00:59:36.61,-33:40:38.51,14.90255,-33.677363888888884,1.75,4810,,6.68,0.34,,-2.85,0.23,,1.10,0.25,0.16,,1.26,0.25,
11_1_4673,0,[CSF2018] 11-1-4673,DW,Sculptor,1.0,Chiti+2018a,CHI18a,MagE,,RGB,00:59:33.64,-33:49:10.10,14.890145833333333,-33.819472222222224,1.21,4570,,5.19,0.27,,-2.94,0.18,,-0.30,0.20,0.65,,0.35,0.20,
11_1_6015,1,[CSF2018] 11-1-6015,DW,Sculptor,1.0,Chiti+2018a,CHI18a,MagE,,,00:59:10.25,-33:45:53.36,14.792725,-33.76482222222222,1.87,4824,,5.41,0.36,,-2.42,0.30,,-0.60,0.20,0.12,,-0.48,0.20,
11_1_6440,0,[CSF2018] 11-1-6440,DW,Sculptor,0.7,Chiti+2018a,CHI18a,MagE,,CEMP-s,00:59:00.13,-33:38:50.96,14.750533333333333,-33.64748888888889,1.29,4605,,7.70,0.15,-2.78,,,,,,,,,,-0.18
11_2_556,0,[CSF2018] 11-2-556,DW,Sculptor,1.0,Chiti+2018a,CHI18a,MagE,,,00:59:37.91,-33:55:26.68,14.90795,-33.924077777777775,2.04,4939,,7.36,0.20,-3.27,,,,,,,,,,
11_2_661,0,[CSF2018] 11-2-661,DW,Sculptor,1.0,Chiti+2018a,CHI18a,MagE,,RGB,00:59:25.63,-33:58:21.42,14.856795833333333,-33.97261666666667,1.16,4550,,5.55,0.23,,-2.93,0.17,,0.05,0.15,0.67,,0.72,0.15,
6_5_1035,0,[CSF2018] 6-5-1035,DW,Sculptor,0.7,Chiti+2018a,CHI18a,MagE,,RGB,01:00:19.33,-33:37:11.74,15.080554166666667,-33.619927777777775,1.27,4589,,5.57,0.28,,-2.86,0.20,,0.00,0.20,0.61,,0.61,0.20,
6_5_1598,0,[CSF2018] 6-5-1598,DW,Sculptor,1.0,Chiti+2018a,CHI18a,MagE,,RGB,00:59:59.09,-33:36:44.90,14.996220833333334,-33.61247222222222,1.08,4516,,5.90,0.26,,-2.83,0.16,,0.30,0.20,0.65,,0.95,0.20,
6_5_505,0,[CSF2018] 6-5-505,DW,Sculptor,1.0,Chiti+2018a,CHI18a,MagE,,CEMP-s,01:00:45.76,-33:38:34.83,15.190679166666667,-33.643008333333334,1.57,4706,,7.40,0.15,,,,,,,,,,,
6_6_402,1,[CSF2018] 6-6-402,DW,Sculptor,1.0,Chiti+2018a,CHI18a,MagE,,,01:00:00.39,-33:29:15.21,15.001633333333332,-33.48755833333333,1.68,4802,5.32,,,,-3.91,0.25,0.80,,,0.17,0.97,,,
7_4_1992,1,[CSF2018] 7-4-1992,DW,Sculptor,1.0,Chiti+2018a,CHI18a,MagE,,,00:59:42.30,-33:35:47.28,14.926241666666666,-33.59646666666667,1.66,4769,,5.48,0.33,,-3.14,0.22,,0.19,0.25,0.23,,0.42,0.25,
7_4_2408,0,[CSF2018] 7-4-2408,DW,Sculptor,1.0,Chiti+2018a,CHI18a,MagE,,RGB,00:59:30.43,-33:36:05.23,14.876795833333333,-33.60145277777778,1.06,4524,,5.39,0.26,,-2.64,0.16,,-0.40,0.20,0.72,,0.32,0.20,
7_4_3280,1,[CSF2018] 7-4-3280,DW,Sculptor,0.7,Chiti+2018a,CHI18a,MagE,,,00:58:37.07,-33:34:08.10,14.654479166666667,-33.56891666666667,3.59,5518,6.72,,,,-2.41,0.25,0.70,,,0.00,0.70,,,
#CS29497-034,0,BPS CS 29497-034,DW,Sculptor,0.7,Chiti+2018a,CHI18a,MagE,,,00:41:39.82,-26:18:54.46,10.4159155255559,-26.3151288747604,1.50,4900,,8.13,0.29,,-2.90,0.27,,2.60,0.10,0.09,,2.69,0.10,-0.70
