Name,I/O,Simbad_Identifier,Loc,System,Slit,Reference,Ref,Instrument,Ncap_key,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,logg,Teff,ulc,epsc,e_c,ll[Fe/H],[Fe/H],e_[Fe/H],ul[C/Fe],[C/Fe],e_[C/Fe],[C/Fe]c,ul[C/Fe]f,[C/Fe]f,e_[C/Fe]f,[Ba/H]
10_8_2635,1,[CSF2018] 10-8-2635,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:15.87,-33:45:01.90,15.066125,-33.750528,1.39,4616,,,,,-3.05,0.2,,-0.28,0.36,0.52,,0.24,,
10_8_2647,1,[CSF2018] 10-8-2647,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:15.67,-33:45:59.96,15.065292,-33.766656,1.49,4680,,,,,-2.39,0.29,,-0.11,0.34,0.52,,0.41,,
10_8_265,1,[CSF2018] 10-8-265,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:01:27.22,-33:45:15.31,15.363417,-33.754253,1.51,4671,,,,,-3.05,0.22,,0.37,0.34,0.41,,0.78,,
10_8_2669,1,[CSF2018] 10-8-2669,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:15.26,-33:45:49.87,15.063583,-33.763853,1.83,4814,,,,,-2.94,0.23,,-0.03,0.38,0.1,,0.07,,
10_8_2730,1,[CSF2018] 10-8-2730,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:14.49,-33:47:50.49,15.060375,-33.797358,1.35,4601,,,,,-2.86,0.22,,-0.37,0.40,0.57,,0.20,,
10_8_2818,1,[CSF2018] 10-8-2818,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:12.95,-33:42:03.91,15.053958,-33.701086,1.2,4532,,,,,-2.83,0.19,,-0.18,0.34,0.66,,0.48,,
10_8_2824,1,[CSF2018] 10-8-2824,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:12.77,-33:38:53.56,15.053208,-33.648211,1.45,4646,,,,,-3.14,0.22,,0.39,0.31,0.45,,0.84,,
10_8_2908,1,[CSF2018] 10-8-2908,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:11.72,-33:44:50.34,15.048833,-33.747317,0.99,4451,,,,,-2.78,0.15,,-0.53,0.32,0.75,,0.22,,
10_8_2927,1,[CSF2018] 10-8-2927,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:11.30,-33:39:35.67,15.047083,-33.659908,1.18,4527,,,,,-2.94,0.17,,0.03,0.39,0.65,,0.68,,
10_8_2933,1,[CSF2018] 10-8-2933,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:11.19,-33:40:38.65,15.046625,-33.677403,1.78,4790,,,,,-2.96,0.23,0.25,,,0.14,0.39,,,
10_8_3045,1,[CSF2018] 10-8-3045,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,Blueward_of_RGB,01:00:09.72,-33:47:00.79,15.0405,-33.783553,2.49,5100,,,,,-2.55,0.28,,0.16,0.39,0.01,,0.17,,
10_8_3111,1,[CSF2018] 10-8-3111,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,Blueward_of_RGB,01:00:08.86,-33:49:49.67,15.036917,-33.830464,2.65,5066,,,,,-1.15,0.37,,-0.86,0.30,0.02,,-0.84,,
10_8_3167,1,[CSF2018] 10-8-3167,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:07.86,-33:47:07.62,15.03275,-33.78545,1.51,4672,,,,,-3.05,0.22,,0.11,0.42,0.4,,0.51,,
10_8_3188,1,[CSF2018] 10-8-3188,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,Blueward_of_RGB,01:00:07.66,-33:49:46.99,15.031917,-33.829719,3.32,5394,,,,,-1.98,0.45,0.00,,,0.0,0.00,,,
