Name,Simbad_Identifier,RA_deg,DEC_deg,RA_hms,DEC_dms
BD+44 493,BD+44   493,36.70724598067999,44.96292326976,02:26:49.7390,+44:57:46.524
G64-12,Wolf 1492,205.01038410406997,-0.03854168151,13:40:02.4922,-00:02:18.750
HD 2454,HD   2454,7.08351034109,10.1898049067,00:28:20.0425,+10:11:23.298
HD 16220,HD  16220,39.27737243026,32.89108970385,02:37:06.5694,+32:53:27.923
HD 43318,HD  43318,93.89277138291,-0.51218910407,06:15:34.2651,-00:30:43.881
HD 76932,HD  76932,134.6830531843296,-16.132727123434446,08:58:43.9328,-16:07:57.818
HD 94028,HD  94028,162.8671900305704,20.277490399799444,10:51:28.1256,+20:16:38.965
HD 107113,HD 107113,184.21389887357,86.43581888377,12:16:51.3357,+86:26:08.948
HD 108317,HD 108317,186.65346649466997,5.3025066065,12:26:36.8320,+05:18:09.024
HD 128279,HD 128279,219.2021285524996,-29.112948016248332,14:36:48.5109,-29:06:46.613
HD 140283,HD 140283,235.76290466259124,-10.933498803663333,15:43:03.0971,-10:56:00.596
HD 155646,HD 155646,258.22643443307993,0.35202951072000005,17:12:54.3443,+00:21:07.306
HD 160617,HD 160617,265.70551427042085,-40.320973287404726,17:42:49.3234,-40:19:15.504
HD 211998,* nu. Ind,336.1536891218721,-72.25541339929612,22:24:36.8854,-72:15:19.488
